text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does it mean that a list is a mutable container?,"Its elements can be replaced, reordered, or removed",Its elements cannot be changed after creation,"Its elements can be replaced, reordered, or removed",It only stores elements of the same data type,It automatically sorts elements upon insertion,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a list, the index of the first element is _____.",0,1,-1,0,,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which method adds a new element to the end of a list?,list.append(value),list.remove(value),list.pop(index),list.append(value),"list.insert(index, value)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does the pop(i) method modify a list?,Removes the element at index i,Removes the first element matching value i,Removes the element at index i,Adds element i to the end of the list,Finds the index of element i,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the expression len(my_list) return?,The number of elements in my_list,The sum of all elements in my_list,The number of elements in my_list,The index of the last element in my_list,The data type of my_list,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"How can two lists, list1 and list2, be combined into one list?",list1 + list2,list1 + list2,list1.append(list2),list1.pop(list2),list1.remove(list2),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A list is called _____ because its elements can be changed after creation.,mutable,immutable,static,mutable,fixed,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the list method append() do?,Adds an element to the end,Removes the last element,Adds an element to the end,Changes an element at an index,Finds the length of the list,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Accessing list elements requires using _____ inside brackets.,an integer index,a string index,an integer index,a floating-point index,a Boolean value,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The function that returns the number of elements in a list is _____.,len(),size(),count(),length(),len(),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which method removes the first element with a given value in a list?,remove(value),pop(value),remove(value),delete(value),discard(value),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the expression list1 + list2 do?,Concatenates list2 to the end of list1 into a new list,Creates a tuple of list1 and list2,Appends list2 elements to list1 in-place,Concatenates list2 to the end of list1 into a new list,Finds the sum of all elements in both lists,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the list method append() do?,Adds an element to the end of a list,Removes the first element from a list,Adds an element to the end of a list,Changes the value of an element,Returns the length of a list,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the index of the first element in any list?,0,1,0,-1,It depends on the list size,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How can an element in a list be updated?,Assigning a new value with list[index] = value,"Using list.update(index, value)",Assigning a new value with list[index] = value,Using list.change(value),Elements in a list cannot be updated,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the result of the expression list1 + list2 where both are lists?,A new list with elements of list1 followed by list2,A list containing elements of list1 only,A list containing elements of list2 only,A new list with elements of list2 followed by list1,A new list with elements of list1 followed by list2,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the list method pop(i) do?,Removes the element at index i,Removes the element with value i,Removes the first element in the list,Removes the element at index i,Adds an element at index i,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What will len(list) return?,The number of elements in the list,The number of elements in the list,The sum of elements in the list,The index of the last element,The first element of the list,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A list is a container that is _____.,mutable and ordered,immutable and unordered,mutable and ordered,immutable and ordered,mutable and unordered,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
What is the index of the first element in a Python list?,0,1,-1,0,It depends on the list size,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which list method adds a new element to the end of a list?,append(),pop(),append(),remove(),insert(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the expression my_list[2] do?,Accesses the third element of my_list,Removes the third element from my_list,Accesses the third element of my_list,Adds the value 2 to my_list,Returns the length of my_list,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"What is the result of len([10, 20, 30])?",3,3,2,1,0,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which of the following returns the sum of all numeric elements in a list?,sum(list),sum(list),list.sum(),add(list),total(list),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
