text,answer,a,b,c,d,e,f,g,h,hint,feedback
What is the main purpose of data exploration in data wrangling?,To find patterns and trends within a dataset,To create new variables from existing data,To find patterns and trends within a dataset,To increase the size of a dataset,To delete irrelevant data features,,,,,,
Which pandas method splits a DataFrame into subsets based on a categorical feature?,df.groupby(),df.pivot_table(),df.groupBy(),df.groupby(),df.split(),,,,,,
A frequency table displays _____ of a categorical feature.,group sizes,mean values,group sizes,numerical correlations,median values,,,,,,
How does a pivot table differ from a frequency table?,It calculates statistics based on two categorical features,It groups data by one categorical feature,It summarizes numerical data only,It calculates statistics based on two categorical features,It visualizes data with plots,,,,,,
"In a contingency table, the values represent the _____.",number of instances for each combination of two categorical features,sum of numerical features,number of instances for each combination of two categorical features,mean values of numerical features,unique values of a single feature,,,,,,
Which code snippet creates a pivot table with 'Drive' as rows and 'EngineType' as columns in pandas?,"df.pivot_table(values='MPG', index='Drive', columns='EngineType')","df.pivot_table(index='EngineType', columns='Drive')","df.pivot_table(values='MPG', index='Drive', columns='EngineType')","df.groupby(['Drive', 'EngineType'])","df.pivot_table(values='Drive', index='EngineType', columns='MPG')",,,,,,
What is the main purpose of data exploration in data wrangling?,To find patterns and trends in data,To add new features to the dataset,To find patterns and trends in data,To increase the dataset size,To delete irrelevant data,,,,,,
Grouping data by a categorical feature primarily helps to _____.,split the dataset into subsets for comparison,create new columns with calculated values,split the dataset into subsets for comparison,remove missing data automatically,convert numerical data to categorical data,,,,,,
A frequency table displays _____ for each category in a categorical feature.,group sizes,mean values,group sizes,median values,variance,,,,,,
What describes a contingency table in data analysis?,A table showing counts for combinations of two categorical features,A table showing relationships between two numerical features,A table showing counts for combinations of two categorical features,A table showing averages of numerical features,A table showing missing data counts,,,,,,
"In a pivot table, the rows and columns display values from _____.",two categorical features,numerical features,two categorical features,one numerical and one categorical feature,group means,,,,,,
Which pandas method splits a dataframe into groups based on a categorical feature?,df.groupby(),df.split(),df.groupby(),df.pivot_table(),df.aggregate(),,,,,,
Why is data exploration essential in data wrangling?,It reveals patterns and compares groups,It increases dataset size,It creates new data features,It reveals patterns and compares groups,It removes missing data,,,,,,
Which feature is best to group the cars dataset for meaningful subsets?,Drive,Liters,Drive,Manufacturer,Model,,,,,,
A table showing counts of rear-wheel drive cars is a _____ table.,frequency,size,count,frequency,median,,,,,,
A pivot table differs from a frequency table by summarizing data based on _____ categorical features.,two,one,two,three,none,,,,,,
"In pandas, which function splits a dataframe into subsets based on a categorical feature?",groupby(),pivot_table(),groupby(),merge(),filter(),,,,,,
"In a pivot table, the rows represent one categorical feature, and the columns represent _____.",another categorical feature,a numerical feature,the same feature as rows,another categorical feature,the total count of rows,,,,,,
Why is data exploration important in data wrangling?,It finds patterns and compares groups,It increases dataset size,It creates new features,It finds patterns and compares groups,It deletes irrelevant data,,,,,,
Which feature type is best for grouping a dataset into subsets?,Categorical with distinct levels,Numerical with many unique values,Categorical with distinct levels,Continuous numeric values,Unrelated random values,,,,,,
A table showing group sizes for a categorical feature is called a _____ table.,frequency,pivot,frequency,summary,descriptive,,,,,,
What does a contingency table show in data exploration?,Number of instances for combinations of two categorical features,Means of numeric variables across groups,Number of instances for combinations of two categorical features,Median values for one categorical feature,Data sorted by numerical order,,,,,,
What does the pandas method df.groupby(by=['Drive']).median() compute?,Median values grouped by Drive type,Median for all features in the dataset,Median values grouped by Drive type,Median across all numerical columns ignoring groups,Median of Drive feature values,,,,,,
"In a pivot table, what is assigned to the columns parameter?",One categorical feature to define columns,The variable measured in the cells,The feature for rows,One categorical feature to define columns,A numerical summary statistic,,,,,,
