text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",operators,comments,operators,functions,strings,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,division (/),multiplication (*),addition (+),division (/),parentheses ( ),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In programming, the multiplication symbol is _____, not the × symbol.",×,x,*,&times;,×,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",parentheses,semicolons,brackets,parentheses,curly braces,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
An _expression_ in programming is a combination of _____ that produces a value.,"variables, literals, operators, and parentheses",variables and functions,"variables, literals, operators, and parentheses",only literals and functions,operators and comments,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,( ),*,+,( ),/,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"In programming, the multiplication operator is _____, not the × symbol.",&times;,x,*,×,&times;,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Which is the correct way to write the negative of a variable user_val in an expression?,-user_val,user_val -,-user_val,user_val *,!user_val,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
What does an _expression_ in programming always produce?,A value,A sequence of instructions,A value,A variable name,A comment,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,Division (/),Multiplication (*),Addition (+),Division (/),Parentheses are not operators,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why must multiplication be explicitly indicated with * in code like 2 * x?,Because abutment is not allowed in programming syntax,Because 2x is a valid variable name,Because abutment is not allowed in programming syntax,Because * has lower precedence than variables,Because multiplication is not supported in most languages,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",unary minus operator,decrement operator,unary minus operator,binary operator,negation function,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"An _expression_ is a combination of variables, literals, _____, and parentheses.",operators,functions,loops,operators,comments,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,division (/),multiplication (*),addition (+),division (/),parentheses ( ),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why should programmers use parentheses in arithmetic expressions?,To make order of evaluation explicit,To add extra operations,To improve code speed,To make order of evaluation explicit,To replace operators,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In Python, the exponent operator is represented by _____.",^^,^,**,pow(),^^,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
