=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,0
2,10,0,0
3,10,0,1
4,10,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,3,100
1,3,2,2,100
1,4,1,2,100
2,3,3,2,100
2,4,4,2,100
3,4,1,1,100

Summary
Total Comparisons,780
Duplicates (≥85%),12
Similar (70-85%),13

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q9,"In turtle graphics, which instruction would turn the turtle left by 90 degrees?",1,9,q9,"In turtle graphics, which instruction would turn the turtle left by 90 degrees?",4,9,0.98,duplicate
q5,Which instruction completes the triangle area calculation program? base = Get next input height = Get next input x = base * height _____ Put x to output,2,5,q5,Which instruction completes this program to find a triangle's area? base = Get next input height = Get next input x = base * height _____ Put x to output,3,5,0.959,duplicate
q5,Which instruction completes this triangle area program? base = Get input; height = Get input; x = base * height; _____; Put x to output,1,5,q5,Which instruction completes the triangle area calculation program? base = Get next input height = Get next input x = base * height _____ Put x to output,2,5,0.951,duplicate
q9,"What is the correct instruction to compute the average of three numbers x, y, and z?",3,9,q8,"To compute the average of three numbers x, y, and z, which instruction is correct?",4,8,0.944,duplicate
q10,"To calculate the average of three numbers x, y, and z, the correct instruction is:",2,10,q9,"What is the correct instruction to compute the average of three numbers x, y, and z?",3,9,0.94,duplicate
q5,Which instruction completes this triangle area program? base = Get input; height = Get input; x = base * height; _____; Put x to output,1,5,q5,Which instruction completes this program to find a triangle's area? base = Get next input height = Get next input x = base * height _____ Put x to output,3,5,0.936,duplicate
q10,"To calculate the average of three numbers x, y, and z, the correct instruction is:",2,10,q8,"To compute the average of three numbers x, y, and z, which instruction is correct?",4,8,0.921,duplicate
q1,What is the main purpose of a computer program?,1,1,q1,What is the main purpose of a computer program?,3,1,0.882,duplicate
q1,What are the three basic types of instructions in a computer program?,2,1,q1,What are the three basic instruction types in a computer program?,4,1,0.871,duplicate
q3,"In the instruction ""z = x + y"", what does the ""="" symbol mean in programming?",2,3,q3,"In the instruction ""z = x + y"", what does the equals sign (=) mean in programming?",3,3,0.858,duplicate
q2,A variable in a program is named so because its value _____.,2,2,q2,A variable in a program is named because its value _____.,4,2,0.856,duplicate
q8,"In the example program, what is the output if the inputs are 2 and 5, and the instruction is z = x + y?",2,8,q4,"In the example program, what is the output when x = 2 and y = 5?",4,4,0.851,duplicate
q8,An algorithm is best described as _____.,1,8,q7,An algorithm is a _____.,2,7,0.846,similar
q2,Which instruction type gets data from a keyboard or file?,1,2,q2,Which instruction type gets data from the user or a file?,3,2,0.827,similar
q5,Which instruction completes this program to find a triangle's area? base = Get next input height = Get next input x = base * height _____ Put x to output,3,5,q6,Which instruction completes the program to compute the area of a triangle?,4,6,0.826,similar
q5,Which instruction completes this triangle area program? base = Get input; height = Get input; x = base * height; _____; Put x to output,1,5,q6,Which instruction completes the program to compute the area of a triangle?,4,6,0.82,similar
q5,Which instruction completes the triangle area calculation program? base = Get next input height = Get next input x = base * height _____ Put x to output,2,5,q6,Which instruction completes the program to compute the area of a triangle?,4,6,0.817,similar
q8,"In the example program, what is the output if the inputs are 2 and 5, and the instruction is z = x + y?",2,8,q8,A program outputs the value 7 after inputs 2 and 5. What was the processing instruction?,3,8,0.804,similar
q9,Which of the following best compares a program to a recipe?,2,9,q5,Why is a computer program compared to a cooking recipe?,4,5,0.796,similar
q2,Which instruction type gets data from the user or a file?,3,2,q6,What type of instruction performs calculations on input data?,3,6,0.767,similar
q3,Variables in a program are used to _____.,1,3,q2,A variable in a program is named because its value _____.,4,2,0.74,similar
q4,"If a program has instructions: x = Get input, y = Get input, z = x + y, what is z when x=3 and y=4?",1,4,q8,"In the example program, what is the output if the inputs are 2 and 5, and the instruction is z = x + y?",2,8,0.739,similar
q8,An algorithm is best described as _____.,1,8,q7,What is the name for a sequence of instructions that solves a problem?,3,7,0.738,similar
q7,An algorithm is a _____.,2,7,q7,What is the name for a sequence of instructions that solves a problem?,3,7,0.736,similar
q6,How does a program typically execute its instructions?,1,6,q4,Why does a program execute instructions one at a time?,2,4,0.73,similar
q2,Which instruction type gets data from a keyboard or file?,1,2,q6,What type of instruction performs calculations on input data?,3,6,0.684,low
q4,"If a program has instructions: x = Get input, y = Get input, z = x + y, what is z when x=3 and y=4?",1,4,q8,A program outputs the value 7 after inputs 2 and 5. What was the processing instruction?,3,8,0.684,low
q8,A program outputs the value 7 after inputs 2 and 5. What was the processing instruction?,3,8,q4,"In the example program, what is the output when x = 2 and y = 5?",4,4,0.683,low
q3,Variables in a program are used to _____.,1,3,q4,"Why do programs use variables like x, y, and z?",3,4,0.682,low
q7,What does the output instruction do in a program?,1,7,q2,Which instruction type gets data from the user or a file?,3,2,0.673,low
q3,Variables in a program are used to _____.,1,3,q2,A variable in a program is named so because its value _____.,2,2,0.664,low
q8,"In the example program, what is the output if the inputs are 2 and 5, and the instruction is z = x + y?",2,8,q3,Which step correctly describes the process instruction in the example program?,4,3,0.658,low
q8,A program outputs the value 7 after inputs 2 and 5. What was the processing instruction?,3,8,q3,Which step correctly describes the process instruction in the example program?,4,3,0.649,low
q6,What type of instruction performs calculations on input data?,3,6,q1,What are the three basic instruction types in a computer program?,4,1,0.646,low
q7,What does the output instruction do in a program?,1,7,q1,What are the three basic types of instructions in a computer program?,2,1,0.645,low
q1,What are the three basic types of instructions in a computer program?,2,1,q6,What type of instruction performs calculations on input data?,3,6,0.645,low
q1,What are the three basic types of instructions in a computer program?,2,1,q2,Which instruction type gets data from the user or a file?,3,2,0.641,low
q2,Which instruction type gets data from the user or a file?,3,2,q1,What are the three basic instruction types in a computer program?,4,1,0.637,low
q2,Which instruction type gets data from a keyboard or file?,1,2,q1,What are the three basic instruction types in a computer program?,4,1,0.636,low
q2,Which instruction type gets data from a keyboard or file?,1,2,q1,What are the three basic types of instructions in a computer program?,2,1,0.631,low
q2,Which instruction type gets data from a keyboard or file?,1,2,q7,What does the output instruction do in a program?,1,7,0.625,low
q7,What does the output instruction do in a program?,1,7,q1,What are the three basic instruction types in a computer program?,4,1,0.621,low
q4,"If a program has instructions: x = Get input, y = Get input, z = x + y, what is z when x=3 and y=4?",1,4,q3,Which step correctly describes the process instruction in the example program?,4,3,0.615,low
q4,"If a program has instructions: x = Get input, y = Get input, z = x + y, what is z when x=3 and y=4?",1,4,q4,"In the example program, what is the output when x = 2 and y = 5?",4,4,0.609,low
q4,"If a program has instructions: x = Get input, y = Get input, z = x + y, what is z when x=3 and y=4?",1,4,q8,"To compute the average of three numbers x, y, and z, which instruction is correct?",4,8,0.608,low
q8,An algorithm is best described as _____.,1,8,q7,What is the purpose of an algorithm in computational thinking?,4,7,0.605,low
q7,What does the output instruction do in a program?,1,7,q10,How does the order of instructions affect the output in a program?,3,10,0.603,low
q7,What is the name for a sequence of instructions that solves a problem?,3,7,q7,What is the purpose of an algorithm in computational thinking?,4,7,0.603,low
q1,What is the main purpose of a computer program?,3,1,q4,"Why do programs use variables like x, y, and z?",3,4,0.601,low
q1,What is the main purpose of a computer program?,1,1,q4,"Why do programs use variables like x, y, and z?",3,4,0.598,low
q6,Computational thinking is best described as _____.,2,6,q7,What is the purpose of an algorithm in computational thinking?,4,7,0.596,low
q4,"If a program has instructions: x = Get input, y = Get input, z = x + y, what is z when x=3 and y=4?",1,4,q9,"What is the correct instruction to compute the average of three numbers x, y, and z?",3,9,0.594,low
q3,Variables in a program are used to _____.,1,3,q7,What does the output instruction do in a program?,1,7,0.593,low
q3,Variables in a program are used to _____.,1,3,q1,What is the main purpose of a computer program?,3,1,0.591,low
q7,An algorithm is a _____.,2,7,q7,What is the purpose of an algorithm in computational thinking?,4,7,0.591,low
q4,"If a program has instructions: x = Get input, y = Get input, z = x + y, what is z when x=3 and y=4?",1,4,q10,"To calculate the average of three numbers x, y, and z, the correct instruction is:",2,10,0.586,low
q4,Why does a program execute instructions one at a time?,2,4,q10,How does the order of instructions affect the output in a program?,3,10,0.586,low
q7,What does the output instruction do in a program?,1,7,q6,What type of instruction performs calculations on input data?,3,6,0.583,low
q8,A program outputs the value 7 after inputs 2 and 5. What was the processing instruction?,3,8,q8,"To compute the average of three numbers x, y, and z, which instruction is correct?",4,8,0.582,low
q3,"In the instruction ""z = x + y"", what does the ""="" symbol mean in programming?",2,3,q3,Which step correctly describes the process instruction in the example program?,4,3,0.581,low
q1,What is the main purpose of a computer program?,1,1,q3,Variables in a program are used to _____.,1,3,0.58,low
q1,What are the three basic types of instructions in a computer program?,2,1,q10,How does the order of instructions affect the output in a program?,3,10,0.58,low
q3,Which step correctly describes the process instruction in the example program?,4,3,q8,"To compute the average of three numbers x, y, and z, which instruction is correct?",4,8,0.58,low
q4,"Why do programs use variables like x, y, and z?",3,4,q3,Which step correctly describes the process instruction in the example program?,4,3,0.578,low
q10,How does the order of instructions affect the output in a program?,3,10,q1,What are the three basic instruction types in a computer program?,4,1,0.578,low
q3,Which step correctly describes the process instruction in the example program?,4,3,q4,"In the example program, what is the output when x = 2 and y = 5?",4,4,0.572,low
q7,What does the output instruction do in a program?,1,7,q1,What is the main purpose of a computer program?,3,1,0.571,low
q1,What is the main purpose of a computer program?,3,1,q7,What is the purpose of an algorithm in computational thinking?,4,7,0.571,low
q8,An algorithm is best described as _____.,1,8,q6,Computational thinking is best described as _____.,2,6,0.569,low
q3,"In the instruction ""z = x + y"", what does the equals sign (=) mean in programming?",3,3,q3,Which step correctly describes the process instruction in the example program?,4,3,0.569,low
q10,"In a program, what happens when a variable is assigned a new value?",1,10,q2,A variable in a program is named because its value _____.,4,2,0.568,low
q4,"Why do programs use variables like x, y, and z?",3,4,q2,A variable in a program is named because its value _____.,4,2,0.565,low
q1,What are the three basic types of instructions in a computer program?,2,1,q1,What is the main purpose of a computer program?,3,1,0.56,low
q6,How does a program typically execute its instructions?,1,6,q10,How does the order of instructions affect the output in a program?,3,10,0.559,low
q3,Variables in a program are used to _____.,1,3,q1,What are the three basic instruction types in a computer program?,4,1,0.558,low
q3,"In the instruction ""z = x + y"", what does the ""="" symbol mean in programming?",2,3,q8,"In the example program, what is the output if the inputs are 2 and 5, and the instruction is z = x + y?",2,8,0.558,low
q9,"What is the correct instruction to compute the average of three numbers x, y, and z?",3,9,q3,Which step correctly describes the process instruction in the example program?,4,3,0.557,low
q8,"In the example program, what is the output if the inputs are 2 and 5, and the instruction is z = x + y?",2,8,q8,"To compute the average of three numbers x, y, and z, which instruction is correct?",4,8,0.555,low
q10,"To calculate the average of three numbers x, y, and z, the correct instruction is:",2,10,q3,Which step correctly describes the process instruction in the example program?,4,3,0.555,low
q6,How does a program typically execute its instructions?,1,6,q7,What does the output instruction do in a program?,1,7,0.55,low
q4,Why does a program execute instructions one at a time?,2,4,q7,What is the purpose of an algorithm in computational thinking?,4,7,0.55,low
q1,What is the main purpose of a computer program?,1,1,q7,What is the purpose of an algorithm in computational thinking?,4,7,0.548,low
q1,What is the main purpose of a computer program?,1,1,q7,What does the output instruction do in a program?,1,7,0.547,low
q10,"In a program, what happens when a variable is assigned a new value?",1,10,q2,A variable in a program is named so because its value _____.,2,2,0.547,low
q4,Why does a program execute instructions one at a time?,2,4,q1,What is the main purpose of a computer program?,3,1,0.546,low
q8,"In the example program, what is the output if the inputs are 2 and 5, and the instruction is z = x + y?",2,8,q3,"In the instruction ""z = x + y"", what does the equals sign (=) mean in programming?",3,3,0.544,low
q7,What is the name for a sequence of instructions that solves a problem?,3,7,q1,What are the three basic instruction types in a computer program?,4,1,0.544,low
q3,Variables in a program are used to _____.,1,3,q10,"In a program, what happens when a variable is assigned a new value?",1,10,0.543,low
q1,What is the main purpose of a computer program?,1,1,q1,What are the three basic types of instructions in a computer program?,2,1,0.542,low
q1,What are the three basic instruction types in a computer program?,4,1,q5,Why is a computer program compared to a cooking recipe?,4,5,0.542,low
q8,A program outputs the value 7 after inputs 2 and 5. What was the processing instruction?,3,8,q9,"What is the correct instruction to compute the average of three numbers x, y, and z?",3,9,0.539,low
q3,Variables in a program are used to _____.,1,3,q1,What are the three basic types of instructions in a computer program?,2,1,0.538,low
q6,Computational thinking is best described as _____.,2,6,q7,An algorithm is a _____.,2,7,0.537,low
