text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does the compiler do when an integer variable is declared?,Allocates memory for the variable,Initializes the variable to zero,Allocates memory for the variable,Prints the variable's value,Deletes the variable from memory,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"After executing the statement numItems = numItems + 1;, what happens to numItems?",numItems increases by 1,numItems remains the same,numItems decreases by 1,numItems is assigned a new memory location,numItems increases by 1,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What error occurs if a variable is read before it is assigned a value?,The variable has an undefined or unknown value,The variable is automatically initialized to zero,The program compiles without warning,The variable has an undefined or unknown value,The variable is deleted from memory,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A variable declaration _____ a variable's name and type.,specifies,executes,initializes,specifies,prints,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a compiler do when it allocates a variable?,Assigns a memory location,Runs the program,Assigns a memory location,Prints the variable name,Deletes unused variables,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens after executing numItems = numItems + 1; if numItems is 5?,numItems is 6,numItems is 5,numItems is 6,numItems is 1,numItems is 0,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a variable declaration do in programming?,Specifies the variable's name and type and allocates memory,Assigns a value to a variable,Specifies the variable's name and type and allocates memory,Prints the variable's value to the screen,Deletes a variable from memory,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In the assignment statement numApples = numApples + 1;, what happens first?","The value of numApples is read, then increased by 1",The variable numApples is deleted,"The value of numApples is read, then increased by 1",The value of numApples is set to 1,The variable numApples is declared,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why should variables be initialized before use?,To avoid reading undefined or garbage values,To make the program run faster,To avoid reading undefined or garbage values,To reduce the memory used by the program,To allow variables to be used without declaration,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the compiler do when a variable is declared?,It allocates a memory location for the variable.,It assigns a value to the variable.,It allocates a memory location for the variable.,It immediately prints the variable's value.,It deletes any previous variables with the same name.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the result of the statement: numApples = numApples + 1; if numApples is 5?,numApples becomes 6.,numApples becomes 4.,numApples remains 5.,numApples becomes 6.,The statement causes a compile error.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What error occurs if a variable is used before being assigned a value?,The compiler may report an error or warning.,The program prints zero by default.,The compiler may report an error or warning.,The variable is automatically initialized to 1.,No error occurs; the value is undefined but safe to use.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
