=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,0,9
1,3,1,1,9
1,4,1,0,9
2,3,1,0,9
2,4,1,1,9
3,4,0,1,9

Summary
Total Comparisons,66
Duplicates (≥85%),5
Similar (70-85%),3

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,What does dividing a nonzero double by 0.0 produce in Java?,2,2,q2,What does dividing a nonzero double by 0.0 produce in Java?,3,2,0.958,duplicate
q2,What is the result of dividing a nonzero double by 0.0 in Java?,1,2,q2,What does dividing a nonzero double by 0.0 produce in Java?,2,2,0.923,duplicate
q2,What is the result of dividing a nonzero double by 0.0 in Java?,1,2,q2,What does dividing a nonzero double by 0.0 produce in Java?,3,2,0.918,duplicate
q1,Why should a floating-point literal include a digit before the decimal point?,2,1,q1,Why should floating-point literals include a digit before the decimal point?,4,1,0.878,duplicate
q2,What is the result of dividing a nonzero double by 0.0 in Java?,1,2,q2,What happens when a nonzero floating-point number is divided by zero in Java?,4,2,0.853,duplicate
q2,What does dividing a nonzero double by 0.0 produce in Java?,3,2,q2,What happens when a nonzero floating-point number is divided by zero in Java?,4,2,0.804,similar
q2,What does dividing a nonzero double by 0.0 produce in Java?,2,2,q2,What happens when a nonzero floating-point number is divided by zero in Java?,4,2,0.803,similar
q1,Why use a double variable instead of an int to store 98.6 degrees temperature?,1,1,q1,Why should a double variable be used instead of an int for temperature values?,3,1,0.799,similar
q3,Which variable type is best for storing the average number of kids per household?,2,3,q3,Which variable type is best for storing a measurement with fractional values?,4,3,0.691,low
q3,Which Java statement correctly outputs a double variable myFloat to two decimal places?,1,3,q3,Which printf format specifier outputs a double with three digits after the decimal?,3,3,0.64,low
q1,Why use a double variable instead of an int to store 98.6 degrees temperature?,1,1,q3,Which variable type is best for storing a measurement with fractional values?,4,3,0.613,low
q1,Why should a double variable be used instead of an int for temperature values?,3,1,q3,Which variable type is best for storing a measurement with fractional values?,4,3,0.583,low
q1,Why use a double variable instead of an int to store 98.6 degrees temperature?,1,1,q3,Which variable type is best for storing the average number of kids per household?,2,3,0.524,low
q1,Why use a double variable instead of an int to store 98.6 degrees temperature?,1,1,q1,Why should a floating-point literal include a digit before the decimal point?,2,1,0.517,low
q1,Why use a double variable instead of an int to store 98.6 degrees temperature?,1,1,q1,Why should floating-point literals include a digit before the decimal point?,4,1,0.499,low
q1,Why should a floating-point literal include a digit before the decimal point?,2,1,q2,What happens when a nonzero floating-point number is divided by zero in Java?,4,2,0.487,low
q3,Which variable type is best for storing the average number of kids per household?,2,3,q1,Why should a double variable be used instead of an int for temperature values?,3,1,0.487,low
q3,Which printf format specifier outputs a double with three digits after the decimal?,3,3,q1,Why should floating-point literals include a digit before the decimal point?,4,1,0.484,low
q1,Why should a floating-point literal include a digit before the decimal point?,2,1,q2,What does dividing a nonzero double by 0.0 produce in Java?,2,2,0.474,low
q1,Why should a floating-point literal include a digit before the decimal point?,2,1,q1,Why should a double variable be used instead of an int for temperature values?,3,1,0.471,low
q1,Why should a floating-point literal include a digit before the decimal point?,2,1,q2,What does dividing a nonzero double by 0.0 produce in Java?,3,2,0.47,low
q1,Why should a double variable be used instead of an int for temperature values?,3,1,q1,Why should floating-point literals include a digit before the decimal point?,4,1,0.466,low
q1,Why should floating-point literals include a digit before the decimal point?,4,1,q3,Which variable type is best for storing a measurement with fractional values?,4,3,0.462,low
q3,Which Java statement correctly outputs a double variable myFloat to two decimal places?,1,3,q1,Why should floating-point literals include a digit before the decimal point?,4,1,0.461,low
q3,Which Java statement correctly outputs a double variable myFloat to two decimal places?,1,3,q3,Which variable type is best for storing a measurement with fractional values?,4,3,0.458,low
q2,What is the result of dividing a nonzero double by 0.0 in Java?,1,2,q1,Why should a floating-point literal include a digit before the decimal point?,2,1,0.456,low
q1,Why should a floating-point literal include a digit before the decimal point?,2,1,q3,Which printf format specifier outputs a double with three digits after the decimal?,3,3,0.446,low
q3,Which printf format specifier outputs a double with three digits after the decimal?,3,3,q3,Which variable type is best for storing a measurement with fractional values?,4,3,0.44,low
q1,Why should a floating-point literal include a digit before the decimal point?,2,1,q3,Which variable type is best for storing a measurement with fractional values?,4,3,0.439,low
q1,Why should floating-point literals include a digit before the decimal point?,4,1,q2,What happens when a nonzero floating-point number is divided by zero in Java?,4,2,0.436,low
q1,Why use a double variable instead of an int to store 98.6 degrees temperature?,1,1,q3,Which Java statement correctly outputs a double variable myFloat to two decimal places?,1,3,0.432,low
