=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,2,16
1,3,0,2,16
1,4,0,1,16
2,3,1,0,16
2,4,1,0,16
3,4,0,2,16

Summary
Total Comparisons,120
Duplicates (≥85%),2
Similar (70-85%),7

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,Which type of data is stored in a predefined table format with rows and columns?,2,2,q2,Which type of data is stored in tables with rows and columns?,3,2,0.931,duplicate
q4,A model that predicts whether an email is spam or not is a type of _____ model.,2,4,q4,"Which model type predicts a known categorical feature, like whether an email is spam or not?",4,4,0.861,duplicate
q4,"After completing data modeling, what is the next key step in the data science lifecycle?",3,4,q1,Which step of the data science lifecycle involves identifying relevant data and collecting new data if needed?,4,1,0.833,similar
q1,What is the main reason for cleaning data in a data science project?,3,1,q3,Why must datasets be cleaned before modeling in a data science project?,4,3,0.769,similar
q3,Supervised models differ from unsupervised models because they _____.,1,3,q3,Supervised models in data science are used to _____.,3,3,0.767,similar
q2,Which describes unstructured data?,1,2,q2,Which type of data is stored in a predefined table format with rows and columns?,2,2,0.757,similar
q2,Which describes unstructured data?,1,2,q2,Which type of data is stored in tables with rows and columns?,3,2,0.752,similar
q1,The data science lifecycle exists to _____.,1,1,q1,What is the main purpose of the data science lifecycle?,2,1,0.732,similar
q4,What is the main purpose of exploratory data analysis?,1,4,q3,Why must datasets be cleaned before modeling in a data science project?,4,3,0.706,similar
q4,What is the main purpose of exploratory data analysis?,1,4,q1,What is the main reason for cleaning data in a data science project?,3,1,0.688,low
q3,Which step involves using graphs and summary statistics to find patterns in data?,2,3,q1,Which step of the data science lifecycle involves identifying relevant data and collecting new data if needed?,4,1,0.667,low
q4,What is the main purpose of exploratory data analysis?,1,4,q1,What is the main purpose of the data science lifecycle?,2,1,0.65,low
q3,Which step involves using graphs and summary statistics to find patterns in data?,2,3,q4,"After completing data modeling, what is the next key step in the data science lifecycle?",3,4,0.635,low
q1,What is the main purpose of the data science lifecycle?,2,1,q1,Which step of the data science lifecycle involves identifying relevant data and collecting new data if needed?,4,1,0.625,low
q4,"After completing data modeling, what is the next key step in the data science lifecycle?",3,4,q3,Why must datasets be cleaned before modeling in a data science project?,4,3,0.625,low
q1,What is the main purpose of the data science lifecycle?,2,1,q1,What is the main reason for cleaning data in a data science project?,3,1,0.621,low
q4,What is the main purpose of exploratory data analysis?,1,4,q3,Which step involves using graphs and summary statistics to find patterns in data?,2,3,0.618,low
q4,What is the main purpose of exploratory data analysis?,1,4,q4,"After completing data modeling, what is the next key step in the data science lifecycle?",3,4,0.612,low
