text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
A compound proposition that is true for every truth assignment is called a/an _____.,tautology,contradiction,tautology,contingency,hypothesis,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which truth table row proves that \((p \land q) \rightarrow r\) is not a tautology?,"\(p = T, q = T, r = F\)","\(p = F, q = F, r = T\)","\(p = T, q = T, r = F\)","\(p = T, q = F, r = T\)","\(p = F, q = T, r = F\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
Two compound propositions are logically equivalent if:,Their biconditional is a tautology,They are both tautologies,Their biconditional is a tautology,They have opposite truth values for all assignments,They have no variables in common,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which is an example of De Morgan’s first law?,\(\neg (p \lor q) \equiv \neg p \land \neg q\),\(\neg (p \land q) \equiv \neg p \land \neg q\),\(\neg (p \lor q) \equiv \neg p \lor \neg q\),\(\neg (p \lor q) \equiv \neg p \land \neg q\),\(\neg (p \land q) \equiv p \lor q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which truth assignment makes \(\neg (p \lor q)\) true?,"\(p = F, q = F\)","\(p = T, q = F\)","\(p = F, q = F\)","\(p = T, q = T\)","\(p = F, q = T\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"When \(\neg (p \land q)\) is false, what is the truth value of \(p\) and \(q\)?",Both true,Both false,"One true, one false",Both true,Cannot determine,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which English sentence is logically equivalent to: ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",The child is less than 8 years old or shorter than 57 inches,The child is at least 8 years old and at least 57 inches tall,The child is less than 8 years old or shorter than 57 inches,The child is less than 8 years old and shorter than 57 inches,The child is at least 8 years old or at least 57 inches tall,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Which compound proposition is a contradiction?,\(p \land \neg p\),\(p \lor \neg p\),\(p \land \neg p\),\(\neg p \lor q\),\(p \rightarrow q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"To show two propositions are not logically equivalent, one must find a truth assignment where:",The propositions have different truth values,Both propositions are true,Both propositions are false,The propositions have different truth values,The propositions have the same truth value,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
The proposition \(p \to \neg p\) is:,Neither a tautology nor contradiction,A tautology,A contradiction,Neither a tautology nor contradiction,A biconditional,,,,,,,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
What happens to the logical operator when negation is distributed inside \(\neg (p \lor q)\) using De Morgan's law?,It changes to \(\land\),It remains \(\lor\),It changes to \(\land\),It changes to \(\to\),It changes to \(\leftrightarrow\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A compound proposition that is always true regardless of variable values is called a/an _____.,tautology,contradiction,tautology,contingency,equivalence,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The proposition \(p \land \neg p\) is an example of a/an _____.,contradiction,tautology,logically equivalent proposition,contradiction,contingency,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"To show two compound propositions are logically equivalent, one must prove _____.",their biconditional is a tautology,they have the same syntax,their biconditional is a tautology,they have different truth values for some assignment,both are contradictions,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which truth assignment shows \((p \land q) \rightarrow r\) is not a tautology?,"\(p = q = T, r = F\)","\(p = q = F, r = T\)","\(p = q = T, r = F\)","\(p = F, q = T, r = T\)","\(p = T, q = F, r = T\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"Using De Morgan's laws, \(\neg (p \lor q)\) is logically equivalent to _____.",\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(p \land q\),\(\neg (p \land q)\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
The expression \(\neg (p \land q)\) is logically equivalent to _____.,\(\neg p \lor \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(p \lor q\),\(p \land q\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which truth assignment makes \(\neg (p \lor q)\) true?,"\(p = F, q = F\)","\(p = T, q = T\)","\(p = F, q = F\)","\(p = T, q = F\)","\(p = F, q = T\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"If two compound propositions differ in truth value for at least one assignment, they are _____.",not logically equivalent,tautologies,contradictions,not logically equivalent,logically equivalent,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
The compound proposition \((p \land q) \rightarrow p\) is a/an _____.,tautology,contradiction,contingency,tautology,logically equivalent to \(p \land q\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"Which English sentence is logically equivalent to ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",The child is less than 8 years old or shorter than 57 inches,The child is at least 8 years old and at least 57 inches tall,The child is less than 8 years old or shorter than 57 inches,The child is less than 8 years old and shorter than 57 inches,The child is at least 8 years old or at least 57 inches tall,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"To prove two propositions are not logically equivalent, it suffices to show _____.",a truth assignment where they differ in truth value,they have the same truth values for all assignments,a truth assignment where they differ in truth value,one is a tautology and the other is not,both are contradictions,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
