=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,1
2,10,0,1
3,10,0,2
4,10,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,4,100
1,3,2,4,100
1,4,3,5,100
2,3,3,4,100
2,4,2,4,100
3,4,4,3,100

Summary
Total Comparisons,780
Duplicates (≥85%),15
Similar (70-85%),28

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,Which of the following is a valid assignment statement?,1,3,q8,Which of these is a valid assignment statement?,3,8,0.968,duplicate
q1,What does an assignment statement do in programming?,1,1,q1,What does an assignment statement do in programming?,4,1,0.939,duplicate
q3,Why must the left side of an assignment statement be a variable?,3,3,q5,Why must the left side of an assignment be a variable?,4,5,0.935,duplicate
q1,What does an assignment statement do in programming?,1,1,q1,What does an assignment statement do in programming?,3,1,0.93,duplicate
q1,What does an assignment statement do in programming?,3,1,q1,What does an assignment statement do in programming?,4,1,0.93,duplicate
q8,How does an assignment statement differ from an algebraic equation?,2,8,q5,How is an assignment statement different from an algebraic equation?,3,5,0.929,duplicate
q5,How is an assignment statement different from an algebraic equation?,3,5,q6,How does an assignment differ from an algebraic equation?,4,6,0.923,duplicate
q8,How does an assignment statement differ from an algebraic equation?,2,8,q6,How does an assignment differ from an algebraic equation?,4,6,0.91,duplicate
q3,Which of the following is a valid assignment statement?,1,3,q10,Which is a valid assignment statement?,2,10,0.909,duplicate
q10,Which is a valid assignment statement?,2,10,q8,Which of these is a valid assignment statement?,3,8,0.909,duplicate
q10,Which is a valid assignment statement?,2,10,q3,Which is a valid assignment statement in programming?,4,3,0.9,duplicate
q3,Which of the following is a valid assignment statement?,1,3,q3,Which is a valid assignment statement in programming?,4,3,0.876,duplicate
q6,"After executing x = 5; y = x + 2; x = 3, what is y's value?",2,6,q2,"After executing these statements, x = 7, y = x + 3, x = 5, what is y?",3,2,0.871,duplicate
q2,"In the statement `x = x + 1`, what happens to the value of x?",1,2,q2,"In the statement x = x + 1, what happens to x?",4,2,0.86,duplicate
q8,Which of these is a valid assignment statement?,3,8,q3,Which is a valid assignment statement in programming?,4,3,0.857,duplicate
q5,"If `x = 5` and then `y = x`, what is the value of y?",1,5,q4,"After executing y = x + 1 and then x = 5, what is the value of y?",4,4,0.842,similar
q8,"After these statements: `x = 9`, `y = x + 1`, `x = 5`, what is the value of y?",1,8,q10,"After x = 9; y = x; x = 3, what is y?",4,10,0.821,similar
q3,What happens when a variable is assigned a new value?,2,3,q7,What happens when a variable is assigned a new value?,3,7,0.814,similar
q2,"In the statement `x = x + 1`, what happens to the value of x?",1,2,q4,"In x = x + 1, what happens to the value of x?",3,4,0.797,similar
q5,"If `x = 5` and then `y = x`, what is the value of y?",1,5,q8,"After these statements: `x = 9`, `y = x + 1`, `x = 5`, what is the value of y?",1,8,0.789,similar
q8,"After these statements: `x = 9`, `y = x + 1`, `x = 5`, what is the value of y?",1,8,q4,"After executing y = x + 1 and then x = 5, what is the value of y?",4,4,0.775,similar
q6,"After executing x = 5; y = x + 2; x = 3, what is y's value?",2,6,q4,"After executing y = x + 1 and then x = 5, what is the value of y?",4,4,0.774,similar
q8,"After these statements: `x = 9`, `y = x + 1`, `x = 5`, what is the value of y?",1,8,q2,"After executing these statements, x = 7, y = x + 3, x = 5, what is y?",3,2,0.761,similar
q1,What does an assignment statement do in programming?,1,1,q5,How is an assignment statement different from an algebraic equation?,3,5,0.75,similar
q1,What does an assignment statement do in programming?,1,1,q8,How does an assignment statement differ from an algebraic equation?,2,8,0.747,similar
q9,After x = 2; x = x * 3; what is x's value?,2,9,q9,"If x = 3 and the statement x = x * 4 executes, what is the new value of x?",3,9,0.746,similar
q6,What must appear on the left side of an assignment statement?,1,6,q7,Fill in the blank: An assignment statement assigns a/an _____ with a value.,2,7,0.744,similar
q5,How is an assignment statement different from an algebraic equation?,3,5,q1,What does an assignment statement do in programming?,4,1,0.744,similar
q8,How does an assignment statement differ from an algebraic equation?,2,8,q1,What does an assignment statement do in programming?,4,1,0.734,similar
q4,"In x = x + 1, what happens to the value of x?",3,4,q2,"In the statement x = x + 1, what happens to x?",4,2,0.733,similar
q6,"After executing x = 5; y = x + 2; x = 3, what is y's value?",2,6,q9,After x = 2; x = x * 3; what is x's value?,2,9,0.732,similar
q5,"If `x = 5` and then `y = x`, what is the value of y?",1,5,q6,"After executing x = 5; y = x + 2; x = 3, what is y's value?",2,6,0.731,similar
