text,answer,a,b,c,d,e,f,g,h,hint,feedback
Which sentence is a proposition?,The sky is purple.,What time is it?,Shut the door.,The sky is purple.,Have a nice day.,,,,,,
The compound proposition \(p \land q\) is true only if _____.,both \(p\) and \(q\) are true,at least one of \(p\) or \(q\) is true,both \(p\) and \(q\) are false,both \(p\) and \(q\) are true,\(p\) is true and \(q\) is false,,,,,,
The truth table for \(p \lor q\) shows it is false only when _____.,both \(p\) and \(q\) are false,\(p\) is true and \(q\) is false,both \(p\) and \(q\) are false,either \(p\) or \(q\) is true,both \(p\) and \(q\) are true,,,,,,
The _exclusive or_ \(p \oplus q\) is true when _____.,exactly one of \(p\) or \(q\) is true,both \(p\) and \(q\) are true,both \(p\) and \(q\) are false,exactly one of \(p\) or \(q\) is true,neither \(p\) nor \(q\) is true,,,,,,
The negation \(\neg p\) of a proposition \(p\) is _____.,the opposite truth value of \(p\),the same truth value as \(p\),the opposite truth value of \(p\),true only if \(p\) is true,false only if \(p\) is false,,,,,,
"Which is a correct way to express ""The sauce looks disgusting and tastes delicious"" in logical notation using \(p\) and \(h\)?",\(p \land h\),\(p \lor h\),\(\neg p \land h\),\(p \land h\),\(\neg p \lor \neg h\),,,,,,
When are the inclusive OR (\(p \lor q\)) and exclusive OR (\(p \oplus q\)) different in truth value?,\(p = q = \text{T}\),\(p = q = \text{F}\),"\(p = \text{T}\), \(q = \text{F}\)","\(p = \text{F}\), \(q = \text{T}\)",\(p = q = \text{T}\),,,,,,
Which sentence is _not_ a proposition?,Do you like my new shoes?,The patient has diabetes.,The light is on.,Do you like my new shoes?,The sky is purple.,,,,,,
A truth table for a compound proposition shows _____.,truth values for every combination of variables,only the true cases of variables,only the false cases of variables,truth values for every combination of variables,the number of propositions involved,,,,,,
A _proposition_ is a statement that is _____.,either true or false,always true,always false,either true or false,neither true nor false,,,,,,
The truth table for conjunction \(p \land q\) shows it is true when _____.,both \(p\) and \(q\) are true,\(p\) is true,\(q\) is true,both \(p\) and \(q\) are true,either \(p\) or \(q\) is true,,,,,,
Which English phrase best expresses the conjunction \(p \land q\)?,\(p\) and \(q\),\(p\) or \(q\),\(p\) and \(q\),not \(p\),"either \(p\) or \(q\), but not both",,,,,,
The disjunction \(p \lor q\) is false only if _____.,both \(p\) and \(q\) are false,\(p\) is true and \(q\) is false,\(p\) is false and \(q\) is true,both \(p\) and \(q\) are false,either \(p\) or \(q\) is true,,,,,,
The exclusive or \(p \oplus q\) is true when _____.,exactly one of \(p\) or \(q\) is true,both \(p\) and \(q\) are true,both \(p\) and \(q\) are false,exactly one of \(p\) or \(q\) is true,neither \(p\) nor \(q\) is true,,,,,,
What is the negation \(\neg p\) of a proposition \(p\)?,opposite truth value of \(p\),\(p\) is true,\(p\) is false,opposite truth value of \(p\),\(p\) or not \(p\),,,,,,
Which sentence is a proposition?,The sky is purple.,What time is it?,Shut the door.,The sky is purple.,Have a nice day.,,,,,,
"If \(p\) is true and \(q\) is false, what is the truth value of \(p \land q\)?",False,True,False,Unknown,Depends on context,,,,,,
"In logic, the inclusive ""or"" means _____.",one or both of \(p\) and \(q\) is true,"either \(p\) or \(q\) is true, but not both",both \(p\) and \(q\) are true,one or both of \(p\) and \(q\) is true,neither \(p\) nor \(q\) is true,,,,,,
"The expression ""Felicia did not go to the game"" is represented as _____.",\(\neg q\),\(q\),\(\neg q\),\(p \land q\),\(p \lor q\),,,,,,
A _proposition_ is a statement that is _____.,either true or false,always true,always false,either true or false,neither true nor false,,,,,,
Which sentence is a proposition?,"""The light is on.""","""Close the window.""","""Is it raining?""","""The light is on.""","""Have a nice day.""",,,,,,
The truth value of a proposition indicates whether it is _____.,true or false,true or false,true or unknown,false or a command,a question or a command,,,,,,
The conjunction \(p \land q\) is true only when _____.,\(p\) is true and \(q\) is true,\(p\) is true or \(q\) is true,\(p\) is true and \(q\) is true,\(p\) is false and \(q\) is false,\(p\) or \(q\) is false,,,,,,
The disjunction \(p \lor q\) is false only if _____.,\(p\) and \(q\) are both false,\(p\) and \(q\) are both false,\(p\) or \(q\) is true,\(p\) and \(q\) are both true,\(p\) is true but \(q\) is false,,,,,,
The exclusive or \(p \oplus q\) is true when _____.,"either \(p\) or \(q\) is true, but not both",both \(p\) and \(q\) are true,"either \(p\) or \(q\) is true, but not both",both \(p\) and \(q\) are false,neither \(p\) nor \(q\) is true,,,,,,
How does the inclusive or differ from exclusive or?,Inclusive or is true if at least one is true,Inclusive or is true only if both are false,Exclusive or is true if both are true,Inclusive or is true if at least one is true,Exclusive or is true if none are true,,,,,,
The negation \(\neg p\) changes the truth value of \(p\) to _____.,the opposite of \(p\)'s truth value,true if \(p\) is true,false if \(p\) is false,the opposite of \(p\)'s truth value,always true,,,,,,
Which logical operation connects two propositions to form a compound proposition true only if both are true?,conjunction,disjunction,negation,conjunction,exclusive or,,,,,,
"Translate to logical notation: ""The patient did not have migraines.""",\(\neg m\),\(m\),\(\neg m\),\(m \lor n\),\(\neg n\),,,,,,
