=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,1,9
1,3,1,1,9
1,4,1,2,9
2,3,1,0,9
2,4,1,1,9
3,4,2,1,9

Summary
Total Comparisons,66
Duplicates (≥85%),7
Similar (70-85%),6

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,"The phrase ""data science"" was first introduced in the _____.",2,2,q2,"The phrase ""data science"" was first introduced in the _____.",3,2,1,duplicate
q2,"The phrase ""data science"" was first introduced in the _____.",2,2,q2,"The phrase ""data science"" was first introduced in the _____.",4,2,1,duplicate
q2,"The phrase ""data science"" was first introduced in the _____.",3,2,q2,"The phrase ""data science"" was first introduced in the _____.",4,2,1,duplicate
q2,"The term ""data science"" was first introduced in the _____.",1,2,q2,"The phrase ""data science"" was first introduced in the _____.",2,2,0.969,duplicate
q2,"The term ""data science"" was first introduced in the _____.",1,2,q2,"The phrase ""data science"" was first introduced in the _____.",3,2,0.969,duplicate
q2,"The term ""data science"" was first introduced in the _____.",1,2,q2,"The phrase ""data science"" was first introduced in the _____.",4,2,0.969,duplicate
q3,Which discipline focuses on designing experiments and deriving new models to analyze data?,3,3,q3,Which discipline primarily designs experiments and derives new models for data analysis?,4,3,0.943,duplicate
q1,Data science primarily focuses on _____ to discover patterns and relationships.,1,1,q1,Data science is an interdisciplinary field focused on _____.,4,1,0.786,similar
q1,Data science is best described as a/an _____ field that uses data to discover patterns.,3,1,q1,Data science is an interdisciplinary field focused on _____.,4,1,0.738,similar
q1,What is the main focus of data science as a field?,2,1,q1,Data science is an interdisciplinary field focused on _____.,4,1,0.719,similar
q1,Data science primarily focuses on _____ to discover patterns and relationships.,1,1,q1,What is the main focus of data science as a field?,2,1,0.718,similar
q3,Which method discipline includes clustering and decision trees?,1,3,q3,Which discipline primarily designs experiments and derives new models for data analysis?,4,3,0.712,similar
