=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,11,0,5
2,11,0,9
3,11,1,8
4,11,2,8

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,6,19,121
1,3,3,19,121
1,4,3,17,121
2,3,7,27,121
2,4,9,22,121
3,4,8,24,121

Summary
Total Comparisons,946
Duplicates (≥85%),39
Similar (70-85%),158

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q7,"Which English sentence is logically equivalent to: ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",1,7,q10,"Which English sentence is logically equivalent to ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",2,10,0.999,duplicate
q5,Which truth assignment makes \(\neg (p \lor q)\) true?,1,5,q7,Which truth assignment makes \(\neg (p \lor q)\) true?,2,7,0.998,duplicate
q1,A compound proposition that is true for every truth assignment is called a/an _____.,1,1,q1,A compound proposition that is true for every truth assignment is called a/an _____.,4,1,0.995,duplicate
q7,Which truth assignment makes \(\neg (p \lor q)\) true?,3,7,q6,Which truth assignment makes \(\neg (p \lor q)\) true?,4,6,0.991,duplicate
q7,Which truth assignment makes \(\neg (p \lor q)\) true?,2,7,q6,Which truth assignment makes \(\neg (p \lor q)\) true?,4,6,0.984,duplicate
q5,Which truth assignment makes \(\neg (p \lor q)\) true?,1,5,q6,Which truth assignment makes \(\neg (p \lor q)\) true?,4,6,0.982,duplicate
q7,Which truth assignment makes \(\neg (p \lor q)\) true?,2,7,q7,Which truth assignment makes \(\neg (p \lor q)\) true?,3,7,0.981,duplicate
q5,Which truth assignment makes \(\neg (p \lor q)\) true?,1,5,q7,Which truth assignment makes \(\neg (p \lor q)\) true?,3,7,0.979,duplicate
q1,A compound proposition that is always true regardless of variable values is called a/an _____.,2,1,q1,A compound proposition that is always true regardless of individual truth values is called a/an _____.,3,1,0.972,duplicate
q3,"To show two compound propositions are logically equivalent, their biconditional must be a/an _____.",3,3,q3,"To show two propositions are logically equivalent, their biconditional must be a/an _____.",4,3,0.956,duplicate
