text,answer,a,b,c,d,e,f,g,h,hint,feedback
Data wrangling is primarily performed to _____.,prepare source data for analysis,increase data storage capacity,prepare source data for analysis,encrypt data for security,backup data in cloud storage,,,,,,
Which data wrangling step involves removing or replacing missing values?,Cleaning,Exploring,Structuring,Cleaning,Enriching,,,,,,
How does ETL differ from data wrangling in typical usage?,ETL is automated and periodic; data wrangling is manual and static,ETL is manual; data wrangling is automated,ETL uses spreadsheets; data wrangling uses databases,ETL is automated and periodic; data wrangling is manual and static,ETL only extracts data; data wrangling only loads data,,,,,,
"In pandas, which method imports data from a CSV file?",read_csv(),read_excel(),read_sql_table(),read_csv(),DataFrame(),,,,,,
Data wrangling primarily exists to _____.,prepare source data for analysis,generate new data from scratch,prepare source data for analysis,create transactional databases,automate data loading into analytic databases,,,,,,
Which step in data wrangling standardizes formats and units?,Structuring,Exploring,Structuring,Cleaning,Enriching,,,,,,
How does ETL differ from data wrangling?,ETL automates repeated extraction from transactional databases,"ETL is manual, data wrangling is automated","ETL runs on static datasets, data wrangling processes live data",ETL automates repeated extraction from transactional databases,"ETL only cleans data, data wrangling only enriches data",,,,,,
"In pandas, what does the DataFrame index represent?",Row labels identifying instances,Column labels,Data types of features,Row labels identifying instances,The number of rows and columns,,,,,,
What is the primary purpose of data wrangling?,To prepare source data for analysis,To visualize data trends,To prepare source data for analysis,To store data in cloud databases,To create machine learning models,,,,,,
Which data wrangling step standardizes feature formats and units?,Structuring,Cleaning,Enriching,Structuring,Exploring,,,,,,
How does ETL differ from data wrangling in typical usage?,ETL is automated and repeats; data wrangling is manual on static data,ETL is manual; data wrangling is automated,ETL loads raw data without transformation,ETL is automated and repeats; data wrangling is manual on static data,ETL only cleans data; data wrangling transforms data,,,,,,
"In pandas, which method loads data from a CSV file into a dataframe?",read_csv(),DataFrame(),read_sql_table(),read_csv(),read_excel(),,,,,,
Data wrangling primarily exists to _____.,prepare source data for analysis,automate real-time data extraction,prepare source data for analysis,replace ETL in large databases,store data in the cloud,,,,,,
Which step in data wrangling standardizes feature formats and units?,Structuring,Exploring,Structuring,Enriching,Publishing,,,,,,
How does ETL differ from data wrangling?,ETL transforms data after loading to analytic DB; data wrangling is manual,ETL is manual; data wrangling is automated,ETL transforms data after loading to analytic DB; data wrangling is manual,ETL only extracts data; data wrangling only cleans data,ETL works on static datasets; data wrangling extracts new data periodically,,,,,,
"In pandas, which method imports data from a CSV file into a dataframe?",read_csv(),read_excel(),DataFrame(),read_csv(),dataframe.info(),,,,,,
