=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,6
2,10,0,9
3,10,1,4
4,10,0,2

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,4,21,100
1,3,5,11,100
1,4,4,8,100
2,3,3,19,100
2,4,2,13,100
3,4,3,10,100

Summary
Total Comparisons,780
Duplicates (≥85%),22
Similar (70-85%),103

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,The conjunction \(p \land q\) is true when _____.,3,3,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.986,duplicate
q4,The disjunction \(p \lor q\) is false only when _____.,3,4,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.978,duplicate
q3,The conjunction \(p \land q\) is true when _____.,1,3,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.977,duplicate
q3,The conjunction \(p \land q\) is true when _____.,1,3,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.971,duplicate
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.959,duplicate
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q3,The compound proposition \(p \land q\) is true only when _____.,2,3,0.932,duplicate
q6,The negation \(\neg p\) means that the truth value of \(\neg p\) is _____.,1,6,q6,The negation \(\neg p\) of a proposition \(p\) has the truth value that is _____.,4,6,0.909,duplicate
q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.906,duplicate
q1,A proposition is a statement that is _____.,2,1,q1,A proposition is a statement that is _____.,3,1,0.905,duplicate
q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.9,duplicate
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,0.895,duplicate
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.894,duplicate
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.886,duplicate
q6,The negation \(\neg p\) means that the truth value of \(\neg p\) is _____.,1,6,q6,The negation \(\neg p\) changes the truth value of \(p\) to _____.,3,6,0.882,duplicate
q3,The conjunction \(p \land q\) is true when _____.,1,3,q3,The compound proposition \(p \land q\) is true only when _____.,2,3,0.88,duplicate
q1,A _proposition_ is a statement that is _____.,1,1,q1,A _proposition_ is a statement that is _____.,4,1,0.879,duplicate
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.877,duplicate
q6,The negation \(\neg p\) changes the truth value of \(p\) to _____.,3,6,q6,The negation \(\neg p\) of a proposition \(p\) has the truth value that is _____.,4,6,0.87,duplicate
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.868,duplicate
q1,A _proposition_ is a statement that is _____.,1,1,q1,A proposition is a statement that is _____.,3,1,0.86,duplicate
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,0.851,duplicate
q3,The conjunction \(p \land q\) is true when _____.,3,3,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.851,duplicate
q4,The disjunction \(p \lor q\) is false only when _____.,3,4,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.849,similar
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.846,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.846,similar
q3,The conjunction \(p \land q\) is true when _____.,3,3,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.846,similar
q10,A command or a question is _____ a proposition because it cannot be true or false.,2,10,q10,"In logic, a command or a question _____ a proposition because it has no truth value.",4,10,0.842,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,0.837,similar
q3,The conjunction \(p \land q\) is true when _____.,4,3,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.836,similar
q1,A _proposition_ is a statement that is _____.,1,1,q1,A proposition is a statement that is _____.,2,1,0.834,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.833,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,0.833,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.832,similar
q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.832,similar
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.83,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.83,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.828,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.828,similar
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,0.826,similar
q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.825,similar
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.823,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,0.819,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.816,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,0.809,similar
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.808,similar
q2,Which sentence is a proposition?,2,2,q2,Which of the following is an example of a proposition?,3,2,0.801,similar
q8,Which English sentence corresponds to the logical proposition \(p \land q\)?,1,8,q8,Which English sentence best represents \(p \land q\)?,2,8,0.8,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,0.792,similar
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,0.792,similar
q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.783,similar
q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,q6,The negation \(\neg p\) changes the truth value of \(p\) to _____.,3,6,0.782,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.781,similar
q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,q6,The negation \(\neg p\) of a proposition \(p\) has the truth value that is _____.,4,6,0.781,similar
q2,Which sentence is a proposition?,1,2,q2,Which sentence is a proposition?,2,2,0.78,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.78,similar
q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.778,similar
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.77,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.769,similar
q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.769,similar
q10,A command or a question is _____ a proposition because it cannot be true or false.,2,10,q1,A _proposition_ is a statement that is _____.,4,1,0.769,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,0.768,similar
q1,A proposition is a statement that is _____.,3,1,q1,A _proposition_ is a statement that is _____.,4,1,0.767,similar
q10,A command or a question is _____ a proposition because it cannot be true or false.,2,10,q1,A proposition is a statement that is _____.,3,1,0.765,similar
q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.764,similar
q4,The disjunction \(p \lor q\) is false only when _____.,3,4,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.759,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.758,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q3,The compound proposition \(p \land q\) is true only when _____.,2,3,0.757,similar
q3,The conjunction \(p \land q\) is true when _____.,3,3,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.755,similar
q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.755,similar
q6,The negation \(\neg p\) means that the truth value of \(\neg p\) is _____.,1,6,q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,0.754,similar
q1,A proposition is a statement that is _____.,2,1,q1,A _proposition_ is a statement that is _____.,4,1,0.754,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.753,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.752,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.751,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,0.748,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.748,similar
q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.743,similar
q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.741,similar
q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.739,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,0.738,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q8,Which English sentence best represents \(p \land q\)?,2,8,0.737,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.734,similar
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,0.732,similar
q8,Which English sentence best represents \(p \land q\)?,2,8,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.731,similar
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,0.73,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,0.73,similar
q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.73,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,0.729,similar
q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.729,similar
q3,The conjunction \(p \land q\) is true when _____.,4,3,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.729,similar
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.728,similar
q1,A _proposition_ is a statement that is _____.,1,1,q10,A command or a question is _____ a proposition because it cannot be true or false.,2,10,0.727,similar
q1,A proposition is a statement that is _____.,2,1,q10,A command or a question is _____ a proposition because it cannot be true or false.,2,10,0.726,similar
q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.726,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,0.725,similar
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,0.724,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,0.724,similar
q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.723,similar
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,0.722,similar
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.721,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,0.72,similar
q8,Which English sentence corresponds to the logical proposition \(p \land q\)?,1,8,q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,0.72,similar
q3,The conjunction \(p \land q\) is true when _____.,3,3,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.72,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,0.719,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,0.719,similar
q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,q4,The disjunction \(p \lor q\) is false only if _____.,4,4,0.718,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,0.717,similar
q4,The disjunction \(p \lor q\) is false only when _____.,3,4,q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,0.717,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,0.715,similar
q3,The conjunction \(p \land q\) is true when _____.,3,3,q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,0.715,similar
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.712,similar
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q3,The compound proposition \(p \land q\) is true only when _____.,2,3,0.711,similar
q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,q7,"In logic, the inclusive ""or"" means _____.",3,7,0.711,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,0.71,similar
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,0.709,similar
q3,The conjunction \(p \land q\) is true when _____.,1,3,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.708,similar
q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.708,similar
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,0.706,similar
q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,q7,"In logic, the inclusive ""or"" means _____.",3,7,0.706,similar
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.705,similar
q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,q8,Which English sentence best represents \(p \land q\)?,2,8,0.705,similar
q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,0.705,similar
q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,q4,The disjunction \(p \lor q\) is false only when _____.,3,4,0.704,similar
q8,Which English sentence corresponds to the logical proposition \(p \land q\)?,1,8,q3,The compound proposition \(p \land q\) is true only when _____.,2,3,0.701,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q5,The difference between inclusive or and exclusive or is that exclusive or is true only when _____.,2,5,0.7,similar
q4,The disjunction \(p \lor q\) is false only when _____.,3,4,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.7,low
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q8,Which English sentence best represents \(p \land q\)?,2,8,0.697,low
q9,When do the inclusive or \(p \lor q\) and exclusive or \(p \oplus q\) differ?,1,9,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.696,low
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.692,low
q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.692,low
q3,The conjunction \(p \land q\) is true when _____.,1,3,q8,Which English sentence best represents \(p \land q\)?,2,8,0.69,low
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q7,"In logic, the inclusive ""or"" means _____.",3,7,0.69,low
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.689,low
q4,The disjunction \(p \lor q\) is false only if _____.,4,4,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.689,low
q8,Which English sentence corresponds to the logical proposition \(p \land q\)?,1,8,q3,The conjunction \(p \land q\) is true when _____.,4,3,0.687,low
q4,The disjunction \(p \lor q\) is false only when _____.,3,4,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.686,low
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q8,Which English sentence corresponds to the logical proposition \(p \land q\)?,1,8,0.684,low
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.684,low
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.683,low
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.683,low
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q9,"How is the compound proposition ""Despite the fact that \(p\), \(q\)"" expressed logically?",3,9,0.682,low
q4,The disjunction \(p \lor q\) is false only if _____.,4,4,q8,"Given \(p\) is true and \(q\) is false, the truth value of \(p \land q\) is _____.",4,8,0.682,low
q8,Which English sentence corresponds to the logical proposition \(p \land q\)?,1,8,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.679,low
q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,q10,Which of the following correctly describes the truth value of \(p \land q\) if \(p\) is true and \(q\) is false?,3,10,0.678,low
q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.678,low
q3,The conjunction \(p \land q\) is true when _____.,1,3,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.677,low
q8,Which English sentence best represents \(p \land q\)?,2,8,q9,"In logic, the proposition \(p \lor q\) means _____.",2,9,0.677,low
q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.676,low
q7,"In logic, the inclusive ""or"" means _____.",3,7,q5,The main difference between inclusive OR and exclusive OR is that exclusive OR is true only when _____.,4,5,0.676,low
q1,A proposition is a statement that is _____.,3,1,q10,"In logic, a command or a question _____ a proposition because it has no truth value.",4,10,0.675,low
q3,The conjunction \(p \land q\) is true when _____.,1,3,q8,Which English sentence corresponds to the logical proposition \(p \land q\)?,1,8,0.674,low
q4,The compound proposition \(p \lor q\) is false only if _____.,1,4,q9,"How is the compound proposition ""Despite the fact that \(p\), \(q\)"" expressed logically?",3,9,0.674,low
q3,The compound proposition \(p \land q\) is true only when _____.,2,3,q8,Which English sentence best represents \(p \land q\)?,2,8,0.674,low
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,0.674,low
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,1,5,q6,The negation of a proposition \(p\) is true when \(p\) is _____.,2,6,0.673,low
q8,Which English sentence best represents \(p \land q\)?,2,8,q3,The conjunction \(p \land q\) is true when _____.,3,3,0.672,low
