text,answer,a,b,c,d,e,f,g,h,hint,feedback
Which data type stores a single character value like 'm'?,char,int,float,char,string,,,,,,
What does the escape sequence '\n' represent in output?,newline character,tab character,single quote,newline character,backslash,,,,,,
How does the compiler treat System.out.print(let1 + let2) if let1 and let2 are chars?,Outputs the sum of their ASCII values,Outputs concatenated characters,Outputs the sum of their ASCII values,Outputs both characters separated by a space,Causes a compiler error,,,,,,
The ASCII code 97 corresponds to which character?,'a','A','a','0','Z',,,,,,
A _char_ variable stores _____.,a number representing a character,a string of characters,a number representing a character,multiple letters,only numeric digits,,,,,,
"In Java, to read a single character from input, use _____.",scnr.next().charAt(0),scnr.nextChar(),scnr.charAt(0),scnr.next().charAt(0),scnr.getChar(),,,,,,
"Why does System.out.print("""" + c1 + c2) output characters, not their sum?",""""" converts output to a string, concatenating characters",""""" converts output to a string, concatenating characters",It automatically converts characters to numbers,It adds ASCII values before printing,It prints only the first character,,,,,,
The escape sequence for a tab character is _____.,\t,\t,\n,\',\\,,,,,,
A char variable stores a single _____.,character,string,integer,character,boolean,,,,,,
What does the escape sequence \n represent in output?,newline character,tab character,newline character,backslash character,double quote character,,,,,,
"In ASCII, the character 'A' is stored as the number _____.",65,97,65,48,32,,,,,,
"To output multiple char variables as characters in one statement, start the print with _____.",""""" +","+ """"","""""",""""" +",' ' +,,,,,,
A _char_ variable stores a/an _____ internally.,integer corresponding to a character,string,floating-point number,integer corresponding to a character,Boolean value,,,,,,
Which escape sequence represents a tab character in output?,\t,\n,\t,\',\\,,,,,,
"What does the statement System.out.print("""" + c1 + c2); do in Java when c1 and c2 are chars?",Prints the two chars concatenated as a string,Adds ASCII values of c1 and c2 and prints sum,Prints the two chars concatenated as a string,Causes a compile error,Prints only the first character,,,,,,
ASCII encoding uses exactly _____ bits to represent characters.,8,7,8,16,32,,,,,,
