text,answer,a,b,c,d,e,f,g,h,hint,feedback
Why must variables be bound in a quantified statement to form a proposition?,To fix variables to the scope of a quantifier,To ensure all variables are integers,To limit the domain to positive numbers,To fix variables to the scope of a quantifier,To exclude logical operators from the statement,,,,,,
"Which quantifier expresses ""There exists a positive integer that is prime and even""?",\(\exists x (P(x) \land \lnot O(x))\),\(\forall x (P(x) \land O(x))\),\(\exists x (P(x) \land O(x))\),\(\exists x (P(x) \land \lnot O(x))\),\(\forall x (P(x) \land \lnot O(x))\),,,,,,
How does the truth value of \(\forall x (P(x) \rightarrow Q(x))\) depend on counterexamples?,It is false if at least one counterexample exists,It is true if at least one counterexample exists,It is false if at least one counterexample exists,It is true regardless of counterexamples,It depends only on existential quantifiers,,,,,,
"Which expression correctly translates ""Every new employee met the deadline""?",\(\forall x (N(x) \rightarrow D(x))\),\(\exists x (N(x) \land D(x))\),\(\forall x (N(x) \land D(x))\),\(\exists x (N(x) \rightarrow D(x))\),\(\forall x (N(x) \rightarrow D(x))\),,,,,,
Fill in the blank: The scope of a quantifier is the part of the logical expression to which the quantifier _____.,applies,excludes variables,applies,negates all predicates,reverses the truth value,,,,,,
"Why is \(\exists x (S(x) \lor P(x))\) not logically equivalent to ""Someone was sick and came to the party""?",Because \(\exists x (S(x) \lor P(x))\) allows either condition to be true,Because \(\lor\) means both conditions must be true,Because \(\exists x (S(x) \lor P(x))\) allows either condition to be true,Because \(\exists\) quantifier cannot be used with \(\lor\),Because the domain is infinite,,,,,,
Which is true about variable names in quantified statements?,Different variable names can be used if consistently substituted within quantifier scope,Variable names cannot be changed once assigned,Different variable names can be used if consistently substituted within quantifier scope,Using the same variable name in different quantifiers causes errors,Variable names must be single letters only,,,,,,
Fill in the blank: The predicate \(P(x)\) with variable \(x\) free is called a/an _____ variable.,free,bound,restricted,free,quantified,,,,,,
How does the expression \(\forall x (P(x) \land Q(y))\) differ from \(\forall x (P(x) \land Q(x))\) in terms of proposition status?,The first has a free variable and is not a proposition,Both are propositions,The first is a proposition; the second is not,The first has a free variable and is not a proposition,Both have free variables and are not propositions,,,,,,
A variable _____ in a predicate is bound if it is attached to a quantifier.,bound,free,independent,bound,unrelated,,,,,,
The scope of a quantifier includes _____.,only the predicate it applies to,all variables in the expression,only the predicate it applies to,the entire logical statement,only free variables,,,,,,
"Which quantifier corresponds to ""There exists"" in logic?",∃,∀,∃,¬,→,,,,,,
"The statement ""All prime numbers are odd"" translates logically to _____.",\(\forall x (P(x) \rightarrow O(x))\),\(\exists x (P(x) \rightarrow O(x))\),\(\forall x (P(x) \rightarrow O(x))\),\(\forall x (P(x) \land O(x))\),\(\exists x (P(x) \land \lnot O(x))\),,,,,,
A statement with free variables is _____.,not a proposition,always true,always false,a proposition,not a proposition,,,,,,
The expression \(\exists x (P(x) \land Q(x))\) means _____.,There is at least one x for which P(x) and Q(x) are true,"For every x, P(x) and Q(x) are true",There is at least one x for which P(x) and Q(x) are true,P(x) and Q(x) are true for no x,"For every x, either P(x) or Q(x) is true",,,,,,
"Which logical expression matches ""Every new employee met the deadline""?",\(\forall x (N(x) \rightarrow D(x))\),\(\exists x (N(x) \land D(x))\),\(\forall x (N(x) \land D(x))\),\(\forall x (N(x) \rightarrow D(x))\),\(\exists x (N(x) \rightarrow D(x))\),,,,,,
Variable names in quantified statements can be changed if _____.,the substitution is consistent within the quantifier's scope,the variable is free,the substitution is consistent within the quantifier's scope,the variable is only in one predicate,the quantifier is existential,,,,,,
The proposition \(\exists x (P(x) \lor Q(x))\) is true if _____.,at least one x satisfies P(x) or Q(x),no x satisfies P(x) or Q(x),at least one x satisfies P(x) or Q(x),all x satisfy both P(x) and Q(x),all x satisfy neither P(x) nor Q(x),,,,,,
