=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,6,0,0
2,6,0,0
3,6,0,0
4,6,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,0,36
1,3,1,2,36
1,4,0,3,36
2,3,1,1,36
2,4,0,2,36
3,4,1,1,36

Summary
Total Comparisons,276
Duplicates (≥85%),3
Similar (70-85%),9

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,What does the list method append() do?,2,2,q1,What does the list method append() do?,3,1,0.918,duplicate
q4,How does the pop(i) method modify a list?,1,4,q5,What does the list method pop(i) do?,3,5,0.904,duplicate
q2,What is the index of the first element in any list?,3,2,q2,What is the index of the first element in a Python list?,4,2,0.901,duplicate
q2,"In a list, the index of the first element is _____.",1,2,q2,What is the index of the first element in any list?,3,2,0.802,similar
q3,Which method adds a new element to the end of a list?,1,3,q3,Which list method adds a new element to the end of a list?,4,3,0.791,similar
q5,What does the expression len(my_list) return?,1,5,q6,What will len(list) return?,3,6,0.779,similar
q1,What does it mean that a list is a mutable container?,1,1,q1,A list is a container that is _____.,4,1,0.772,similar
q2,"In a list, the index of the first element is _____.",1,2,q2,What is the index of the first element in a Python list?,4,2,0.769,similar
q6,What does the expression list1 + list2 do?,2,6,q4,What is the result of the expression list1 + list2 where both are lists?,3,4,0.757,similar
q1,A list is called _____ because its elements can be changed after creation.,2,1,q1,A list is a container that is _____.,4,1,0.756,similar
q2,What does the list method append() do?,2,2,q3,Which list method adds a new element to the end of a list?,4,3,0.73,similar
q1,What does the list method append() do?,3,1,q3,Which list method adds a new element to the end of a list?,4,3,0.728,similar
q3,Which method adds a new element to the end of a list?,1,3,q1,What does the list method append() do?,3,1,0.663,low
q1,What does it mean that a list is a mutable container?,1,1,q1,A list is called _____ because its elements can be changed after creation.,2,1,0.662,low
q3,Which method adds a new element to the end of a list?,1,3,q2,What does the list method append() do?,2,2,0.66,low
q6,"How can two lists, list1 and list2, be combined into one list?",1,6,q6,What does the expression list1 + list2 do?,2,6,0.645,low
q6,"How can two lists, list1 and list2, be combined into one list?",1,6,q4,What is the result of the expression list1 + list2 where both are lists?,3,4,0.632,low
q5,What does the list method pop(i) do?,3,5,q3,Which list method adds a new element to the end of a list?,4,3,0.627,low
q5,Which method removes the first element with a given value in a list?,2,5,q5,What does the list method pop(i) do?,3,5,0.617,low
q3,Which method adds a new element to the end of a list?,1,3,q3,How can an element in a list be updated?,3,3,0.615,low
q5,What does the expression len(my_list) return?,1,5,q4,What does the expression my_list[2] do?,4,4,0.608,low
q3,Which method adds a new element to the end of a list?,1,3,q5,What does the list method pop(i) do?,3,5,0.604,low
q1,What does the list method append() do?,3,1,q5,What does the list method pop(i) do?,3,5,0.598,low
q3,Which method adds a new element to the end of a list?,1,3,q5,Which method removes the first element with a given value in a list?,2,5,0.596,low
q4,The function that returns the number of elements in a list is _____.,2,4,q6,What will len(list) return?,3,6,0.593,low
q4,How does the pop(i) method modify a list?,1,4,q5,Which method removes the first element with a given value in a list?,2,5,0.581,low
q4,How does the pop(i) method modify a list?,1,4,q3,Which list method adds a new element to the end of a list?,4,3,0.581,low
q2,What does the list method append() do?,2,2,q5,What does the list method pop(i) do?,3,5,0.578,low
q5,What does the expression len(my_list) return?,1,5,q6,Which of the following returns the sum of all numeric elements in a list?,4,6,0.573,low
q2,What is the index of the first element in any list?,3,2,q6,What will len(list) return?,3,6,0.566,low
q5,Which method removes the first element with a given value in a list?,2,5,q3,Which list method adds a new element to the end of a list?,4,3,0.565,low
q3,Which method adds a new element to the end of a list?,1,3,q4,How does the pop(i) method modify a list?,1,4,0.563,low
q6,What does the expression list1 + list2 do?,2,6,q1,What does the list method append() do?,3,1,0.561,low
q6,What will len(list) return?,3,6,q6,Which of the following returns the sum of all numeric elements in a list?,4,6,0.554,low
