=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,8,0,0
2,8,0,0
3,8,0,0
4,8,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,3,1,64
1,3,4,2,64
1,4,2,1,64
2,3,2,2,64
2,4,1,2,64
3,4,2,3,64

Summary
Total Comparisons,496
Duplicates (≥85%),14
Similar (70-85%),11

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,What keyword does Python use to define a new function?,3,2,q3,What keyword is used in Python to define a new function?,4,3,0.967,duplicate
q5,What is a parameter in a function definition?,2,5,q5,What is a parameter in a function definition?,3,5,0.952,duplicate
q1,Why do programmers use functions to group statements?,1,1,q1,Why do programmers use functions in a program?,4,1,0.922,duplicate
q3,Which keyword is used to define a new function in Python?,1,3,q2,What keyword starts a function definition in Python?,2,2,0.911,duplicate
q1,Why do programmers use functions in a program?,3,1,q1,Why do programmers use functions in a program?,4,1,0.911,duplicate
q5,What is a parameter in a function definition?,1,5,q5,What is a parameter in a function definition?,3,5,0.904,duplicate
q6,How are multiple parameters specified in a Python function definition?,2,6,q6,How are multiple parameters specified in a function definition?,3,6,0.904,duplicate
q1,Why do programmers use functions to group statements?,1,1,q1,Why do programmers use functions in a program?,3,1,0.899,duplicate
q2,What does a function call do in a program?,1,2,q3,What does a function call do in a program?,2,3,0.895,duplicate
q7,"In hierarchical function calls, what happens when a function call is used inside another function call?",2,7,q8,"In hierarchical function calls, what happens when one function calls another inside its statements?",4,8,0.886,duplicate
q3,Which keyword is used to define a new function in Python?,1,3,q2,What keyword does Python use to define a new function?,3,2,0.875,duplicate
q8,What is a hierarchical function call?,1,8,q8,What is a hierarchical (nested) function call?,3,8,0.871,duplicate
q3,Which keyword is used to define a new function in Python?,1,3,q3,What keyword is used in Python to define a new function?,4,3,0.858,duplicate
q5,What is a parameter in a function definition?,1,5,q5,What is a parameter in a function definition?,2,5,0.854,duplicate
q2,What keyword starts a function definition in Python?,2,2,q2,What keyword does Python use to define a new function?,3,2,0.826,similar
q2,What keyword starts a function definition in Python?,2,2,q3,What keyword is used in Python to define a new function?,4,3,0.823,similar
q4,What does a return statement in a function do?,1,4,q4,What does the return statement do inside a function?,3,4,0.791,similar
q4,What does the return statement do inside a function?,3,4,q7,What is the purpose of the return statement in a function?,4,7,0.789,similar
q1,What is the main benefit of defining a function in a program?,2,1,q1,Why do programmers use functions in a program?,4,1,0.787,similar
q3,"When a function is called, what happens to the execution of the program?",3,3,q2,What happens when a function call is executed in a program?,4,2,0.772,similar
q7,What happens when a function has multiple parameters?,1,7,q6,How are multiple parameters specified in a function definition?,3,6,0.767,similar
q7,Which is a valid function call with two arguments x and y?,3,7,q4,Which of the following is a valid function definition header with two parameters x and y?,4,4,0.76,similar
q1,Why do programmers use functions to group statements?,1,1,q1,What is the main benefit of defining a function in a program?,2,1,0.754,similar
q4,What does a return statement in a function do?,1,4,q7,What is the purpose of the return statement in a function?,4,7,0.753,similar
q1,What is the main benefit of defining a function in a program?,2,1,q1,Why do programmers use functions in a program?,3,1,0.748,similar
q7,What happens when a function has multiple parameters?,1,7,q6,How are multiple parameters specified in a Python function definition?,2,6,0.697,low
q7,"In hierarchical function calls, what happens when a function call is used inside another function call?",2,7,q8,What is a hierarchical (nested) function call?,3,8,0.679,low
q8,What is a hierarchical function call?,1,8,q7,"In hierarchical function calls, what happens when a function call is used inside another function call?",2,7,0.674,low
q5,What is a parameter in a function definition?,3,5,q5,What is the difference between a function parameter and an argument?,4,5,0.673,low
q3,What does a function call do in a program?,2,3,q2,What happens when a function call is executed in a program?,4,2,0.654,low
q8,What is a hierarchical function call?,1,8,q8,"In hierarchical function calls, what happens when one function calls another inside its statements?",4,8,0.653,low
q5,What is a parameter in a function definition?,1,5,q5,What is the difference between a function parameter and an argument?,4,5,0.65,low
q5,What is a parameter in a function definition?,2,5,q5,What is the difference between a function parameter and an argument?,4,5,0.646,low
q8,What is a hierarchical (nested) function call?,3,8,q8,"In hierarchical function calls, what happens when one function calls another inside its statements?",4,8,0.645,low
q2,What does a function call do in a program?,1,2,q2,What happens when a function call is executed in a program?,4,2,0.639,low
q3,What does a function call do in a program?,2,3,q4,What does the return statement do inside a function?,3,4,0.629,low
q2,What does a function call do in a program?,1,2,q3,"When a function is called, what happens to the execution of the program?",3,3,0.611,low
q3,"When a function is called, what happens to the execution of the program?",3,3,q8,"In hierarchical function calls, what happens when one function calls another inside its statements?",4,8,0.61,low
q2,What does a function call do in a program?,1,2,q4,What does the return statement do inside a function?,3,4,0.602,low
q4,What does a return statement in a function do?,1,4,q3,"When a function is called, what happens to the execution of the program?",3,3,0.585,low
q2,What happens when a function call is executed in a program?,4,2,q8,"In hierarchical function calls, what happens when one function calls another inside its statements?",4,8,0.583,low
q8,What is a hierarchical function call?,1,8,q3,What does a function call do in a program?,2,3,0.582,low
q2,What does a function call do in a program?,1,2,q1,What is the main benefit of defining a function in a program?,2,1,0.581,low
q3,What does a function call do in a program?,2,3,q3,"When a function is called, what happens to the execution of the program?",3,3,0.574,low
q2,What does a function call do in a program?,1,2,q8,What is a hierarchical function call?,1,8,0.568,low
q4,What does a return statement in a function do?,1,4,q3,What does a function call do in a program?,2,3,0.56,low
q1,What is the main benefit of defining a function in a program?,2,1,q3,What does a function call do in a program?,2,3,0.56,low
q7,What happens when a function has multiple parameters?,1,7,q5,What is a parameter in a function definition?,2,5,0.557,low
q2,What does a function call do in a program?,1,2,q4,What does a return statement in a function do?,1,4,0.556,low
q4,What does the return statement do inside a function?,3,4,q2,What happens when a function call is executed in a program?,4,2,0.555,low
q7,What happens when a function has multiple parameters?,1,7,q5,What is a parameter in a function definition?,3,5,0.549,low
q2,What happens when a function call is executed in a program?,4,2,q7,What is the purpose of the return statement in a function?,4,7,0.547,low
q3,"When a function is called, what happens to the execution of the program?",3,3,q4,What does the return statement do inside a function?,3,4,0.546,low
q4,What does a return statement in a function do?,1,4,q2,What happens when a function call is executed in a program?,4,2,0.545,low
q5,What is a parameter in a function definition?,2,5,q6,How are multiple parameters specified in a function definition?,3,6,0.544,low
q4,How many values can a Python function return directly?,2,4,q6,What value does a Python function return if there is no return statement?,4,6,0.543,low
q5,What is a parameter in a function definition?,1,5,q7,What happens when a function has multiple parameters?,1,7,0.536,low
q3,What does a function call do in a program?,2,3,q7,What is the purpose of the return statement in a function?,4,7,0.535,low
q3,"When a function is called, what happens to the execution of the program?",3,3,q7,What is the purpose of the return statement in a function?,4,7,0.535,low
q2,What does a function call do in a program?,1,2,q1,Why do programmers use functions in a program?,3,1,0.531,low
q7,"In hierarchical function calls, what happens when a function call is used inside another function call?",2,7,q2,What happens when a function call is executed in a program?,4,2,0.529,low
q2,What does a function call do in a program?,1,2,q2,What keyword does Python use to define a new function?,3,2,0.528,low
q8,What is a hierarchical function call?,1,8,q2,What happens when a function call is executed in a program?,4,2,0.527,low
q7,"In hierarchical function calls, what happens when a function call is used inside another function call?",2,7,q3,"When a function is called, what happens to the execution of the program?",3,3,0.526,low
q1,Why do programmers use functions in a program?,3,1,q2,What happens when a function call is executed in a program?,4,2,0.526,low
q3,What does a function call do in a program?,2,3,q5,What is a parameter in a function definition?,2,5,0.521,low
q2,What does a function call do in a program?,1,2,q3,What keyword is used in Python to define a new function?,4,3,0.518,low
q3,What does a function call do in a program?,2,3,q5,What is a parameter in a function definition?,3,5,0.518,low
q2,What does a function call do in a program?,1,2,q5,What is a parameter in a function definition?,3,5,0.516,low
q5,What is a parameter in a function definition?,3,5,q6,How are multiple parameters specified in a function definition?,3,6,0.515,low
