=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,3
2,10,0,4
3,10,0,1
4,10,0,3

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,7,100
1,3,2,9,100
1,4,3,11,100
2,3,2,9,100
2,4,3,7,100
3,4,3,9,100

Summary
Total Comparisons,780
Duplicates (≥85%),15
Similar (70-85%),63

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,Which symbol starts a single-line comment in Java or C++?,3,2,q2,Which symbol starts a single-line comment in Java or C++?,4,2,0.982,duplicate
q2,Which symbol starts a single-line comment in Java or C++?,2,2,q2,Which symbol starts a single-line comment in Java or C++?,4,2,0.973,duplicate
q2,Which symbol starts a single-line comment in Java and C?,1,2,q2,Which symbol starts a single-line comment in Java or C++?,3,2,0.96,duplicate
q2,Which symbol starts a single-line comment in Java or C++?,2,2,q2,Which symbol starts a single-line comment in Java or C++?,3,2,0.955,duplicate
q2,Which symbol starts a single-line comment in Java and C?,1,2,q2,Which symbol starts a single-line comment in Java or C++?,2,2,0.954,duplicate
q2,Which symbol starts a single-line comment in Java and C?,1,2,q2,Which symbol starts a single-line comment in Java or C++?,4,2,0.95,duplicate
q7,What happens if a multi-line comment contains another /* inside it?,2,7,q9,What happens if a multi-line comment includes another /* inside it?,3,9,0.932,duplicate
q7,How does a compiler recognize the end of a statement in languages like Java or C++?,3,7,q7,How does the compiler recognize the end of a statement in Java or C++?,4,7,0.932,duplicate
q9,Fill in the blank: A single-line comment starts with _____ and includes all text on that line.,1,9,q9,Fill in the blank: A single-line comment starts with _____ and continues to the end of that line.,4,9,0.93,duplicate
q1,What is the primary purpose of a comment in code?,1,1,q1,What is the main purpose of comments in code?,4,1,0.929,duplicate
q3,What marks the end of a multi-line (block) comment?,3,3,q3,What marks the end of a multi-line comment in C-style languages?,4,3,0.919,duplicate
q1,What is the primary purpose of comments in code?,2,1,q1,What is the main purpose of comments in code?,4,1,0.885,duplicate
q1,What is the primary purpose of a comment in code?,1,1,q1,What is the primary purpose of comments in code?,2,1,0.879,duplicate
q5,Why do programmers align code and comments using whitespace?,2,5,q5,Why do programmers align comments and indentation consistently?,4,5,0.875,duplicate
q7,What does a compiler do with comments in source code?,1,7,q4,How does a compiler treat comments in code?,3,4,0.862,duplicate
q3,How does a multi-line (block) comment begin and end?,1,3,q3,What marks the end of a multi-line (block) comment?,3,3,0.839,similar
q7,What does a compiler do with comments in source code?,1,7,q6,What happens to comments during code compilation?,4,6,0.833,similar
q1,What is the primary purpose of a comment in code?,1,1,q1,What does a comment in code primarily provide?,3,1,0.831,similar
q2,Which symbol starts a single-line comment in Java or C++?,3,2,q9,Fill in the blank: A single-line comment starts with _____ and continues to the end of that line.,4,9,0.819,similar
q8,Which statement about whitespace is true?,3,8,q4,Which statement about whitespace in code is true?,4,4,0.815,similar
q2,Which symbol starts a single-line comment in Java or C++?,4,2,q9,Fill in the blank: A single-line comment starts with _____ and continues to the end of that line.,4,9,0.814,similar
q4,How does a compiler treat comments in code?,3,4,q6,What happens to comments during code compilation?,4,6,0.813,similar
q6,Which practice improves code readability using whitespace?,1,6,q6,Which of the following is best practice for using whitespace to improve code readability?,3,6,0.808,similar
q1,What does a comment in code primarily provide?,3,1,q1,What is the main purpose of comments in code?,4,1,0.8,similar
q3,How does a multi-line (block) comment begin and end?,1,3,q3,A multi-line comment in code is enclosed by _____ and _____.,2,3,0.799,similar
q9,Fill in the blank: A single-line comment starts with _____ and includes all text on that line.,1,9,q2,Which symbol starts a single-line comment in Java or C++?,2,2,0.796,similar
q9,Fill in the blank: A single-line comment starts with _____ and includes all text on that line.,1,9,q2,Which symbol starts a single-line comment in Java or C++?,4,2,0.796,similar
q2,Which symbol starts a single-line comment in Java or C++?,2,2,q9,Fill in the blank: A single-line comment starts with _____ and continues to the end of that line.,4,9,0.796,similar
q9,Fill in the blank: A single-line comment starts with _____ and includes all text on that line.,1,9,q2,Which symbol starts a single-line comment in Java or C++?,3,2,0.794,similar
q2,Which symbol starts a single-line comment in Java and C?,1,2,q9,Fill in the blank: A single-line comment starts with _____ and continues to the end of that line.,4,9,0.79,similar
q9,Fill in the blank: A single-line comment starts with _____ and includes all text on that line.,1,9,q3,A multi-line comment in code is enclosed by _____ and _____.,2,3,0.79,similar
q3,A multi-line comment in code is enclosed by _____ and _____.,2,3,q9,Fill in the blank: A single-line comment starts with _____ and continues to the end of that line.,4,9,0.79,similar
q2,Which symbol starts a single-line comment in Java and C?,1,2,q9,Fill in the blank: A single-line comment starts with _____ and includes all text on that line.,1,9,0.787,similar
q5,Why do programmers align code and comments using whitespace?,2,5,q5,What is the main purpose of whitespace in source code?,3,5,0.786,similar
q10,Why is it good practice to align comments and operators consistently in code?,3,10,q5,Why do programmers align comments and indentation consistently?,4,5,0.78,similar
q3,What marks the end of a multi-line (block) comment?,3,3,q9,Fill in the blank: A single-line comment starts with _____ and continues to the end of that line.,4,9,0.776,similar
q2,Which symbol starts a single-line comment in Java or C++?,2,2,q3,What marks the end of a multi-line comment in C-style languages?,4,3,0.77,similar
q1,What is the primary purpose of comments in code?,2,1,q1,What does a comment in code primarily provide?,3,1,0.766,similar
q2,Which symbol starts a single-line comment in Java or C++?,4,2,q3,What marks the end of a multi-line comment in C-style languages?,4,3,0.766,similar
q3,What marks the end of a multi-line comment in C-style languages?,4,3,q9,Fill in the blank: A single-line comment starts with _____ and continues to the end of that line.,4,9,0.765,similar
q2,Which symbol starts a single-line comment in Java or C++?,3,2,q3,What marks the end of a multi-line comment in C-style languages?,4,3,0.764,similar
q9,Fill in the blank: A single-line comment starts with _____ and includes all text on that line.,1,9,q3,What marks the end of a multi-line (block) comment?,3,3,0.763,similar
q2,Which symbol starts a single-line comment in Java and C?,1,2,q3,A multi-line comment in code is enclosed by _____ and _____.,2,3,0.759,similar
q3,How does a multi-line (block) comment begin and end?,1,3,q8,Which type of comment allows multiple lines of text without starting each line with //,4,8,0.759,similar
q3,A multi-line comment in code is enclosed by _____ and _____.,2,3,q2,Which symbol starts a single-line comment in Java or C++?,4,2,0.759,similar
q3,A multi-line comment in code is enclosed by _____ and _____.,2,3,q2,Which symbol starts a single-line comment in Java or C++?,3,2,0.758,similar
q3,How does a multi-line (block) comment begin and end?,1,3,q3,What marks the end of a multi-line comment in C-style languages?,4,3,0.757,similar
q9,Fill in the blank: A single-line comment starts with _____ and includes all text on that line.,1,9,q3,What marks the end of a multi-line comment in C-style languages?,4,3,0.757,similar
q2,Which symbol starts a single-line comment in Java and C?,1,2,q3,What marks the end of a multi-line comment in C-style languages?,4,3,0.756,similar
q3,How does a multi-line (block) comment begin and end?,1,3,q9,Fill in the blank: A single-line comment starts with _____ and continues to the end of that line.,4,9,0.756,similar
q7,What happens if a multi-line comment contains another /* inside it?,2,7,q10,What is the difference between a single-line and multi-line comment?,2,10,0.751,similar
q2,Which symbol starts a single-line comment in Java or C++?,2,2,q3,A multi-line comment in code is enclosed by _____ and _____.,2,3,0.745,similar
q5,How does whitespace affect compilation?,1,5,q4,Which statement about whitespace in code is true?,4,4,0.743,similar
