=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,0
2,10,0,2
3,10,0,3
4,10,0,7

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,3,5,100
1,3,3,5,100
1,4,1,10,100
2,3,5,10,100
2,4,2,15,100
3,4,4,14,100

Summary
Total Comparisons,780
Duplicates (≥85%),18
Similar (70-85%),71

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,How many rows does a truth table have for a compound proposition with 4 variables?,3,1,q1,How many rows are in a truth table for a compound proposition with 4 variables?,4,1,0.994,duplicate
q2,Which logical operator has the highest precedence in compound propositions?,1,2,q8,Which logical operator has the highest precedence in compound propositions without parentheses?,3,8,0.974,duplicate
q3,The compound proposition \(p \land \neg (q \lor r)\) is true when:,3,3,q9,The compound proposition \((p \lor r) \land \neg q\) is true when:,4,9,0.962,duplicate
q10,The compound proposition \(p \lor q \lor r\) is false when:,2,10,q3,The compound proposition \(p \land \neg (q \lor r)\) is true when:,3,3,0.907,duplicate
q8,"Which of the following expressions correctly represents ""The trip is not cancelled or the weather is bad"" using \(q\) for ""trip is cancelled"" and \(p\) for ""weather is bad""?",2,8,q6,Which of the following is a valid representation of the English statement “The trip is cancelled or the weather is bad” using variables \(p\) for weather and \(q\) for trip cancelled?,3,6,0.905,duplicate
q6,"What is the truth value of the compound proposition \(p \land \neg (q \lor r)\) if \(p = \text{T}\), \(q = \text{F}\), and \(r = \text{T}\)?",2,6,q10,"What is the truth value of the compound proposition \((p \lor r) \land \neg q\) when \(p = \text{F}\), \(q = \text{T}\), and \(r = \text{T}\)?",3,10,0.901,duplicate
q10,The compound proposition \(p \lor q \lor r\) is false when:,2,10,q9,The compound proposition \((p \lor r) \land \neg q\) is true when:,4,9,0.888,duplicate
q9,"Using a truth table, why is it helpful to create intermediate columns for smaller parts of a compound proposition?",2,9,q9,"When filling in intermediate columns in a truth table, what is the purpose of these columns?",3,9,0.879,duplicate
q4,Which logical operator has the lowest precedence when evaluating compound propositions without parentheses?,2,4,q8,Which logical operator has the highest precedence in compound propositions without parentheses?,3,8,0.87,duplicate
q10,"What is the truth value of the compound proposition \((p \lor r) \land \neg q\) when \(p = \text{F}\), \(q = \text{T}\), and \(r = \text{T}\)?",3,10,q7,"The truth value of \(p \land \neg (q \lor r)\) when \(p\) is true, \(q\) is false, and \(r\) is true is:",4,7,0.863,duplicate
