text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What must an identifier start with in Python?,A letter or underscore,A digit,A symbol,A letter or underscore,A reserved word,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which describes Python’s treatment of uppercase and lowercase letters in identifiers?,Case sensitive,Case insensitive,Case sensitive,Case irrelevant,Case optional,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which is a reason to avoid names starting and ending with double underscores?,Python reserves them for special purposes,They are invalid syntax,Python reserves them for special purposes,They cause runtime errors,They are hard to type,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A good variable name should be _____ and use _____ between words.,meaningful; underscores,short; spaces,meaningful; underscores,uppercase; hyphens,vague; numbers,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
Why must a Python identifier start with a letter or underscore?,To avoid confusion with numbers,To allow reserved words as names,To avoid confusion with numbers,To enable case sensitivity,To support special characters,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"How does Python treat the identifiers ""Cat"" and ""cat""?",As different identifiers,As the same identifier,As reserved words,As different identifiers,As invalid names,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which is a key reason to avoid names starting and ending with double underscores?,Python uses them for special purposes,They are invalid syntax,Python uses them for special purposes,They allow numbers only,They are reserved for variables only,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A good variable name for storing temperature in Celsius is _____.,tempCelsius,tempCelsius,temperature celsius,1temperature,temperature-celsius,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
Why must Python identifiers start with a letter or underscore?,Because Python syntax requires it for valid names,To distinguish them from reserved words,To avoid confusion with numeric constants,Because digits cannot appear in identifiers at all,Because Python syntax requires it for valid names,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does it mean that Python identifiers are case sensitive?,Identifiers with different cases are considered different,Identifiers cannot contain uppercase letters,Identifiers with different cases are considered different,Identifiers must be all lowercase to be valid,Identifiers ignore uppercase and lowercase differences,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which is a reason to avoid names starting and ending with double underscores?,They are reserved for special language uses,Python treats them as reserved keywords,They are reserved for special language uses,They are invalid identifiers in Python,They cause syntax errors in Python,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
A good variable name should be _____.,meaningful and use lowercase with underscores,very short to save space,meaningful and use lowercase with underscores,a reserved word to improve readability,a random combination of letters and digits,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the first character allowed in a Python identifier?,A letter,A digit,An underscore,A letter,A symbol,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
Why should variable names avoid starting and ending with double underscores?,They are reserved for system use,They are reserved for system use,They are invalid syntax,They cause runtime errors,They are ignored by the interpreter,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Python identifiers are case sensitive, so ""Data"" and ""data"" are considered:",Different names,The same name,Different names,Invalid names,Reserved keywords,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which of the following is a good variable name for storing temperature in Celsius?,temperature_celsius,tempCelsius,temperature_celsius,Temperature Celsius,temp-celsius,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
