=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,1,16
1,3,1,1,16
1,4,0,2,16
2,3,0,2,16
2,4,3,0,16
3,4,1,1,16

Summary
Total Comparisons,120
Duplicates (≥85%),5
Similar (70-85%),7

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,What does the escape sequence '\n' represent in output?,1,2,q2,What does the escape sequence \n represent in output?,3,2,0.968,duplicate
q4,The escape sequence for a tab character is _____.,2,4,q2,Which escape sequence represents a tab character in output?,4,2,0.934,duplicate
q1,A _char_ variable stores _____.,2,1,q1,A _char_ variable stores a/an _____ internally.,4,1,0.871,duplicate
q2,What does the escape sequence \n represent in output?,3,2,q2,Which escape sequence represents a tab character in output?,4,2,0.861,duplicate
q3,"Why does System.out.print("""" + c1 + c2) output characters, not their sum?",2,3,q3,"What does the statement System.out.print("""" + c1 + c2); do in Java when c1 and c2 are chars?",4,3,0.859,duplicate
q2,What does the escape sequence '\n' represent in output?,1,2,q2,Which escape sequence represents a tab character in output?,4,2,0.85,similar
q1,A char variable stores a single _____.,3,1,q1,A _char_ variable stores a/an _____ internally.,4,1,0.834,similar
q1,A _char_ variable stores _____.,2,1,q1,A char variable stores a single _____.,3,1,0.803,similar
q4,The escape sequence for a tab character is _____.,2,4,q2,What does the escape sequence \n represent in output?,3,2,0.801,similar
q2,What does the escape sequence '\n' represent in output?,1,2,q4,The escape sequence for a tab character is _____.,2,4,0.784,similar
q4,The ASCII code 97 corresponds to which character?,1,4,q3,"In ASCII, the character 'A' is stored as the number _____.",3,3,0.758,similar
q3,How does the compiler treat System.out.print(let1 + let2) if let1 and let2 are chars?,1,3,q3,"What does the statement System.out.print("""" + c1 + c2); do in Java when c1 and c2 are chars?",4,3,0.71,similar
q1,Which data type stores a single character value like 'm'?,1,1,q1,A char variable stores a single _____.,3,1,0.678,low
q1,Which data type stores a single character value like 'm'?,1,1,q1,A _char_ variable stores a/an _____ internally.,4,1,0.65,low
q3,How does the compiler treat System.out.print(let1 + let2) if let1 and let2 are chars?,1,3,q3,"Why does System.out.print("""" + c1 + c2) output characters, not their sum?",2,3,0.636,low
q1,Which data type stores a single character value like 'm'?,1,1,q1,A _char_ variable stores _____.,2,1,0.624,low
q3,"In ASCII, the character 'A' is stored as the number _____.",3,3,q4,ASCII encoding uses exactly _____ bits to represent characters.,4,4,0.62,low
q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,q3,"What does the statement System.out.print("""" + c1 + c2); do in Java when c1 and c2 are chars?",4,3,0.595,low
q1,A _char_ variable stores _____.,2,1,q3,"In ASCII, the character 'A' is stored as the number _____.",3,3,0.562,low
q3,How does the compiler treat System.out.print(let1 + let2) if let1 and let2 are chars?,1,3,q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,0.558,low
q1,A char variable stores a single _____.,3,1,q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,0.547,low
q1,A _char_ variable stores _____.,2,1,q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,0.546,low
q3,"Why does System.out.print("""" + c1 + c2) output characters, not their sum?",2,3,q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,0.535,low
q3,"In ASCII, the character 'A' is stored as the number _____.",3,3,q1,A _char_ variable stores a/an _____ internally.,4,1,0.522,low
q2,"In Java, to read a single character from input, use _____.",2,2,q1,A char variable stores a single _____.,3,1,0.475,low
q1,A _char_ variable stores _____.,2,1,q4,ASCII encoding uses exactly _____ bits to represent characters.,4,4,0.461,low
q4,The ASCII code 97 corresponds to which character?,1,4,q1,A _char_ variable stores _____.,2,1,0.46,low
q1,A char variable stores a single _____.,3,1,q3,"In ASCII, the character 'A' is stored as the number _____.",3,3,0.45,low
q1,A _char_ variable stores _____.,2,1,q2,"In Java, to read a single character from input, use _____.",2,2,0.447,low
q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,q1,A _char_ variable stores a/an _____ internally.,4,1,0.443,low
q4,The ASCII code 97 corresponds to which character?,1,4,q4,ASCII encoding uses exactly _____ bits to represent characters.,4,4,0.438,low
q1,A char variable stores a single _____.,3,1,q4,ASCII encoding uses exactly _____ bits to represent characters.,4,4,0.431,low
q1,A _char_ variable stores a/an _____ internally.,4,1,q4,ASCII encoding uses exactly _____ bits to represent characters.,4,4,0.429,low
q4,The ASCII code 97 corresponds to which character?,1,4,q1,A _char_ variable stores a/an _____ internally.,4,1,0.415,low
q4,The escape sequence for a tab character is _____.,2,4,q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,0.398,low
q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,q2,Which escape sequence represents a tab character in output?,4,2,0.396,low
q1,Which data type stores a single character value like 'm'?,1,1,q3,"In ASCII, the character 'A' is stored as the number _____.",3,3,0.395,low
q1,Which data type stores a single character value like 'm'?,1,1,q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,0.384,low
q1,A _char_ variable stores _____.,2,1,q3,"Why does System.out.print("""" + c1 + c2) output characters, not their sum?",2,3,0.384,low
q2,"In Java, to read a single character from input, use _____.",2,2,q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,0.383,low
q2,"In Java, to read a single character from input, use _____.",2,2,q1,A _char_ variable stores a/an _____ internally.,4,1,0.38,low
q2,What does the escape sequence \n represent in output?,3,2,q4,"To output multiple char variables as characters in one statement, start the print with _____.",3,4,0.38,low
q1,A char variable stores a single _____.,3,1,q3,"What does the statement System.out.print("""" + c1 + c2); do in Java when c1 and c2 are chars?",4,3,0.377,low
q3,How does the compiler treat System.out.print(let1 + let2) if let1 and let2 are chars?,1,3,q1,A char variable stores a single _____.,3,1,0.373,low
q1,Which data type stores a single character value like 'm'?,1,1,q4,ASCII encoding uses exactly _____ bits to represent characters.,4,4,0.372,low
q4,The ASCII code 97 corresponds to which character?,1,4,q4,The escape sequence for a tab character is _____.,2,4,0.369,low
q4,The ASCII code 97 corresponds to which character?,1,4,q1,A char variable stores a single _____.,3,1,0.368,low
q3,How does the compiler treat System.out.print(let1 + let2) if let1 and let2 are chars?,1,3,q1,A _char_ variable stores _____.,2,1,0.361,low
q1,A _char_ variable stores _____.,2,1,q3,"What does the statement System.out.print("""" + c1 + c2); do in Java when c1 and c2 are chars?",4,3,0.36,low
q1,Which data type stores a single character value like 'm'?,1,1,q2,"In Java, to read a single character from input, use _____.",2,2,0.359,low
q4,The escape sequence for a tab character is _____.,2,4,q3,"In ASCII, the character 'A' is stored as the number _____.",3,3,0.359,low
