text,answer,a,b,c,d,e,f,g,h,hint,feedback
"When was the term ""data science"" first introduced?",1974,1962,1974,1991,2001,,,,,,
Which discipline primarily designs experiments and derives new models?,Statistics,Data science,Computer science,Statistics,Artificial intelligence,,,,,,
What caused Python and R to increase data science accessibility in the 1990s?,They were open-source and free to use,They were open-source and free to use,They were bundled with paid software,They required specialized hardware,They replaced statistical methods,,,,,,
Data science is best defined as a field that _____.,uses data to find patterns and describe relationships,focuses only on programming software,uses data to find patterns and describe relationships,studies hardware design and network security,only creates databases for storing information,,,,,,
"The phrase ""data science"" was first introduced in the _____.",1970s,1950s,1960s,1970s,1990s,,,,,,
Which method discipline originally includes hypothesis testing and confidence intervals?,Statistics,Artificial intelligence,Machine learning,Statistics,Data engineering,,,,,,
Data science is best defined as a/an _____ field focused on discovering patterns using data.,interdisciplinary,specialized,interdisciplinary,theoretical,hardware-based,,,,,,
Which discipline primarily designs experiments and derives new models for analyzing data?,Statistics,Data science,Computer science,Statistics,Artificial intelligence,,,,,,
When did businesses first begin using data science to analyze customer behavior?,1990s,1980s,1990s,2000s,2010s,,,,,,
Data science is best described as a field focused on _____.,discovering patterns and relationships using data,designing computer hardware,discovering patterns and relationships using data,creating graphical user interfaces,developing new programming languages,,,,,,
Which discipline primarily focuses on designing experiments and deriving new models?,Statistics,Data science,Computer science,Statistics,Artificial intelligence,,,,,,
"The term ""data science"" was first introduced in the _____.",1970s,1950s,1960s,1970s,1990s,,,,,,
