=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,6
2,10,0,4
3,10,0,7
4,10,0,4

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,6,11,100
1,3,4,21,100
1,4,4,14,100
2,3,5,12,100
2,4,3,11,100
3,4,5,14,100

Summary
Total Comparisons,780
Duplicates (≥85%),27
Similar (70-85%),104

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q5,The exclusive or \(p \oplus q\) is true when _____.,1,5,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,1,duplicate
q2,Which sentence is a proposition?,2,2,q7,Which sentence is a proposition?,3,7,1,duplicate
q1,A _proposition_ is a statement that is _____.,3,1,q1,A _proposition_ is a statement that is _____.,4,1,1,duplicate
q5,The exclusive or \(p \oplus q\) is true when _____.,1,5,q6,The exclusive or \(p \oplus q\) is true when _____.,4,6,0.989,duplicate
q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,q6,The exclusive or \(p \oplus q\) is true when _____.,4,6,0.988,duplicate
q4,The disjunction \(p \lor q\) is false only if _____.,3,4,q5,The disjunction \(p \lor q\) is false only if _____.,4,5,0.985,duplicate
q1,A _proposition_ is a statement that is _____.,1,1,q1,A _proposition_ is a statement that is _____.,3,1,0.981,duplicate
q1,A _proposition_ is a statement that is _____.,1,1,q1,A _proposition_ is a statement that is _____.,4,1,0.981,duplicate
q5,The exclusive or \(p \oplus q\) is true when _____.,1,5,q5,The _exclusive or_ \(p \oplus q\) is true when _____.,2,5,0.979,duplicate
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,2,5,q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,0.979,duplicate
q4,The truth table for \(p \lor q\) shows \(p \lor q\) is false when _____.,1,4,q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,0.973,duplicate
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,2,5,q6,The exclusive or \(p \oplus q\) is true when _____.,4,6,0.969,duplicate
q3,The conjunction \(p \land q\) is true only when _____.,1,3,q4,The conjunction \(p \land q\) is true only when _____.,4,4,0.968,duplicate
q1,A _proposition_ is a statement that is _____.,2,1,q1,A _proposition_ is a statement that is _____.,3,1,0.936,duplicate
q1,A _proposition_ is a statement that is _____.,2,1,q1,A _proposition_ is a statement that is _____.,4,1,0.936,duplicate
q1,A _proposition_ is a statement that is _____.,1,1,q1,A _proposition_ is a statement that is _____.,2,1,0.932,duplicate
q6,The negation \(\neg p\) of a proposition \(p\) is _____.,2,6,q8,The negation \(\neg p\) changes the truth value of \(p\) to _____.,4,8,0.904,duplicate
q7,The compound proposition \(p \land q\) means:,1,7,q3,The compound proposition \(p \land q\) is true only if _____.,2,3,0.903,duplicate
q6,The negation \(\neg p\) of a proposition \(p\) is _____.,2,6,q6,What is the negation \(\neg p\) of a proposition \(p\)?,3,6,0.902,duplicate
q6,The negation \(\neg p\) has the truth value _____ of proposition \(p\).,1,6,q6,The negation \(\neg p\) of a proposition \(p\) is _____.,2,6,0.897,duplicate
q3,The conjunction \(p \land q\) is true only when _____.,1,3,q2,The truth table for conjunction \(p \land q\) shows it is true when _____.,3,2,0.884,duplicate
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q2,The truth table for conjunction \(p \land q\) shows it is true when _____.,3,2,0.879,duplicate
q2,The truth table for conjunction \(p \land q\) shows it is true when _____.,3,2,q4,The conjunction \(p \land q\) is true only when _____.,4,4,0.873,duplicate
q6,What is the negation \(\neg p\) of a proposition \(p\)?,3,6,q8,The negation \(\neg p\) changes the truth value of \(p\) to _____.,4,8,0.872,duplicate
q10,Under what condition do \(p \oplus q\) and \(p \lor q\) differ in truth value?,1,10,q8,When are the inclusive OR (\(p \lor q\)) and exclusive OR (\(p \oplus q\)) different in truth value?,2,8,0.867,duplicate
q9,Which logical operation reverses the truth value of a proposition?,1,9,q9,Which logical operation connects two propositions to form a compound proposition true only if both are true?,4,9,0.866,duplicate
q3,The conjunction \(p \land q\) is true only when _____.,1,3,q3,The compound proposition \(p \land q\) is true only if _____.,2,3,0.85,similar
q4,The truth table for \(p \lor q\) shows \(p \lor q\) is false when _____.,1,4,q2,The truth table for conjunction \(p \land q\) shows it is true when _____.,3,2,0.85,duplicate
q8,"If \(p\) is true and \(q\) is false, what is \(p \lor q\)?",1,8,q8,"If \(p\) is true and \(q\) is false, what is the truth value of \(p \land q\)?",3,8,0.842,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q4,The disjunction \(p \lor q\) is false only if _____.,3,4,0.838,similar
q6,The negation \(\neg p\) has the truth value _____ of proposition \(p\).,1,6,q8,The negation \(\neg p\) changes the truth value of \(p\) to _____.,4,8,0.837,similar
q3,The conjunction \(p \land q\) is true only when _____.,1,3,q4,The disjunction \(p \lor q\) is false only if _____.,3,4,0.835,similar
q3,The compound proposition \(p \land q\) is true only if _____.,2,3,q4,The conjunction \(p \land q\) is true only when _____.,4,4,0.831,similar
q4,The disjunction \(p \lor q\) is false only if _____.,3,4,q4,The conjunction \(p \land q\) is true only when _____.,4,4,0.826,similar
q3,The conjunction \(p \land q\) is true only when _____.,1,3,q5,The disjunction \(p \lor q\) is false only if _____.,4,5,0.825,similar
q2,Which sentence is a proposition?,1,2,q2,Which sentence is a proposition?,4,2,0.823,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q5,The disjunction \(p \lor q\) is false only if _____.,4,5,0.823,similar
q4,The conjunction \(p \land q\) is true only when _____.,4,4,q5,The disjunction \(p \lor q\) is false only if _____.,4,5,0.823,similar
q4,The truth table for \(p \lor q\) shows \(p \lor q\) is false when _____.,1,4,q4,The disjunction \(p \lor q\) is false only if _____.,3,4,0.816,similar
q6,The negation \(\neg p\) has the truth value _____ of proposition \(p\).,1,6,q6,What is the negation \(\neg p\) of a proposition \(p\)?,3,6,0.815,similar
q9,"In logic, the inclusive ""or"" means _____.",3,9,q6,The exclusive or \(p \oplus q\) is true when _____.,4,6,0.813,similar
q2,Which sentence is a proposition?,2,2,q2,Which sentence is a proposition?,4,2,0.812,similar
q7,Which sentence is a proposition?,3,7,q2,Which sentence is a proposition?,4,2,0.812,similar
q2,Which sentence is a proposition?,1,2,q2,Which sentence is a proposition?,2,2,0.81,similar
q2,Which sentence is a proposition?,1,2,q7,Which sentence is a proposition?,3,7,0.81,similar
q4,The truth table for \(p \lor q\) shows \(p \lor q\) is false when _____.,1,4,q5,The disjunction \(p \lor q\) is false only if _____.,4,5,0.808,similar
q3,The conjunction \(p \land q\) is true only when _____.,1,3,q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,0.802,similar
q3,The compound proposition \(p \land q\) is true only if _____.,2,3,q2,The truth table for conjunction \(p \land q\) shows it is true when _____.,3,2,0.798,similar
q3,The conjunction \(p \land q\) is true only when _____.,1,3,q7,The compound proposition \(p \land q\) means:,1,7,0.795,similar
q3,The compound proposition \(p \land q\) is true only if _____.,2,3,q4,The disjunction \(p \lor q\) is false only if _____.,3,4,0.794,similar
q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,q4,The conjunction \(p \land q\) is true only when _____.,4,4,0.789,similar
q5,The exclusive or \(p \oplus q\) is true when _____.,1,5,q9,"In logic, the inclusive ""or"" means _____.",3,9,0.788,similar
q5,The exclusive or \(p \oplus q\) is true when _____.,3,5,q9,"In logic, the inclusive ""or"" means _____.",3,9,0.788,similar
q5,The _exclusive or_ \(p \oplus q\) is true when _____.,2,5,q9,"In logic, the inclusive ""or"" means _____.",3,9,0.787,similar
q7,The compound proposition \(p \land q\) means:,1,7,q4,The conjunction \(p \land q\) is true only when _____.,4,4,0.783,similar
q3,The compound proposition \(p \land q\) is true only if _____.,2,3,q5,The disjunction \(p \lor q\) is false only if _____.,4,5,0.779,similar
q2,The truth table for conjunction \(p \land q\) shows it is true when _____.,3,2,q4,The disjunction \(p \lor q\) is false only if _____.,3,4,0.776,similar
q7,The compound proposition \(p \land q\) means:,1,7,q3,Which English phrase best expresses the conjunction \(p \land q\)?,3,3,0.772,similar
q3,The compound proposition \(p \land q\) is true only if _____.,2,3,q4,The truth table for \(p \lor q\) shows it is false only when _____.,2,4,0.772,similar
q3,The conjunction \(p \land q\) is true only when _____.,1,3,q6,The exclusive or \(p \oplus q\) is true when _____.,4,6,0.762,similar
q3,The conjunction \(p \land q\) is true only when _____.,1,3,q4,The truth table for \(p \lor q\) shows \(p \lor q\) is false when _____.,1,4,0.76,similar
