text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
A computer program executes instructions _____ to perform tasks.,one at a time,simultaneously,randomly,one at a time,in reverse order,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which instruction type gets data from the user or a file?,Input,Output,Process,Input,Compute,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In programming, a variable is used to _____.",refer to data that can change,store a fixed value,refer to data that can change,display output on screen,execute instructions,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the purpose of an algorithm in computational thinking?,To create a sequence of instructions to solve a problem,To store data,To create a sequence of instructions to solve a problem,To output results to a screen,To randomly process data,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which instruction completes this triangle area formula? base * height * _____,1/2,2,1/2,3,0,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the main reason a computer program uses variables?,To refer to data that can change values,To store instructions for output,To refer to data that can change values,To control the order of instructions,To perform arithmetic calculations automatically,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which instruction type takes data from the keyboard or a file?,Input,Output,Process,Input,Variable,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A program that assigns z = x + y and inputs x = 3 and y = 4 will output _____.,7,7,12,1,0,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why is computational thinking important in the information age?,It enables writing a sequence of instructions to solve problems,It helps run hardware devices,It enables writing a sequence of instructions to solve problems,It stores data efficiently,It manages network connections,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In turtle graphics, what does the instruction ""Turn left 90"" do?",Rotates turtle 90 degrees to the left,Moves turtle forward 90 units,Rotates turtle 90 degrees to the left,Lifts the pen off the paper,Draws a 90-degree angle line,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What type of instruction receives data from a keyboard or file?,Input,Output,Process,Input,Variable,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A sequence of instructions that solves a problem is called a/an _____.,algorithm,function,variable,algorithm,program,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
