=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,2,9
1,3,0,1,9
1,4,0,2,9
2,3,0,2,9
2,4,1,0,9
3,4,0,2,9

Summary
Total Comparisons,66
Duplicates (≥85%),1
Similar (70-85%),9

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,What does a compiler do when it allocates a variable?,2,2,q1,What does the compiler do when a variable is declared?,4,1,0.871,duplicate
q3,What error occurs if a variable is read before it is assigned a value?,1,3,q3,What error occurs if a variable is used before being assigned a value?,4,3,0.836,similar
q1,What does the compiler do when an integer variable is declared?,1,1,q1,What does the compiler do when a variable is declared?,4,1,0.828,similar
q2,"After executing the statement numItems = numItems + 1;, what happens to numItems?",1,2,q3,What happens after executing numItems = numItems + 1; if numItems is 5?,2,3,0.825,similar
q1,What does a variable declaration do in programming?,3,1,q1,What does the compiler do when a variable is declared?,4,1,0.814,similar
q1,What does the compiler do when an integer variable is declared?,1,1,q2,What does a compiler do when it allocates a variable?,2,2,0.77,similar
q1,What does the compiler do when an integer variable is declared?,1,1,q1,What does a variable declaration do in programming?,3,1,0.747,similar
q1,A variable declaration _____ a variable's name and type.,2,1,q1,What does a variable declaration do in programming?,3,1,0.747,similar
q2,What does a compiler do when it allocates a variable?,2,2,q1,What does a variable declaration do in programming?,3,1,0.742,similar
q2,"In the assignment statement numApples = numApples + 1;, what happens first?",3,2,q2,What is the result of the statement: numApples = numApples + 1; if numApples is 5?,4,2,0.732,similar
q1,What does the compiler do when an integer variable is declared?,1,1,q3,What error occurs if a variable is used before being assigned a value?,4,3,0.682,low
q1,What does the compiler do when an integer variable is declared?,1,1,q3,What error occurs if a variable is read before it is assigned a value?,1,3,0.678,low
q2,"After executing the statement numItems = numItems + 1;, what happens to numItems?",1,2,q2,"In the assignment statement numApples = numApples + 1;, what happens first?",3,2,0.673,low
q1,A variable declaration _____ a variable's name and type.,2,1,q1,What does the compiler do when a variable is declared?,4,1,0.662,low
q1,What does the compiler do when an integer variable is declared?,1,1,q1,A variable declaration _____ a variable's name and type.,2,1,0.635,low
q3,What error occurs if a variable is read before it is assigned a value?,1,3,q3,Why should variables be initialized before use?,3,3,0.634,low
q3,What error occurs if a variable is read before it is assigned a value?,1,3,q1,What does the compiler do when a variable is declared?,4,1,0.633,low
q1,What does the compiler do when a variable is declared?,4,1,q3,What error occurs if a variable is used before being assigned a value?,4,3,0.63,low
q3,What happens after executing numItems = numItems + 1; if numItems is 5?,2,3,q2,What is the result of the statement: numApples = numApples + 1; if numApples is 5?,4,2,0.619,low
q3,Why should variables be initialized before use?,3,3,q3,What error occurs if a variable is used before being assigned a value?,4,3,0.608,low
q2,"After executing the statement numItems = numItems + 1;, what happens to numItems?",1,2,q2,What is the result of the statement: numApples = numApples + 1; if numApples is 5?,4,2,0.593,low
q3,What error occurs if a variable is read before it is assigned a value?,1,3,q1,What does a variable declaration do in programming?,3,1,0.589,low
q3,What error occurs if a variable is read before it is assigned a value?,1,3,q2,What does a compiler do when it allocates a variable?,2,2,0.581,low
q1,What does the compiler do when an integer variable is declared?,1,1,q3,Why should variables be initialized before use?,3,3,0.576,low
q3,What happens after executing numItems = numItems + 1; if numItems is 5?,2,3,q2,"In the assignment statement numApples = numApples + 1;, what happens first?",3,2,0.575,low
