=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,1
2,10,0,1
3,10,0,2
4,10,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,5,100
1,3,1,7,100
1,4,2,6,100
2,3,1,11,100
2,4,1,7,100
3,4,1,8,100

Summary
Total Comparisons,780
Duplicates (≥85%),8
Similar (70-85%),48

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q4,"Big data is defined by three Vs: volume, velocity, and _____.",3,4,q4,"The three Vs of big data include volume, velocity, and _____.",4,4,0.926,duplicate
q3,"Which ""V"" of big data describes the speed at which data is created and updated?",1,3,q5,"Which ""V"" of big data involves datasets being continually updated in real time?",3,5,0.888,duplicate
q6,Cloud-based storage makes big data manageable by _____.,1,6,q6,Cloud-based storage helps manage big data by _____.,4,6,0.885,duplicate
q2,"In a dataset, an instance represents a/an _____.",1,2,q2,"In a dataset, a feature represents a/an _____ of an instance.",4,2,0.876,duplicate
q1,A dataset is a collection of _____ with features and instances.,2,1,q1,A dataset is a collection of _____ used by data scientists.,4,1,0.876,duplicate
q3,"Which ""V"" of big data describes the speed at which data is created and updated?",1,3,q5,"Which ""V"" of big data refers to the many formats like images, text, and tables?",2,5,0.873,duplicate
q1,A dataset is a collection of _____ and instances.,1,1,q1,A dataset is a collection of _____ with features and instances.,2,1,0.862,duplicate
q5,"Which ""V"" of big data refers to the many formats like images, text, and tables?",2,5,q5,"Which ""V"" of big data involves datasets being continually updated in real time?",3,5,0.859,duplicate
q10,A data scientist automates generating weekly reports because these reports _____.,2,10,q9,Automating the generation of weekly reports in data science is useful because it _____.,3,9,0.849,similar
q5,"Which ""V"" of big data refers to the many formats like images, text, and tables?",2,5,q4,"Big data is defined by three Vs: volume, velocity, and _____.",3,4,0.842,similar
q2,"In a dataset, a _____ represents a characteristic measured on each instance.",3,2,q2,"In a dataset, a feature represents a/an _____ of an instance.",4,2,0.842,similar
q6,Cloud-based storage makes big data manageable by _____.,1,6,q6,Data scientists use cloud-based storage for big data mainly because it _____.,3,6,0.835,similar
q6,Why do data scientists use cloud-based storage for big data?,2,6,q6,Data scientists use cloud-based storage for big data mainly because it _____.,3,6,0.833,similar
q4,"Big data has high _____, meaning it updates continuously and rapidly.",2,4,q5,"Which ""V"" of big data involves datasets being continually updated in real time?",3,5,0.831,similar
q5,"Which ""V"" of big data refers to the many formats like images, text, and tables?",2,5,q4,"The three Vs of big data include volume, velocity, and _____.",4,4,0.83,similar
q9,Which tool is designed to store and analyze large volumes of data?,2,9,q7,Which tool is commonly used to handle very large datasets in data science?,3,7,0.828,similar
