=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,1
2,10,0,1
3,10,0,0
4,10,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,4,100
1,3,2,5,100
1,4,2,5,100
2,3,1,5,100
2,4,2,5,100
3,4,0,5,100

Summary
Total Comparisons,780
Duplicates (≥85%),9
Similar (70-85%),31

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What is the primary purpose of a computer program?,2,1,q1,What is the primary purpose of a computer program?,4,1,0.935,duplicate
q8,What must a program do to compute a triangle's area after inputting base and height?,2,8,q5,"To complete a triangle area program, after computing base * height, the next instruction should:",4,5,0.888,duplicate
q1,What is the main purpose of a computer program?,1,1,q1,What is the primary purpose of a computer program?,4,1,0.879,duplicate
q5,"In the example program, what does the instruction ""z = x + y"" do?",2,5,q3,"In a program, what does the instruction 'z = x + y' do?",3,3,0.877,duplicate
q7,Which instruction completes a program to calculate a triangle’s area?,1,7,q5,"To complete a triangle area program, after computing base * height, the next instruction should:",4,5,0.876,duplicate
q4,"In the example program, what is the output if x = 10 and y = 20 for the instruction z = x + y?",1,4,q10,"Given x = 10 and y = 20, what does the instruction 'z = x + y' assign to z?",3,10,0.875,duplicate
q1,What is the main purpose of a computer program?,1,1,q1,What is the primary purpose of a computer program?,2,1,0.872,duplicate
q7,Which instruction completes a program to calculate a triangle’s area?,1,7,q8,What must a program do to compute a triangle's area after inputting base and height?,2,8,0.86,duplicate
q10,"In turtle graphics, turning left 90 degrees is used to _____.",1,10,q9,"In turtle graphics, what does the instruction ""Turn left 90"" do?",3,9,0.855,duplicate
q2,Which instruction type receives data from the keyboard or file?,3,2,q3,Which instruction type receives data from a user or file?,4,3,0.841,similar
q5,Why do programs use variables instead of fixed values?,1,5,q1,What is the main purpose of using variables in a program?,3,1,0.818,similar
q6,A program receives data from a keyboard. This type of instruction is called _____.,1,6,q2,Which instruction type receives data from the keyboard or file?,3,2,0.81,similar
q6,A program receives data from a keyboard. This type of instruction is called _____.,1,6,q2,A program instruction that receives data from a user or device is called _____.,2,2,0.803,similar
q2,Which instruction type involves performing calculations or data manipulation?,1,2,q3,Which instruction type performs computations on data in a program?,2,3,0.793,similar
q3,A variable in a program is used to _____.,1,3,q4,How does a variable in a program function?,2,4,0.789,similar
q3,Which instruction type performs computations on data in a program?,2,3,q2,Which instruction type receives data from the keyboard or file?,3,2,0.789,similar
q4,How does a variable in a program function?,2,4,q4,A variable in a program is named because its value _____.,4,4,0.781,similar
q6,A program receives data from a keyboard. This type of instruction is called _____.,1,6,q3,Which instruction type receives data from a user or file?,4,3,0.778,similar
q10,"In turtle graphics, turning left 90 degrees is used to _____.",1,10,q8,"In turtle graphics, turning left 90 degrees and moving forward repeatedly draws a _____.",4,8,0.776,similar
