text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
A dataset consists of _____ and _____.,features; instances,servers; storage,features; instances,algorithms; models,computers; databases,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Big data's ""velocity"" refers to _____.",the speed of data creation and update,the size of the dataset,the speed of data creation and update,the variety of data types,the complexity of data models,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Data scientists handle big data variety by _____.,using methods from multiple disciplines,ignoring unfamiliar data types,analyzing only tabular data,using methods from multiple disciplines,storing all data in one format,,,,,,,Fail,Pass,Pass,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"A _____ is an individual data point in a dataset, while a feature is a characteristic measured on it.",instance,feature,dataset,instance,variable,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
Big data's _____ refers to the speed at which data is created and updated in real time.,velocity,volume,variety,velocity,validity,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Data scientists handle variety in big data by using tools from _____ disciplines.,multiple,a single,multiple,unrelated,outdated,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
A _____ is a characteristic measured on each instance in a dataset.,feature,dataset,instance,feature,observation,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"Which ""V"" of big data describes the fast rate at which data is created and updated?",Velocity,Volume,Variety,Velocity,Veracity,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Cloud-based storage makes big data more manageable by _____.,spreading dataset portions across different servers,saving the entire dataset locally,spreading dataset portions across different servers,compressing all data into one file,analyzing data without storage,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What term describes a dataset's individual measured characteristic?,Feature,Instance,Dataset,Feature,Observation,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why do data scientists use cloud-based storage for big data?,To spread dataset portions across multiple servers,To analyze data faster on personal computers,To spread dataset portions across multiple servers,To keep all data on one local machine,To avoid using programming languages,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How do data scientists handle the variety of big data formats?,By using tools from multiple disciplines,By ignoring unfamiliar data types,By using tools from multiple disciplines,By only analyzing tabular data,By specializing in one data type,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
