=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,3,16
1,3,2,1,16
1,4,1,1,16
2,3,1,2,16
2,4,0,2,16
3,4,1,1,16

Summary
Total Comparisons,120
Duplicates (≥85%),6
Similar (70-85%),10

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What type of error occurs when code violates language syntax rules?,1,1,q1,What type of error occurs when code violates programming language syntax rules?,3,1,0.958,duplicate
q1,What type of error occurs when code violates language syntax rules?,1,1,q1,What type of error occurs when code violates programming language rules?,4,1,0.916,duplicate
q1,What type of error occurs when code violates programming language syntax rules?,3,1,q1,What type of error occurs when code violates programming language rules?,4,1,0.894,duplicate
q4,What is a good coding practice to reduce syntax errors?,1,4,q4,What is a recommended coding practice to reduce many syntax errors?,2,4,0.891,duplicate
q4,What is a recommended coding practice to reduce many syntax errors?,2,4,q4,What is a recommended coding practice to reduce frustration from many syntax errors?,3,4,0.882,duplicate
q4,What is a good coding practice to reduce syntax errors?,1,4,q4,What is a recommended coding practice to reduce frustration from many syntax errors?,3,4,0.87,duplicate
q1,What type of error stops a program due to invalid code structure before running?,2,1,q1,What type of error occurs when code violates programming language syntax rules?,3,1,0.825,similar
q2,A program crashes when converting text to int because of a _____ error.,2,2,q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,0.796,similar
q1,What type of error occurs when code violates language syntax rules?,1,1,q1,What type of error stops a program due to invalid code structure before running?,2,1,0.795,similar
q3,Logic errors differ from syntax errors because logic errors _____.,1,3,q3,A logic error occurs when a program _____.,2,3,0.756,similar
q1,What type of error stops a program due to invalid code structure before running?,2,1,q1,What type of error occurs when code violates programming language rules?,4,1,0.745,similar
q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.737,similar
q2,A runtime error occurs when the program _____.,1,2,q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,0.722,similar
q2,A runtime error occurs when the program _____.,1,2,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.72,similar
q2,A runtime error occurs when the program _____.,1,2,q3,A logic error occurs when a program _____.,2,3,0.718,similar
q3,A logic error occurs when a program _____.,2,3,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.709,similar
q3,A logic error occurs when a program _____.,2,3,q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,0.7,low
q2,A runtime error occurs when the program _____.,1,2,q2,A program crashes when converting text to int because of a _____ error.,2,2,0.698,low
q2,A runtime error occurs when the program _____.,1,2,q1,What type of error occurs when code violates programming language syntax rules?,3,1,0.685,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q2,A runtime error occurs when the program _____.,1,2,0.676,low
q2,A runtime error occurs when the program _____.,1,2,q1,What type of error stops a program due to invalid code structure before running?,2,1,0.676,low
q2,A program crashes when converting text to int because of a _____ error.,2,2,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.676,low
q4,What is a good coding practice to reduce syntax errors?,1,4,q3,Why should programmers run and test code frequently during development?,4,3,0.674,low
q1,What type of error stops a program due to invalid code structure before running?,2,1,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.674,low
q1,What type of error occurs when code violates programming language syntax rules?,3,1,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.673,low
q3,Logic errors differ from syntax errors because logic errors _____.,1,3,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.665,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.656,low
q1,What type of error stops a program due to invalid code structure before running?,2,1,q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,0.652,low
q2,A runtime error occurs when the program _____.,1,2,q1,What type of error occurs when code violates programming language rules?,4,1,0.649,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q3,A logic error occurs when a program _____.,2,3,0.647,low
q3,A logic error occurs when a program _____.,2,3,q1,What type of error occurs when code violates programming language syntax rules?,3,1,0.647,low
q1,What type of error occurs when code violates programming language syntax rules?,3,1,q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,0.646,low
q3,Logic errors differ from syntax errors because logic errors _____.,1,3,q1,What type of error occurs when code violates programming language syntax rules?,3,1,0.645,low
q4,What is a recommended coding practice to reduce many syntax errors?,2,4,q3,Why should programmers run and test code frequently during development?,4,3,0.644,low
q2,A program crashes when converting text to int because of a _____ error.,2,2,q2,"A program crashes because int(""Hello"") was called. What error type is this?",4,2,0.643,low
q3,Logic errors differ from syntax errors because logic errors _____.,1,3,q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,0.641,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q3,Logic errors differ from syntax errors because logic errors _____.,1,3,0.637,low
q3,Logic errors differ from syntax errors because logic errors _____.,1,3,q1,What type of error stops a program due to invalid code structure before running?,2,1,0.637,low
q1,What type of error stops a program due to invalid code structure before running?,2,1,q3,A logic error occurs when a program _____.,2,3,0.633,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,0.632,low
q4,What is a recommended coding practice to reduce frustration from many syntax errors?,3,4,q3,Why should programmers run and test code frequently during development?,4,3,0.629,low
q2,A runtime error occurs when the program _____.,1,2,q3,Logic errors differ from syntax errors because logic errors _____.,1,3,0.618,low
q2,A program crashes when converting text to int because of a _____ error.,2,2,q3,A logic error occurs when a program _____.,2,3,0.618,low
q1,What type of error occurs when code violates programming language rules?,4,1,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.617,low
q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,q1,What type of error occurs when code violates programming language rules?,4,1,0.604,low
q3,A logic error occurs when a program _____.,2,3,q1,What type of error occurs when code violates programming language rules?,4,1,0.603,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q2,A program crashes when converting text to int because of a _____ error.,2,2,0.594,low
q2,A program crashes when converting text to int because of a _____ error.,2,2,q1,What type of error occurs when code violates programming language syntax rules?,3,1,0.593,low
q1,What type of error stops a program due to invalid code structure before running?,2,1,q2,A program crashes when converting text to int because of a _____ error.,2,2,0.588,low
q3,Logic errors differ from syntax errors because logic errors _____.,1,3,q2,A program crashes when converting text to int because of a _____ error.,2,2,0.583,low
q3,Logic errors differ from syntax errors because logic errors _____.,1,3,q1,What type of error occurs when code violates programming language rules?,4,1,0.578,low
q2,A program crashes during execution due to dividing by zero. This is an example of a _____ error.,3,2,q2,"A program crashes because int(""Hello"") was called. What error type is this?",4,2,0.577,low
q3,Which error type indicates a program uses a variable that was never defined?,3,3,q1,What type of error occurs when code violates programming language rules?,4,1,0.569,low
q3,Which error type indicates a program uses a variable that was never defined?,3,3,q2,"A program crashes because int(""Hello"") was called. What error type is this?",4,2,0.56,low
q2,A runtime error occurs when the program _____.,1,2,q2,"A program crashes because int(""Hello"") was called. What error type is this?",4,2,0.535,low
q2,A program crashes when converting text to int because of a _____ error.,2,2,q1,What type of error occurs when code violates programming language rules?,4,1,0.533,low
q1,What type of error stops a program due to invalid code structure before running?,2,1,q4,What is a recommended coding practice to reduce many syntax errors?,2,4,0.522,low
q1,What type of error occurs when code violates programming language rules?,4,1,q2,"A program crashes because int(""Hello"") was called. What error type is this?",4,2,0.511,low
q1,What type of error stops a program due to invalid code structure before running?,2,1,q3,Why should programmers run and test code frequently during development?,4,3,0.501,low
q4,What is a recommended coding practice to reduce many syntax errors?,2,4,q1,What type of error occurs when code violates programming language syntax rules?,3,1,0.5,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q4,What is a recommended coding practice to reduce many syntax errors?,2,4,0.497,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q3,Which error type indicates a program uses a variable that was never defined?,3,3,0.495,low
q2,A runtime error occurs when the program _____.,1,2,q3,Why should programmers run and test code frequently during development?,4,3,0.492,low
q2,A runtime error occurs when the program _____.,1,2,q4,What is a recommended coding practice to reduce many syntax errors?,2,4,0.49,low
q1,What type of error stops a program due to invalid code structure before running?,2,1,q4,What is a recommended coding practice to reduce frustration from many syntax errors?,3,4,0.49,low
q1,What type of error occurs when code violates programming language syntax rules?,3,1,q3,Which error type indicates a program uses a variable that was never defined?,3,3,0.49,low
q1,What type of error occurs when code violates programming language syntax rules?,3,1,q4,What is a recommended coding practice to reduce frustration from many syntax errors?,3,4,0.489,low
q3,A logic error occurs when a program _____.,2,3,q3,Which error type indicates a program uses a variable that was never defined?,3,3,0.487,low
q1,What type of error occurs when code violates programming language syntax rules?,3,1,q3,Why should programmers run and test code frequently during development?,4,3,0.486,low
q2,"A program crashes because int(""Hello"") was called. What error type is this?",4,2,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.485,low
q4,What is a good coding practice to reduce syntax errors?,1,4,q1,What type of error occurs when code violates programming language syntax rules?,3,1,0.479,low
q4,What is a good coding practice to reduce syntax errors?,1,4,q1,What type of error stops a program due to invalid code structure before running?,2,1,0.478,low
q3,A logic error occurs when a program _____.,2,3,q2,"A program crashes because int(""Hello"") was called. What error type is this?",4,2,0.477,low
q4,What is a recommended coding practice to reduce many syntax errors?,2,4,q1,What type of error occurs when code violates programming language rules?,4,1,0.476,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q4,What is a recommended coding practice to reduce frustration from many syntax errors?,3,4,0.474,low
q3,Logic errors differ from syntax errors because logic errors _____.,1,3,q3,Why should programmers run and test code frequently during development?,4,3,0.473,low
q3,Which error type indicates a program uses a variable that was never defined?,3,3,q4,A program runs without crashing but gives wrong output. This is a/an _____ error.,4,4,0.473,low
q3,Logic errors differ from syntax errors because logic errors _____.,1,3,q4,What is a recommended coding practice to reduce many syntax errors?,2,4,0.472,low
q1,What type of error occurs when code violates programming language rules?,4,1,q3,Why should programmers run and test code frequently during development?,4,3,0.471,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q4,What is a good coding practice to reduce syntax errors?,1,4,0.47,low
q1,What type of error stops a program due to invalid code structure before running?,2,1,q3,Which error type indicates a program uses a variable that was never defined?,3,3,0.47,low
q1,What type of error occurs when code violates language syntax rules?,1,1,q3,Why should programmers run and test code frequently during development?,4,3,0.469,low
q1,What type of error stops a program due to invalid code structure before running?,2,1,q2,"A program crashes because int(""Hello"") was called. What error type is this?",4,2,0.458,low
q2,A runtime error occurs when the program _____.,1,2,q4,What is a good coding practice to reduce syntax errors?,1,4,0.451,low
