=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,1,1
2,10,0,6
3,10,1,2
4,10,1,9

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,7,8,100
1,3,3,13,100
1,4,5,11,100
2,3,6,9,100
2,4,9,16,100
3,4,5,10,100

Summary
Total Comparisons,780
Duplicates (≥85%),38
Similar (70-85%),85

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q7,"Given \(p\colon\) ""I will share my cookie,"" and \(q\colon\) ""You will share your soda,"" which expression means ""I will share my cookie only if you share your soda""?",3,7,q10,"If \(p\) is ""I will share my cookie"" and \(q\) is ""You will share soda,"" which expression means ""I will share my cookie only if you share your soda""?",4,10,0.971,duplicate
q6,A conditional proposition is like a contract broken only if _____.,2,6,q6,A conditional proposition is like a contract that is broken if _____.,4,6,0.964,duplicate
q1,The conditional proposition \(p \rightarrow q\) is false when _____.,3,1,q1,The conditional statement \(p \rightarrow q\) is false when _____.,4,1,0.947,duplicate
q4,The biconditional \(p \leftrightarrow q\) is true when _____.,2,4,q4,The biconditional proposition \(p \leftrightarrow q\) is true when _____.,3,4,0.946,duplicate
q4,The biconditional \(p \leftrightarrow q\) is true when _____.,2,4,q5,The biconditional statement \(p \leftrightarrow q\) is true when _____.,4,5,0.945,duplicate
q1,The proposition \(p \rightarrow q\) is false when _____.,2,1,q1,The conditional proposition \(p \rightarrow q\) is false when _____.,3,1,0.937,duplicate
q7,"Which logical expression matches ""I will share my cookie only if you share your soda""?",1,7,q10,Which expression best translates: “I will share my cookie only if you share your soda”?,2,10,0.933,duplicate
q10,Which expression best translates: “I will share my cookie only if you share your soda”?,2,10,q10,"If \(p\) is ""I will share my cookie"" and \(q\) is ""You will share soda,"" which expression means ""I will share my cookie only if you share your soda""?",4,10,0.931,duplicate
q5,When is a biconditional proposition \(p \leftrightarrow q\) true?,1,5,q4,The biconditional proposition \(p \leftrightarrow q\) is true when _____.,3,4,0.929,duplicate
q10,Which expression best translates: “I will share my cookie only if you share your soda”?,2,10,q7,"Given \(p\colon\) ""I will share my cookie,"" and \(q\colon\) ""You will share your soda,"" which expression means ""I will share my cookie only if you share your soda""?",3,7,0.926,duplicate
q1,The proposition \(p \rightarrow q\) is false when _____.,2,1,q1,The conditional statement \(p \rightarrow q\) is false when _____.,4,1,0.924,duplicate
q7,"Which logical expression matches ""I will share my cookie only if you share your soda""?",1,7,q10,"If \(p\) is ""I will share my cookie"" and \(q\) is ""You will share soda,"" which expression means ""I will share my cookie only if you share your soda""?",4,10,0.92,duplicate
q2,What is the contrapositive of the statement \(p \rightarrow q\)?,1,2,q2,The contrapositive of \(p \rightarrow q\) is _____.,2,2,0.919,duplicate
q7,What is the inverse of \(p \rightarrow q\)?,2,7,q8,The inverse of \(p \rightarrow q\) is expressed as _____.,4,8,0.919,duplicate
