Discipline,Topic,Consistency_%,Duplicate_%,Similar_%,Total_Comparisons
Computer Science,Identifiers,50.0,20.833333333333336,29.166666666666668,24
Discrete Mathematics,Laws of propositional  logic,41.66666666666667,4.947916666666666,36.71875,384
Computer Science,Strings,40.74074074074074,20.37037037037037,20.37037037037037,54
Computer Science,Problem solving,33.33333333333333,33.33333333333333,0.0,6
Computer Science,Constant variables,27.77777777777778,14.814814814814813,12.962962962962962,54
Discrete Mathematics,Mathematical induction,27.55102040816326,2.7210884353741496,24.829931972789115,294
Data Science,Historical overview_2026-01-20T19-36-40,24.074074074074073,12.962962962962962,11.11111111111111,54
Computer Science,Errors and warnings,24.074074074074073,7.4074074074074066,16.666666666666664,54
Discrete Mathematics,Logical equivalence,22.58953168044077,4.958677685950414,17.63085399449036,726
Computer Science,Arithmetic expressions (general),22.22222222222222,14.814814814814813,7.4074074074074066,54
Computer Science,Arithmetic expressions (int),20.833333333333336,12.5,8.333333333333332,24
Data Science,Data wrangling,20.833333333333336,12.5,8.333333333333332,96
Data Science,Careers in data science,20.37037037037037,9.25925925925926,11.11111111111111,54
Discrete Mathematics,Predicates and quantifiers,20.052083333333336,2.864583333333333,17.1875,384
Computer Science,Identifiers,18.75,6.25,12.5,96
Computer Science,Detecting equal values with branches,18.75,3.125,15.625,96
Computer Science,Variables (int),18.51851851851852,1.8518518518518516,16.666666666666664,54
Discrete Mathematics,Propositions and logical operations,18.333333333333332,4.5,13.833333333333334,600
Computer Science,Comments and whitespace,16.666666666666664,16.666666666666664,0.0,54
Computer Science,Programming basics,16.666666666666664,11.11111111111111,5.555555555555555,54
Computer Science,Programming using Python,16.666666666666664,3.125,13.541666666666666,96
Computer Science,Errors,16.666666666666664,6.25,10.416666666666668,96
Computer Science,Variables and assignments,16.666666666666664,10.416666666666668,6.25,96
Data Science,Why data science_,16.666666666666664,1.8518518518518516,14.814814814814813,54
Discrete Mathematics,Conditional statements,16.087962962962962,4.976851851851852,11.11111111111111,864
Data Science,pandas package,15.333333333333332,4.0,11.333333333333332,150
Computer Science,Floating-point (double),14.814814814814813,9.25925925925926,5.555555555555555,54
Discrete Mathematics,More inductive proofs,14.814814814814813,3.2407407407407405,11.574074074074074,216
Computer Science,Division and modulo,14.583333333333334,2.083333333333333,12.5,96
Computer Science,Python expressions,14.583333333333334,2.083333333333333,12.5,96
Discrete Mathematics,Sets of sets,14.0625,2.34375,11.71875,384
Discrete Mathematics,Union and intersection,13.580246913580247,3.0864197530864197,10.493827160493826,486
Computer Science,Arithmetic expressions,13.541666666666666,10.416666666666668,3.125,96
Data Science,Cleaning data,12.666666666666668,4.0,8.666666666666668,150
Computer Science,Characters,12.5,5.208333333333334,7.291666666666667,96
Computer Science,Math methods,12.5,5.208333333333334,7.291666666666667,96
Computer Science,While loops,12.244897959183673,2.380952380952381,9.863945578231291,294
Discrete Mathematics,Evaluating compound propositions,12.239583333333332,3.3854166666666665,8.854166666666668,384
Data Science,Data science packages,12.0,6.666666666666667,5.333333333333334,150
Data Science,Python data types,12.0,4.666666666666667,7.333333333333333,150
Computer Science,Floating-point,11.458333333333332,6.25,5.208333333333334,96
Computer Science,Variables and assignments (general),11.458333333333332,2.083333333333333,9.375,96
Discrete Mathematics,Sequences,11.458333333333332,2.864583333333333,8.59375,384
Discrete Mathematics,Recurrence relations,11.224489795918368,2.7210884353741496,8.503401360544217,294
Computer Science,Programming (general),11.11111111111111,3.7037037037037033,7.4074074074074066,54
Data Science,Python functions,10.666666666666668,3.3333333333333335,7.333333333333333,150
Data Science,Ethics in data science,10.416666666666668,5.208333333333334,5.208333333333334,96
Data Science,Data science lifecycle,9.375,2.083333333333333,7.291666666666667,96
Data Science,Exploring data,9.25925925925926,3.7037037037037033,5.555555555555555,216
Discrete Mathematics,Quantified statements,8.641975308641975,0.411522633744856,8.23045267489712,486
Discrete Mathematics,Summations,8.539944903581267,2.6170798898071626,5.922865013774105,726
Data Science,matplotlib package,8.0,3.3333333333333335,4.666666666666667,150
Data Science,NumPy package,8.0,3.3333333333333335,4.666666666666667,150
Computer Science,Input_Output,7.4074074074074066,3.2407407407407405,4.166666666666666,216
Computer Science,Programming (general),7.333333333333333,2.666666666666667,4.666666666666667,150
Computer Science,String basics,6.25,0.0,6.25,96
Data Science,Programming with Python and Jupyter,6.25,3.125,3.125,96
Computer Science,List basics,5.555555555555555,1.3888888888888888,4.166666666666666,216
Discrete Mathematics,Sets and subsets,5.5,1.3333333333333335,4.166666666666666,600
Computer Science,Function basics,5.46875,2.34375,3.125,384
