text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What type of object does pandas use to represent datasets?,DataFrame,Array,List,DataFrame,Dictionary,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How do pandas dataframes differ from NumPy arrays regarding data types?,Dataframes allow different data types per column,Dataframes require uniform data types throughout,Arrays allow different data types per column,Dataframes allow different data types per column,Arrays use string labels for indexing,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Which parameter specifies the row labels when creating a pandas DataFrame?,index,data,columns,index,labels,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the iloc() method use to select an element from a dataframe?,Row and column integer locations,Row and column labels,Row and column integer locations,Only row labels,Only column labels,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator selects rows where a dataframe column value equals a specific value?,>=,=,==,!=,>=,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
What does the index of a pandas dataframe represent?,The set of row labels,The set of column labels,The data types of columns,The set of row labels,The order of columns in the dataframe,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How do pandas dataframes differ from NumPy arrays regarding data types?,Dataframes allow different types in each column,Dataframes have the same data type for all columns,Arrays allow different types in each row,Dataframes allow different types in each column,Arrays support string labels for indexes,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which pandas constructor parameter specifies the row labels when creating a dataframe?,index,columns,index,data,labels,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How can one select multiple columns from a pandas dataframe and get another dataframe?,"df[[“column1”, “column2”]]","df[""column_name""]",df.column_name,"df[[“column1”, “column2”]]","df.loc[“column1”, “column2”]",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"What is the effect of using comparison operators inside dataframe subsetting like df[df[""Population""] > 100000]?","It returns rows where Population values are greater than 100,000","It returns columns where Population is greater than 100,000","It returns rows where Population values are greater than 100,000","It returns a boolean value indicating if any Population is greater than 100,000","It modifies the dataframe to include only Population values above 100,000",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
