text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What is the main purpose of the matplotlib package in Python?,To create static and dynamic plots,To perform statistical modeling,To compute correlation coefficients,To create static and dynamic plots,To process large datasets,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which pyplot function creates a new figure for plotting?,plt.figure(),plt.show(),plt.plot(),plt.figure(),plt.savefig(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How can a dashed red line be specified in a matplotlib plot format string?,"""r--""","""r:""","""r--""","""rd""","""r-.""",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"To add a legend at the lower right corner of a figure, which parameter is used in plt.legend()?","loc=""lower right""","loc=""top right""","position=""lower right""","loc=""lower right""","place=""bottom right""",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The plt.grid() function by default adds grid lines to which axes?,Both x- and y- axes,Only x-axis,Only y-axis,Both x- and y- axes,Neither axis,,,,,,,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
What is the main use of the matplotlib package?,"To create static, dynamic, and interactive plots",To train machine learning models,"To create static, dynamic, and interactive plots",To perform statistical analysis on data,To compute correlation coefficients,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which function creates a new figure in matplotlib?,plt.figure(),plt.show(),plt.plot(),plt.figure(),plt.legend(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which of the following code adds a legend at the lower right corner of a plot?,"plt.legend(loc=""lower right"")","plt.legend(loc=""lower right"")","plt.legend(position=""lower right"")","plt.legend(""lower right"")","plt.legend(location=""bottom right"")",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
How can a red dashed line be specified in a matplotlib plot command?,"""r--""","""r-.""","""r--""","""r:""","""r:d""",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The plt.grid() function is used to _____.,add grid lines to plots,add axis labels,add grid lines to plots,save a plot as an image,create multiple subplots,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
