=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,1
2,10,0,0
3,10,0,0
4,10,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,4,100
1,3,3,3,100
1,4,0,3,100
2,3,3,7,100
2,4,0,4,100
3,4,1,6,100

Summary
Total Comparisons,780
Duplicates (≥85%),8
Similar (70-85%),29

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What symbol ends a statement in Java?,1,1,q2,Which symbol ends a Java statement?,3,2,0.956,duplicate
q3,Which statement correctly reads an integer input into variable numCars using Scanner scnr?,1,3,q4,"Which Java statement reads an integer input into variable numCars, given Scanner scnr?",3,4,0.936,duplicate
q8,"How does System.out.println(""Hello""); differ from System.out.print(""Hello"");?",3,8,q9,"How does System.out.print(""Hello""); differ from System.out.println(""Hello"");?",4,9,0.9,duplicate
q1,What symbol ends a statement in Java?,1,1,q3,What symbol must end every Java statement to indicate its completion?,2,3,0.886,duplicate
q9,What is the purpose of the Scanner class in Java?,2,9,q9,What is a Scanner in Java used for?,3,9,0.885,duplicate
q2,The main() method in a Java program is where _____ begins.,1,2,q1,What does the main() method define in a Java program?,3,1,0.878,duplicate
q3,What symbol must end every Java statement to indicate its completion?,2,3,q2,Which symbol ends a Java statement?,3,2,0.877,duplicate
q8,Which of the following outputs the value of variable x in Java?,2,8,q6,"To output the value of a variable x without quotes, which is correct?",3,6,0.866,duplicate
q2,"In Java, a statement that declares an integer variable named wage uses the keyword _____.",2,2,q2,Which Java statement correctly declares an integer variable named wage?,4,2,0.839,similar
q3,What does the statement 'int wage;' do in Java?,3,3,q2,Which Java statement correctly declares an integer variable named wage?,4,2,0.827,similar
q4,"To output text without a new line in Java, use _____.",1,4,q5,Which output statement prints text without moving to a new line?,2,5,0.826,similar
q10,The difference between System.out.print() and System.out.println() is that println _____.,1,10,q8,"How does System.out.println(""Hello""); differ from System.out.print(""Hello"");?",3,8,0.807,similar
q8,Which output statement prints a blank line?,1,8,q5,Which output statement prints text without moving to a new line?,2,5,0.802,similar
