text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What is the main purpose of data exploration in data wrangling?,To find patterns and trends within a dataset,To create new variables from existing data,To find patterns and trends within a dataset,To increase the size of a dataset,To delete irrelevant data features,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which pandas method splits a DataFrame into subsets based on a categorical feature?,df.groupby(),df.pivot_table(),df.groupBy(),df.groupby(),df.split(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
A frequency table displays _____ of a categorical feature.,group sizes,mean values,group sizes,numerical correlations,median values,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does a pivot table differ from a frequency table?,It calculates statistics based on two categorical features,It groups data by one categorical feature,It summarizes numerical data only,It calculates statistics based on two categorical features,It visualizes data with plots,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a contingency table, the values represent the _____.",number of instances for each combination of two categorical features,sum of numerical features,number of instances for each combination of two categorical features,mean values of numerical features,unique values of a single feature,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which code snippet creates a pivot table with 'Drive' as rows and 'EngineType' as columns in pandas?,"df.pivot_table(values='MPG', index='Drive', columns='EngineType')","df.pivot_table(index='EngineType', columns='Drive')","df.pivot_table(values='MPG', index='Drive', columns='EngineType')","df.groupby(['Drive', 'EngineType'])","df.pivot_table(values='Drive', index='EngineType', columns='MPG')",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
What is the main purpose of data exploration in data wrangling?,To find patterns and trends in data,To add new features to the dataset,To find patterns and trends in data,To increase the dataset size,To delete irrelevant data,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Grouping data by a categorical feature primarily helps to _____.,split the dataset into subsets for comparison,create new columns with calculated values,split the dataset into subsets for comparison,remove missing data automatically,convert numerical data to categorical data,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A frequency table displays _____ for each category in a categorical feature.,group sizes,mean values,group sizes,median values,variance,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What describes a contingency table in data analysis?,A table showing counts for combinations of two categorical features,A table showing relationships between two numerical features,A table showing counts for combinations of two categorical features,A table showing averages of numerical features,A table showing missing data counts,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a pivot table, the rows and columns display values from _____.",two categorical features,numerical features,two categorical features,one numerical and one categorical feature,group means,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which pandas method splits a dataframe into groups based on a categorical feature?,df.groupby(),df.split(),df.groupby(),df.pivot_table(),df.aggregate(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why is data exploration essential in data wrangling?,It reveals patterns and compares groups,It increases dataset size,It creates new data features,It reveals patterns and compares groups,It removes missing data,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which feature is best to group the cars dataset for meaningful subsets?,Drive,Liters,Drive,Manufacturer,Model,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A table showing counts of rear-wheel drive cars is a _____ table.,frequency,size,count,frequency,median,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A pivot table differs from a frequency table by summarizing data based on _____ categorical features.,two,one,two,three,none,,,,,,,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"In pandas, which function splits a dataframe into subsets based on a categorical feature?",groupby(),pivot_table(),groupby(),merge(),filter(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a pivot table, the rows represent one categorical feature, and the columns represent _____.",another categorical feature,a numerical feature,the same feature as rows,another categorical feature,the total count of rows,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why is data exploration important in data wrangling?,It finds patterns and compares groups,It increases dataset size,It creates new features,It finds patterns and compares groups,It deletes irrelevant data,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which feature type is best for grouping a dataset into subsets?,Categorical with distinct levels,Numerical with many unique values,Categorical with distinct levels,Continuous numeric values,Unrelated random values,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A table showing group sizes for a categorical feature is called a _____ table.,frequency,pivot,frequency,summary,descriptive,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a contingency table show in data exploration?,Number of instances for combinations of two categorical features,Means of numeric variables across groups,Number of instances for combinations of two categorical features,Median values for one categorical feature,Data sorted by numerical order,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the pandas method df.groupby(by=['Drive']).median() compute?,Median values grouped by Drive type,Median for all features in the dataset,Median values grouped by Drive type,Median across all numerical columns ignoring groups,Median of Drive feature values,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a pivot table, what is assigned to the columns parameter?",One categorical feature to define columns,The variable measured in the cells,The feature for rows,One categorical feature to define columns,A numerical summary statistic,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
