text,answer,a,b,c,d,e,f,g,h,hint,feedback
"A Python _____ is a collection of related functions, classes, and objects.",package,variable,package,module,script,,,,,,
Which command imports the function read_csv from pandas?,from pandas import read_csv,import pandas.read_csv,from pandas import read_csv,import read_csv from pandas,pandas import read_csv,,,,,,
The role of a package manager is to _____.,"install, update, and remove packages",write Python code,create packages,"install, update, and remove packages",compile Python programs,,,,,,
Which package is best for creating data visualizations in Python?,seaborn,pandas,seaborn,numpy,sklearn,,,,,,
Why use an alias when importing a package?,To shorten a package’s name for easier access,To change the package functionality,To shorten a package’s name for easier access,To upgrade the package automatically,To avoid installing dependencies,,,,,,
What is the purpose of aliasing a Python package during import?,To use a shorter name for the package,To rename functions inside the package,To avoid importing the entire package,To use a shorter name for the package,To install the package automatically,,,,,,
A package manager is used to _____.,"install, update, and remove packages while managing dependencies",write Python code faster,"install, update, and remove packages while managing dependencies",compile Python scripts into executable files,visualize data science results,,,,,,
Which command imports only the function StandardScaler from sklearn.preprocessing?,from sklearn.preprocessing import StandardScaler,import sklearn.preprocessing.StandardScaler,from sklearn.preprocessing import StandardScaler,import StandardScaler from sklearn.preprocessing,from StandardScaler import sklearn.preprocessing,,,,,,
Why must some packages be installed separately from the Python interpreter?,Too many packages exist to include all with the interpreter,They require manual coding of dependencies,Python interpreter does not support importing packages,Too many packages exist to include all with the interpreter,Packages are only available for certain operating systems,,,,,,
Which package is best for creating customized data visualizations using pandas DataFrames?,seaborn,NumPy,seaborn,scikit-learn,statsmodels,,,,,,
What does a Python package primarily provide?,"A collection of related functions, classes, and objects",A single function for data analysis,"A collection of related functions, classes, and objects",An operating system for Python,A text editor for writing code,,,,,,
How does the Python interpreter find a package during import?,It searches the filesystem paths listed in Python's path,It looks only in the current working directory,It searches the filesystem paths listed in Python's path,It downloads the package from the internet automatically,It runs a search engine query for the package,,,,,,
What is the main purpose of a package manager like pip or conda?,"Managing installation, updates, and dependencies of packages",Writing Python code faster,"Managing installation, updates, and dependencies of packages",Debugging Python programs,Running Python programs in a browser,,,,,,
Which command imports the function read_csv from the pandas package?,from pandas import read_csv,import pandas.read_csv,from pandas import read_csv,import read_csv from pandas,pandas.read_csv(),,,,,,
Which Python package is best suited to create and customize data visualizations?,seaborn,NumPy,SciPy,seaborn,scikit-learn,,,,,,
A Python _____ is a collection of related functions and classes extending Python's capabilities.,package,module,package,script,interpreter,,,,,,
Which command imports the function read_csv directly from the pandas package?,from pandas import read_csv,import read_csv from pandas,import pandas.read_csv,from pandas import read_csv,pandas import read_csv,,,,,,
What is the role of a package manager like pip in Python?,"Install, update, and remove packages while managing dependencies",Write new packages,"Install, update, and remove packages while managing dependencies",Convert Python code to executable files,Run Python scripts in a terminal,,,,,,
Which package is best suited for creating advanced data visualizations in Python?,seaborn,numpy,seaborn,pandas,scipy.stats,,,,,,
Why do users use aliases when importing packages in Python?,To use shorter names for frequent package references,To import only part of a package,To create a backup of the package,To use shorter names for frequent package references,To prevent the package from loading in memory,,,,,,
