=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,0
2,10,0,0
3,10,0,1
4,10,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,3,6,100
1,3,4,7,100
1,4,2,6,100
2,3,4,5,100
2,4,3,5,100
3,4,3,7,100

Summary
Total Comparisons,780
Duplicates (≥85%),19
Similar (70-85%),37

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q4,What symbol is used to assign a value to a variable in Python?,1,4,q5,What symbol is used to assign a value to a variable in Python?,2,5,0.967,duplicate
q7,Why are comments used in Python code?,2,7,q7,Why are comments used in Python programs?,4,7,0.967,duplicate
q4,What symbol is used to assign a value to a variable in Python?,1,4,q4,What symbol is used in Python to assign a value to a variable?,4,4,0.957,duplicate
q5,What symbol is used to assign a value to a variable in Python?,2,5,q4,What symbol is used in Python to assign a value to a variable?,4,4,0.949,duplicate
q8,Why are comments used in Python programs?,3,8,q7,Why are comments used in Python programs?,4,7,0.949,duplicate
q7,Why are comments used in Python code?,2,7,q8,Why are comments used in Python programs?,3,8,0.947,duplicate
q8,Why are comments used in Python code?,1,8,q7,Why are comments used in Python code?,2,7,0.945,duplicate
q8,Why are comments used in Python code?,1,8,q8,Why are comments used in Python programs?,3,8,0.939,duplicate
q8,Why are comments used in Python code?,1,8,q7,Why are comments used in Python programs?,4,7,0.937,duplicate
q4,What symbol is used for assignment in Python?,3,4,q4,What symbol is used in Python to assign a value to a variable?,4,4,0.914,duplicate
q1,What does the Python interpreter do?,2,1,q1,What does the Python interpreter do?,3,1,0.903,duplicate
q9,"What does the prompt "">>>"" in the Python interpreter indicate?",2,9,q7,"What does the prompt "">>>"" indicate in the Python interactive interpreter?",3,7,0.899,duplicate
q7,"What does the prompt "">>>"" indicate in the Python interactive interpreter?",3,7,q2,"What does the prompt "">>> "" indicate in the interactive interpreter?",4,2,0.881,duplicate
q9,How does the Python interpreter execute code from a file?,1,9,q9,How does the Python interpreter execute code saved in a file?,3,9,0.876,duplicate
q4,What symbol is used to assign a value to a variable in Python?,1,4,q4,What symbol is used for assignment in Python?,3,4,0.871,duplicate
q7,"What does the prompt "">>>"" indicate in the interactive interpreter?",1,7,q9,"What does the prompt "">>>"" in the Python interpreter indicate?",2,9,0.862,duplicate
q5,What symbol is used to assign a value to a variable in Python?,2,5,q4,What symbol is used for assignment in Python?,3,4,0.862,duplicate
q2,What is the role of the interactive interpreter?,1,2,q2,What is the role of the interactive interpreter in Python?,3,2,0.86,duplicate
q9,"What does the prompt "">>>"" in the Python interpreter indicate?",2,9,q2,"What does the prompt "">>> "" indicate in the interactive interpreter?",4,2,0.853,duplicate
q7,"What does the prompt "">>>"" indicate in the interactive interpreter?",1,7,q7,"What does the prompt "">>>"" indicate in the Python interactive interpreter?",3,7,0.841,similar
q1,What does the Python interpreter do?,1,1,q1,What does the Python interpreter do?,3,1,0.84,similar
q3,"In Python, a variable is used to _____.",2,3,q3,"In Python, a variable is used to _____.",3,3,0.836,similar
q7,"What does the prompt "">>>"" indicate in the interactive interpreter?",1,7,q2,"What does the prompt "">>> "" indicate in the interactive interpreter?",4,2,0.832,similar
q5,What does the print() function do?,1,5,q5,What does the print() function do in Python?,4,5,0.831,similar
q3,"In Python, what is a variable?",1,3,q3,"In Python, a variable is used to _____.",2,3,0.828,similar
q3,"In Python, what is a variable?",1,3,q3,Which of the following best defines a variable in Python?,4,3,0.817,similar
q6,What is an expression in Python?,1,6,q4,An expression in Python is best described as _____.,2,4,0.812,similar
q6,The print() function in Python is used to _____.,2,6,q5,What is the purpose of the print() function in Python?,3,5,0.812,similar
q1,What does the Python interpreter do?,1,1,q1,What does the Python interpreter do?,2,1,0.793,similar
q5,What is the purpose of the print() function in Python?,3,5,q5,What does the print() function do in Python?,4,5,0.783,similar
q6,The print() function in Python is used to _____.,2,6,q5,What does the print() function do in Python?,4,5,0.78,similar
q1,What does the Python interpreter do?,2,1,q2,What is the role of the interactive interpreter in Python?,3,2,0.776,similar
q3,"In Python, a variable is used to _____.",2,3,q3,Which of the following best defines a variable in Python?,4,3,0.764,similar
q4,An expression in Python is best described as _____.,2,4,q6,Which of the following best describes a Python expression?,3,6,0.764,similar
q3,"In Python, a variable is used to _____.",3,3,q3,Which of the following best defines a variable in Python?,4,3,0.758,similar
q2,What is the role of the interactive interpreter?,1,2,q2,The purpose of the interactive interpreter is to _____.,2,2,0.756,similar
q3,"In Python, what is a variable?",1,3,q3,"In Python, a variable is used to _____.",3,3,0.755,similar
