=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,2,25
1,3,1,1,25
1,4,1,2,25
2,3,0,4,25
2,4,2,1,25
3,4,1,3,25

Summary
Total Comparisons,190
Duplicates (≥85%),6
Similar (70-85%),13

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q5,Which pandas method replaces missing values with a specified value?,3,5,q5,Which pandas method replaces missing values with a specified value?,4,5,0.998,duplicate
q3,Which pandas method replaces missing values with specified values?,1,3,q5,Which pandas method replaces missing values with a specified value?,4,5,0.918,duplicate
q3,Which pandas method replaces missing values with specified values?,1,3,q5,Which pandas method replaces missing values with a specified value?,3,5,0.917,duplicate
q3,When is discarding instances a suitable method to handle dirty data?,2,3,q3,When should discarding dirty instances be avoided?,4,3,0.9,duplicate
q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,0.899,duplicate
q5,What imputation method replaces missing data with the average of the feature?,1,5,q4,"Fill in the blank: _____ imputation replaces missing values with the mean of a feature, excluding missing and outlier values.",2,4,0.864,duplicate
q4,What is the main disadvantage of pairwise discarding?,1,4,q4,What is the effect of pairwise discarding on dataset analysis?,4,4,0.811,similar
q3,When is discarding instances a suitable method to handle dirty data?,2,3,q3,When is discarding an entire feature recommended in data cleaning?,3,3,0.81,similar
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,0.788,similar
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,0.783,similar
q5,"In pandas, which method removes duplicate rows from a DataFrame?",2,5,q5,Which pandas method replaces missing values with a specified value?,4,5,0.773,similar
q5,"In pandas, which method removes duplicate rows from a DataFrame?",2,5,q5,Which pandas method replaces missing values with a specified value?,3,5,0.77,similar
q3,Which pandas method replaces missing values with specified values?,1,3,q5,"In pandas, which method removes duplicate rows from a DataFrame?",2,5,0.765,similar
q4,How does pairwise discarding handle dirty data during analysis?,3,4,q4,What is the effect of pairwise discarding on dataset analysis?,4,4,0.759,similar
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,0.754,similar
q3,When is discarding instances a suitable method to handle dirty data?,2,3,q4,How does pairwise discarding handle dirty data during analysis?,3,4,0.739,similar
q3,When is discarding an entire feature recommended in data cleaning?,3,3,q3,When should discarding dirty instances be avoided?,4,3,0.727,similar
q2,Why should duplicate instances usually be discarded from a dataset?,2,2,q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,0.715,similar
q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,0.713,similar
q4,What is the main disadvantage of pairwise discarding?,1,4,q2,Why should duplicate instances usually be discarded from a dataset?,2,2,0.698,low
q4,How does pairwise discarding handle dirty data during analysis?,3,4,q3,When should discarding dirty instances be avoided?,4,3,0.697,low
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.691,low
q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,0.69,low
q2,Which technique removes entire rows with missing values?,1,2,q4,How does pairwise discarding handle dirty data during analysis?,3,4,0.678,low
q4,What is the main disadvantage of pairwise discarding?,1,4,q4,How does pairwise discarding handle dirty data during analysis?,3,4,0.677,low
q2,Which technique removes entire rows with missing values?,1,2,q4,What is the effect of pairwise discarding on dataset analysis?,4,4,0.67,low
q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.67,low
q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.665,low
q2,Why should duplicate instances usually be discarded from a dataset?,2,2,q4,What is the effect of pairwise discarding on dataset analysis?,4,4,0.665,low
q2,Why should duplicate instances usually be discarded from a dataset?,2,2,q3,When should discarding dirty instances be avoided?,4,3,0.661,low
q3,When is discarding an entire feature recommended in data cleaning?,3,3,q4,How does pairwise discarding handle dirty data during analysis?,3,4,0.65,low
q2,Which technique removes entire rows with missing values?,1,2,q3,When is discarding an entire feature recommended in data cleaning?,3,3,0.649,low
q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.64,low
q3,When is discarding an entire feature recommended in data cleaning?,3,3,q4,What is the effect of pairwise discarding on dataset analysis?,4,4,0.628,low
q3,When is discarding instances a suitable method to handle dirty data?,2,3,q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,0.619,low
q2,Why should duplicate instances usually be discarded from a dataset?,2,2,q3,When is discarding instances a suitable method to handle dirty data?,2,3,0.615,low
q2,Which technique removes entire rows with missing values?,1,2,q4,What is the main disadvantage of pairwise discarding?,1,4,0.605,low
q2,Why should duplicate instances usually be discarded from a dataset?,2,2,q3,When is discarding an entire feature recommended in data cleaning?,3,3,0.598,low
q3,When is discarding an entire feature recommended in data cleaning?,3,3,q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,0.595,low
q2,Which technique removes entire rows with missing values?,1,2,q3,When is discarding instances a suitable method to handle dirty data?,2,3,0.584,low
q3,When is discarding instances a suitable method to handle dirty data?,2,3,q4,What is the effect of pairwise discarding on dataset analysis?,4,4,0.583,low
q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,0.582,low
q4,What is the main disadvantage of pairwise discarding?,1,4,q3,When is discarding an entire feature recommended in data cleaning?,3,3,0.581,low
q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,q4,What is the effect of pairwise discarding on dataset analysis?,4,4,0.577,low
q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,q3,When should discarding dirty instances be avoided?,4,3,0.575,low
q3,When should discarding dirty instances be avoided?,4,3,q4,What is the effect of pairwise discarding on dataset analysis?,4,4,0.569,low
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,0.568,low
q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,q3,When is discarding an entire feature recommended in data cleaning?,3,3,0.563,low
q4,What is the main disadvantage of pairwise discarding?,1,4,q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,0.561,low
q4,What is the main disadvantage of pairwise discarding?,1,4,q3,When should discarding dirty instances be avoided?,4,3,0.56,low
q4,What is the main disadvantage of pairwise discarding?,1,4,q3,When is discarding instances a suitable method to handle dirty data?,2,3,0.556,low
q4,How does pairwise discarding handle dirty data during analysis?,3,4,q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,0.553,low
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q3,When is discarding instances a suitable method to handle dirty data?,2,3,0.551,low
q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,0.55,low
q2,Which technique removes entire rows with missing values?,1,2,q5,What imputation method replaces missing data with the average of the feature?,1,5,0.549,low
q2,Why should duplicate instances usually be discarded from a dataset?,2,2,q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,0.549,low
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q3,When is discarding an entire feature recommended in data cleaning?,3,3,0.54,low
q2,Which technique removes entire rows with missing values?,1,2,q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,0.54,low
q2,Which technique removes entire rows with missing values?,1,2,q4,"Fill in the blank: _____ imputation replaces missing values with the mean of a feature, excluding missing and outlier values.",2,4,0.54,low
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q4,How does pairwise discarding handle dirty data during analysis?,3,4,0.538,low
q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.537,low
q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,q3,When is discarding an entire feature recommended in data cleaning?,3,3,0.534,low
q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,q3,When should discarding dirty instances be avoided?,4,3,0.53,low
q3,When is discarding instances a suitable method to handle dirty data?,2,3,q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,0.528,low
q2,Which technique removes entire rows with missing values?,1,2,q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,0.523,low
q2,Why should duplicate instances usually be discarded from a dataset?,2,2,q4,How does pairwise discarding handle dirty data during analysis?,3,4,0.522,low
q2,Which technique removes entire rows with missing values?,1,2,q5,Which pandas method replaces missing values with a specified value?,4,5,0.513,low
q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,q3,When is discarding an entire feature recommended in data cleaning?,3,3,0.512,low
q2,Which technique removes entire rows with missing values?,1,2,q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,0.511,low
q2,Which technique removes entire rows with missing values?,1,2,q5,Which pandas method replaces missing values with a specified value?,3,5,0.511,low
q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,q5,Which pandas method replaces missing values with a specified value?,3,5,0.507,low
q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,q5,Which pandas method replaces missing values with a specified value?,4,5,0.506,low
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q3,When should discarding dirty instances be avoided?,4,3,0.504,low
q2,Which technique removes entire rows with missing values?,1,2,q2,Why should duplicate instances usually be discarded from a dataset?,2,2,0.503,low
q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,0.503,low
q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,q4,How does pairwise discarding handle dirty data during analysis?,3,4,0.503,low
q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,q2,Why should duplicate instances usually be discarded from a dataset?,2,2,0.499,low
q2,Which technique removes entire rows with missing values?,1,2,q3,Which pandas method replaces missing values with specified values?,1,3,0.498,low
q2,Which technique removes entire rows with missing values?,1,2,q3,When should discarding dirty instances be avoided?,4,3,0.496,low
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q2,Why should duplicate instances usually be discarded from a dataset?,2,2,0.491,low
q3,When is discarding an entire feature recommended in data cleaning?,3,3,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.488,low
q3,When is discarding instances a suitable method to handle dirty data?,2,3,q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,0.486,low
q1,What term describes data values that are much larger or smaller than most in the same feature?,4,1,q4,What is the effect of pairwise discarding on dataset analysis?,4,4,0.481,low
q3,When is discarding instances a suitable method to handle dirty data?,2,3,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.475,low
q1,What type of dirty data is a numeric value far from the mean called?,1,1,q2,Which technique removes entire rows with missing values?,1,2,0.473,low
q2,Why should duplicate instances usually be discarded from a dataset?,2,2,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.467,low
q2,Which technique removes entire rows with missing values?,1,2,q5,"In pandas, which method removes duplicate rows from a DataFrame?",2,5,0.466,low
q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,q3,When is discarding instances a suitable method to handle dirty data?,2,3,0.462,low
q4,"Fill in the blank: _____ imputation replaces missing values with the mean of a feature, excluding missing and outlier values.",2,4,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.462,low
q2,"Dirty data includes missing, outlier, and _____ data.",4,2,q3,When should discarding dirty instances be avoided?,4,3,0.46,low
q2,Which technique removes entire rows with missing values?,1,2,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.459,low
q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,q4,"Fill in the blank: _____ imputation replaces missing values with the mean of a feature, excluding missing and outlier values.",2,4,0.459,low
q2,Why should outlier data typically be removed or corrected in a dataset?,3,2,q4,How does pairwise discarding handle dirty data during analysis?,3,4,0.459,low
q5,What imputation method replaces missing data with the average of the feature?,1,5,q1,What term describes data values that are much larger or smaller than most values in a feature?,2,1,0.456,low
q3,Which pandas method replaces missing values with specified values?,1,3,q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,0.454,low
q4,"Fill in the blank: _____ imputation replaces missing values with the mean of a feature, excluding missing and outlier values.",2,4,q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,0.452,low
q4,How does pairwise discarding handle dirty data during analysis?,3,4,q2,"Dirty data includes missing, outlier, and _____ data.",4,2,0.451,low
q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,q3,When should discarding dirty instances be avoided?,4,3,0.45,low
q2,Why should duplicate instances usually be discarded from a dataset?,2,2,q1,What type of dirty data is a missing value represented as a blank or NaN?,3,1,0.446,low
