=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,0,25
1,3,0,2,25
1,4,2,1,25
2,3,0,1,25
2,4,1,2,25
3,4,0,1,25

Summary
Total Comparisons,190
Duplicates (≥85%),5
Similar (70-85%),7

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What does the shape attribute of a NumPy array represent?,1,1,q1,What does the shape attribute of a NumPy array represent?,4,1,0.976,duplicate
q1,What does the shape attribute of a NumPy array represent?,1,1,q1,What does the shape attribute of a NumPy array represent?,2,1,0.95,duplicate
q1,What does the shape attribute of a NumPy array represent?,2,1,q1,What does the shape attribute of a NumPy array represent?,4,1,0.949,duplicate
q2,Which function inserts values into a NumPy array at a specified axis?,1,2,q2,Which NumPy function inserts values into an existing array along a specified axis?,2,2,0.912,duplicate
q3,How does the reshape() function affect a NumPy array?,1,3,q4,How does the reshape() function affect a NumPy array?,4,4,0.886,duplicate
q2,Which function inserts values into a NumPy array at a specified axis?,1,2,q2,Which NumPy function inserts elements into an array before a specified index?,3,2,0.837,similar
q3,How does the reshape() function affect a NumPy array?,1,3,q3,What does the NumPy function reshape() do to an array?,3,3,0.829,similar
q4,How does the axis parameter affect the sort() function in NumPy?,2,4,q3,What does the axis parameter specify in NumPy functions?,4,3,0.829,similar
q2,Which NumPy function inserts values into an existing array along a specified axis?,2,2,q2,Which NumPy function inserts elements into an array before a specified index?,3,2,0.797,similar
q2,Which NumPy function inserts values into an existing array along a specified axis?,2,2,q2,Which function creates a NumPy array filled with a specified value and shape?,4,2,0.784,similar
q3,What does the NumPy function reshape() do to an array?,3,3,q4,How does the reshape() function affect a NumPy array?,4,4,0.768,similar
q2,Which function inserts values into a NumPy array at a specified axis?,1,2,q2,Which function creates a NumPy array filled with a specified value and shape?,4,2,0.705,similar
q4,What does the ravel() function do to an array?,1,4,q3,What is the result of calling ravel() on a two-dimensional NumPy array?,2,3,0.691,low
q2,Which NumPy function inserts elements into an array before a specified index?,3,2,q2,Which function creates a NumPy array filled with a specified value and shape?,4,2,0.672,low
q4,Flattening a NumPy array changes it to a _____ array.,3,4,q4,How does the reshape() function affect a NumPy array?,4,4,0.661,low
q3,What does the NumPy function reshape() do to an array?,3,3,q2,Which function creates a NumPy array filled with a specified value and shape?,4,2,0.65,low
q5,Which statement correctly describes an aggregate function like var() in NumPy?,2,5,q5,Which type of NumPy function returns a single value summarizing the entire array or slice?,3,5,0.636,low
q3,What is the result of calling ravel() on a two-dimensional NumPy array?,2,3,q4,Flattening a NumPy array changes it to a _____ array.,3,4,0.621,low
q2,Which function inserts values into a NumPy array at a specified axis?,1,2,q4,How does the axis parameter affect the sort() function in NumPy?,2,4,0.615,low
q3,What is the result of calling ravel() on a two-dimensional NumPy array?,2,3,q4,How does the reshape() function affect a NumPy array?,4,4,0.59,low
q4,How does the axis parameter affect the sort() function in NumPy?,2,4,q3,What does the NumPy function reshape() do to an array?,3,3,0.588,low
q3,How does the reshape() function affect a NumPy array?,1,3,q1,What does the shape attribute of a NumPy array represent?,2,1,0.586,low
q3,How does the reshape() function affect a NumPy array?,1,3,q1,What does the shape attribute of a NumPy array represent?,4,1,0.584,low
