=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,0
2,10,0,0
3,10,0,1
4,10,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,3,100
1,3,2,4,100
1,4,1,4,100
2,3,2,3,100
2,4,2,4,100
3,4,3,2,100

Summary
Total Comparisons,780
Duplicates (≥85%),11
Similar (70-85%),22

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What is the first step in the data science lifecycle?,2,1,q1,What is the first step in the data science lifecycle?,3,1,1,duplicate
q1,What is the first step in the data science lifecycle?,1,1,q1,What is the first step of the data science lifecycle?,4,1,0.997,duplicate
q2,Which type of data is stored in tables with rows and columns?,3,2,q2,Which type of data is stored in tables with rows and columns?,4,2,0.997,duplicate
q1,What is the first step in the data science lifecycle?,1,1,q1,What is the first step in the data science lifecycle?,2,1,0.985,duplicate
q1,What is the first step in the data science lifecycle?,1,1,q1,What is the first step in the data science lifecycle?,3,1,0.985,duplicate
q1,What is the first step in the data science lifecycle?,2,1,q1,What is the first step of the data science lifecycle?,4,1,0.983,duplicate
q1,What is the first step in the data science lifecycle?,3,1,q1,What is the first step of the data science lifecycle?,4,1,0.983,duplicate
q6,What distinguishes supervised models from unsupervised models?,2,6,q5,What distinguishes supervised models from unsupervised models?,4,5,0.945,duplicate
q4,Why do data scientists clean data before modeling?,3,4,q3,Why do data scientists clean data before modeling?,4,3,0.901,duplicate
q3,Why do data scientists clean data before analysis?,1,3,q4,Why do data scientists clean data before modeling?,3,4,0.886,duplicate
q4,Why must data be cleaned before modeling?,2,4,q4,Why do data scientists clean data before modeling?,3,4,0.87,duplicate
q3,Why do data scientists clean data before analysis?,1,3,q3,Why do data scientists clean data before modeling?,4,3,0.848,similar
q3,Why do data scientists clean data before analysis?,1,3,q4,Why must data be cleaned before modeling?,2,4,0.834,similar
q4,Why must data be cleaned before modeling?,2,4,q3,Why do data scientists clean data before modeling?,4,3,0.818,similar
q3,Why do data scientists clean data before analysis?,1,3,q10,Why might data scientists remove some instances during data cleaning?,4,10,0.811,similar
q3,Which type of data is unstructured?,2,3,q3,Which dataset is an example of unstructured data?,3,3,0.806,similar
q2,Which type of dataset has features stored in columns and instances in rows?,1,2,q2,Which type of data is stored in tables with rows and columns?,3,2,0.803,similar
q1,What is the first step in the data science lifecycle?,2,1,q9,"After modeling data, what is the next step in the lifecycle?",3,9,0.802,similar
q1,What is the first step in the data science lifecycle?,3,1,q9,"After modeling data, what is the next step in the lifecycle?",3,9,0.802,similar
q2,Which type of dataset has features stored in columns and instances in rows?,1,2,q2,Which type of data is stored in tables with rows and columns?,4,2,0.797,similar
q7,Which scenario fits a regression model?,1,7,q8,Which scenario best fits a regression model?,3,8,0.794,similar
q9,"After modeling data, what is the next step in the lifecycle?",3,9,q1,What is the first step of the data science lifecycle?,4,1,0.788,similar
q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,q9,What is the main purpose of interpreting data in the lifecycle?,2,9,0.786,similar
q1,What is the first step in the data science lifecycle?,1,1,q9,"After modeling data, what is the next step in the lifecycle?",3,9,0.785,similar
q4,"During exploratory data analysis, data scientists primarily use _____ to find patterns.",1,4,q4,"During exploratory data analysis, data scientists primarily use plots to _____.",4,4,0.785,similar
q5,"During exploratory data analysis, data scientists primarily _____.",2,5,q4,"During exploratory data analysis, data scientists primarily use plots to _____.",4,4,0.78,similar
q4,Why do data scientists clean data before modeling?,3,4,q10,Why might data scientists remove some instances during data cleaning?,4,10,0.756,similar
q4,"During exploratory data analysis, data scientists primarily use _____ to find patterns.",1,4,q5,"During exploratory data analysis, data scientists primarily _____.",2,5,0.745,similar
q4,Why must data be cleaned before modeling?,2,4,q10,Why might data scientists remove some instances during data cleaning?,4,10,0.738,similar
q7,Which task is best suited for a classification model?,2,7,q6,Which model type is appropriate for predicting whether a house sells within 30 days?,4,6,0.735,similar
q6,"In the data science lifecycle, unsupervised models are used to _____.",1,6,q7,What does an unsupervised model do?,3,7,0.727,similar
q3,Why do data scientists clean data before modeling?,4,3,q10,Why might data scientists remove some instances during data cleaning?,4,10,0.713,similar
q5,"During exploratory data analysis, data scientists primarily _____.",2,5,q5,What is the goal of exploratory data analysis?,3,5,0.712,similar
q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,q3,Why do data scientists clean data before modeling?,4,3,0.688,low
q6,What distinguishes supervised models from unsupervised models?,2,6,q7,What does an unsupervised model do?,3,7,0.682,low
q3,Why do data scientists clean data before analysis?,1,3,q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,0.677,low
q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,q9,"After modeling data, what is the next step in the lifecycle?",3,9,0.676,low
q6,"Which type of model predicts categories like ""spam"" or ""not spam""?",3,6,q6,Which model type is appropriate for predicting whether a house sells within 30 days?,4,6,0.676,low
q5,"During exploratory data analysis, data scientists primarily _____.",2,5,q9,What should a data scientist do after developing a predictive model?,4,9,0.674,low
q7,What does an unsupervised model do?,3,7,q5,What distinguishes supervised models from unsupervised models?,4,5,0.672,low
q5,What is the goal of exploratory data analysis?,3,5,q4,"During exploratory data analysis, data scientists primarily use plots to _____.",4,4,0.669,low
q8,What is a key difference between structured and unstructured data?,1,8,q8,What is a key characteristic of semi-structured data?,4,8,0.668,low
q9,What is the main purpose of interpreting data in the lifecycle?,2,9,q9,"After modeling data, what is the next step in the lifecycle?",3,9,0.665,low
q6,"Which type of model predicts categories like ""spam"" or ""not spam""?",3,6,q8,Which scenario best fits a regression model?,3,8,0.665,low
q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,q4,Why do data scientists clean data before modeling?,3,4,0.664,low
q4,"During exploratory data analysis, data scientists primarily use _____ to find patterns.",1,4,q5,What is the goal of exploratory data analysis?,3,5,0.663,low
q2,Structured data is best described as data that is _____.,2,2,q7,"A dataset with images, videos, and audio files is considered _____.",4,7,0.662,low
q1,What is the first step in the data science lifecycle?,2,1,q3,Why do data scientists clean data before modeling?,4,3,0.654,low
q1,What is the first step in the data science lifecycle?,3,1,q3,Why do data scientists clean data before modeling?,4,3,0.654,low
q1,What is the first step in the data science lifecycle?,1,1,q9,What is the main purpose of interpreting data in the lifecycle?,2,9,0.652,low
q6,"In the data science lifecycle, unsupervised models are used to _____.",1,6,q6,What distinguishes supervised models from unsupervised models?,2,6,0.652,low
q9,What is the main purpose of interpreting data in the lifecycle?,2,9,q1,What is the first step of the data science lifecycle?,4,1,0.652,low
q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,q5,What is the goal of exploratory data analysis?,3,5,0.651,low
q1,What is the first step in the data science lifecycle?,1,1,q3,Why do data scientists clean data before modeling?,4,3,0.646,low
q6,"In the data science lifecycle, unsupervised models are used to _____.",1,6,q5,"During exploratory data analysis, data scientists primarily _____.",2,5,0.646,low
q1,What is the first step of the data science lifecycle?,4,1,q3,Why do data scientists clean data before modeling?,4,3,0.646,low
q8,What is a key difference between structured and unstructured data?,1,8,q2,Which type of data is stored in tables with rows and columns?,4,2,0.645,low
q5,What is the goal of exploratory data analysis?,3,5,q3,Why do data scientists clean data before modeling?,4,3,0.644,low
q6,"In the data science lifecycle, unsupervised models are used to _____.",1,6,q5,What distinguishes supervised models from unsupervised models?,4,5,0.643,low
q9,"After modeling data, what is the next step in the lifecycle?",3,9,q9,What should a data scientist do after developing a predictive model?,4,9,0.643,low
q4,"During exploratory data analysis, data scientists primarily use _____ to find patterns.",1,4,q3,Why do data scientists clean data before modeling?,4,3,0.642,low
q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,q1,What is the first step of the data science lifecycle?,4,1,0.639,low
q8,An unsupervised model is useful for _____.,2,8,q7,What does an unsupervised model do?,3,7,0.639,low
q8,What is a key difference between structured and unstructured data?,1,8,q2,Which type of data is stored in tables with rows and columns?,3,2,0.637,low
q5,What is the goal of exploratory data analysis?,3,5,q9,What should a data scientist do after developing a predictive model?,4,9,0.637,low
q1,What is the first step in the data science lifecycle?,1,1,q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,0.635,low
q1,What is the first step in the data science lifecycle?,2,1,q4,Why do data scientists clean data before modeling?,3,4,0.634,low
q3,Which type of data is unstructured?,2,3,q2,Which type of data is stored in tables with rows and columns?,4,2,0.634,low
q1,What is the first step in the data science lifecycle?,3,1,q4,Why do data scientists clean data before modeling?,3,4,0.634,low
q3,Why do data scientists clean data before modeling?,4,3,q9,What should a data scientist do after developing a predictive model?,4,9,0.634,low
q4,"During exploratory data analysis, data scientists primarily use _____ to find patterns.",1,4,q9,What should a data scientist do after developing a predictive model?,4,9,0.633,low
q4,"During exploratory data analysis, data scientists primarily use _____ to find patterns.",1,4,q6,"In the data science lifecycle, unsupervised models are used to _____.",1,6,0.632,low
q1,What is the first step in the data science lifecycle?,2,1,q9,What is the main purpose of interpreting data in the lifecycle?,2,9,0.631,low
q9,What is the main purpose of interpreting data in the lifecycle?,2,9,q1,What is the first step in the data science lifecycle?,3,1,0.631,low
q4,Why do data scientists clean data before modeling?,3,4,q1,What is the first step of the data science lifecycle?,4,1,0.629,low
q3,Which type of data is unstructured?,2,3,q2,Which type of data is stored in tables with rows and columns?,3,2,0.628,low
q1,What is the first step in the data science lifecycle?,1,1,q4,Why do data scientists clean data before modeling?,3,4,0.627,low
q6,"In the data science lifecycle, unsupervised models are used to _____.",1,6,q8,An unsupervised model is useful for _____.,2,8,0.627,low
q2,Which type of dataset has features stored in columns and instances in rows?,1,2,q7,"A dataset with images, videos, and audio files is considered _____.",4,7,0.624,low
q9,"After modeling data, what is the next step in the lifecycle?",3,9,q3,Why do data scientists clean data before modeling?,4,3,0.622,low
q5,"During exploratory data analysis, data scientists primarily _____.",2,5,q3,Why do data scientists clean data before modeling?,4,3,0.621,low
q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,q1,What is the first step in the data science lifecycle?,2,1,0.618,low
q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,q1,What is the first step in the data science lifecycle?,3,1,0.618,low
q6,"In the data science lifecycle, unsupervised models are used to _____.",1,6,q3,Why do data scientists clean data before modeling?,4,3,0.615,low
q10,Which of the following is an example of semi-structured data?,1,10,q3,Which dataset is an example of unstructured data?,3,3,0.615,low
q6,"In the data science lifecycle, unsupervised models are used to _____.",1,6,q1,What is the first step in the data science lifecycle?,2,1,0.604,low
q6,"In the data science lifecycle, unsupervised models are used to _____.",1,6,q1,What is the first step in the data science lifecycle?,3,1,0.604,low
q10,Which of the following is an example of semi-structured data?,1,10,q7,"A dataset with images, videos, and audio files is considered _____.",4,7,0.604,low
q4,Why do data scientists clean data before modeling?,3,4,q9,What should a data scientist do after developing a predictive model?,4,9,0.604,low
q3,Why do data scientists clean data before analysis?,1,3,q1,What is the first step of the data science lifecycle?,4,1,0.602,low
q9,What is the purpose of interpreting data in the final step of the data science lifecycle?,1,9,q4,Why must data be cleaned before modeling?,2,4,0.602,low
q3,Why do data scientists clean data before analysis?,1,3,q9,What is the main purpose of interpreting data in the lifecycle?,2,9,0.601,low
q5,What is the goal of exploratory data analysis?,3,5,q9,"After modeling data, what is the next step in the lifecycle?",3,9,0.601,low
q10,How should data scientists communicate complex model results to non-technical managers?,3,10,q9,What should a data scientist do after developing a predictive model?,4,9,0.601,low
q1,What is the first step in the data science lifecycle?,1,1,q3,Why do data scientists clean data before analysis?,1,3,0.6,low
