text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What is the main purpose of defining a function in a program?,To group statements for reuse and reduce redundancy,To increase program length,To repeat code multiple times,To group statements for reuse and reduce redundancy,To avoid using variables,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does a function call affect program execution?,It jumps to the function’s statements and returns after execution,It deletes the function code,It jumps to the function’s statements and returns after execution,It copies the function code inline,It ignores the function’s statements,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which keyword is used to define a new function in Python?,def,function,def,lambda,func,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A function parameter is _____.,a variable defined in the function definition to accept input,a value passed when calling the function,a variable defined in the function definition to accept input,the function's name,the return value of the function,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the difference between a parameter and an argument?,Parameter is a function input name; argument is a value passed to that parameter,Parameter is at call; argument is in definition,Parameter is a function input name; argument is a value passed to that parameter,Parameter is a value; argument is a variable,They are the same thing,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a return statement in a function do?,Transfers a value back to the caller and ends the function execution,Ends the program,Outputs a value but continues execution inside the function,Transfers a value back to the caller and ends the function execution,Calls another function,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How are multiple parameters specified in a function definition?,Separated by commas,Separated by semicolons,Separated by commas,Separated by spaces,Separated by colons,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a hierarchical (nested) function call mean?,Calling a function inside another function’s body,Calling a function inside another function’s body,Calling a function with many parameters,Calling several functions one after another,Calling a function without parameters,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why are functions used to group statements in a program?,To reduce redundancy and simplify code,To create redundant operations,To increase program size,To reduce redundancy and simplify code,To slow down program execution,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a function call do in a program?,Executes the function's predefined statements,Defines a new function,Executes the function's predefined statements,Deletes the function definition,Returns the function's name,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the purpose of the return statement in a function?,To provide a value back to the caller,To accept input parameters,To print output to the console,To provide a value back to the caller,To repeat the function call,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which of the following correctly defines a function with two parameters x and y in Python?,"def func(x, y):",def func(x; y):,def func(x y):,"def func(x, y):",def func(x|y):,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the difference between a parameter and an argument in functions?,Parameter is in the function definition; argument is passed during call,Parameter is a value passed; argument is in definition,Parameter is in the function definition; argument is passed during call,Parameter and argument mean the same,Parameter is always a number; argument is always a string,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens when a function with multiple parameters is called with fewer arguments than parameters?,The interpreter generates an error,The missing parameters get default values,The function runs normally,The interpreter generates an error,The extra parameters are ignored,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is a hierarchical (nested) function call?,Calling a function from inside another function's statements,Calling a function inside a loop,Calling a function from inside another function's statements,Defining functions without parameters,Returning multiple values from a function,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why do programmers use functions in a program?,To group repeated statements for reuse,To increase program redundancy,To make the main program longer,To group repeated statements for reuse,To avoid using variables,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens when a function call is executed in a program?,The function's statements execute and then return to the call,The program skips the function's statements,The function's statements execute and then return to the call,The program ends immediately,The function's statements execute randomly,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A function definition must include _____ followed by a block of statements.,the function's name and parentheses,a variable declaration,the function's name and parentheses,only the function's name,a return value,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What keyword is used in Python to create a new function?,def,func,define,def,function,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A function parameter is:,a function input specified in the function definition,a value given when calling the function,a variable defined inside the function block,a function input specified in the function definition,a value returned from the function,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"When a function has multiple parameters, how are arguments assigned during a call?","By position, first argument to first parameter, etc.",Randomly to any parameter,By matching argument names,"By position, first argument to first parameter, etc.",By the order of parameter types,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a return statement do inside a function?,Ends function execution and sends a value back to the caller,Stops the program permanently,Ends function execution and sends a value back to the caller,Prints a value to the console,Calls another function,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In hierarchical function calls, what occurs?",One function calls another function inside its statements,One function calls another function inside its statements,Functions cannot call other functions,Only built-in functions can be called inside functions,The program executes functions in parallel,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A program uses a function to reduce _____ caused by repeated code.,program redundancy,memory overflow,program redundancy,compile-time errors,hardware failure,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What keyword defines a new function in Python?,def,func,define,def,function,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
