text,answer,a,b,c,d,e,f,g,h,hint,feedback
What does a while loop do in a program?,Runs a block of code repeatedly while a condition is True,Runs a block of code once,Runs a block of code repeatedly while a condition is True,Runs code only if a condition is False,Runs code after a for loop finishes,,,,,,
"In a while loop, what does the loop condition control?",Whether the loop body executes or the program ends,How many variables are declared,Whether the loop body executes or the program ends,The order of statements in the program,The number of functions called inside the loop,,,,,,
What is a sentinel value in a while loop?,A value that causes the loop to end,A value that resets the loop variable,A value that causes the loop to end,A value that increments in each loop iteration,A value that is ignored by the loop condition,,,,,,
How can an infinite loop occur in a while loop?,If the loop condition is always True and never updated,If the loop condition eventually becomes False,If the loop variable changes inside the loop,If the loop condition is always True and never updated,If the loop body contains a break statement,,,,,,
What is the purpose of indentation in a while loop's code?,To indicate the block of code repeated in the loop,To separate functions from loops,To indicate the block of code repeated in the loop,To mark the end of the program,To define variable types in the loop,,,,,,
"If a while loop condition is ""while x != 3:"" and x is divided by 2 each iteration starting at 10, what happens?",The loop runs infinitely because x never equals 3,The loop ends after several iterations,The loop runs infinitely because x never equals 3,The loop runs zero times,The loop prints the numbers 10 to 3,,,,,,
What is a good practice to avoid infinite loops?,Use greater than or less than along with equality in the loop condition,Use only equality (==) in the loop condition,Use greater than or less than along with equality in the loop condition,Never update the loop variable inside the loop,Use a break statement outside the loop body,,,,,,
What does a while loop do in a program?,Runs code repeatedly while a condition is True,Executes code once and stops,Runs code repeatedly while a condition is False,Runs code repeatedly while a condition is True,Runs code only if a condition is False,,,,,,
"In a while loop, what is an iteration?",A single execution of the loop body,The first time the loop runs,A single execution of the loop body,When the loop condition becomes False,The total number of times the loop runs,,,,,,
What is the purpose of a sentinel value in a while loop?,To end the loop when input matches it,To initialize the loop variable,To count the iterations,To end the loop when input matches it,To make the loop run infinitely,,,,,,
Which indentation indicates the code that runs inside the while loop?,One or more indented lines below the while statement,No indentation,One or more indented lines below the while statement,The line after the loop ends,The first line of the program,,,,,,
Why might a while loop become an infinite loop?,The loop condition is always True and the loop variable never changes,The loop condition becomes False too soon,The loop condition is always True and the loop variable never changes,The loop runs zero times,The loop body is empty,,,,,,
How can a programmer prevent an infinite loop?,Ensure the loop variable or condition changes to eventually become False,Use a loop with no body,Ensure the loop variable or condition changes to eventually become False,Avoid using while loops,Always start the loop condition as False,,,,,,
What happens if the while loop condition is False before the first iteration?,The loop body never executes and the program continues after the loop,The loop body executes once,The loop body executes multiple times,The loop body never executes and the program continues after the loop,The program crashes,,,,,,
What is a sentinel value used for in a while loop?,To end the loop,To initialize the loop variable,To count the number of iterations,To end the loop,To double the loop variable each iteration,,,,,,
What causes a while loop to become an infinite loop?,Loop condition is always True,Loop condition eventually becomes False,Loop body updates the loop variable correctly,Loop condition is always True,Loop variable is initialized outside the loop,,,,,,
"In a while loop, what does indentation indicate?",The block of code inside the loop,The end of the program,The start of a new function,The block of code inside the loop,The loop condition,,,,,,
How many times will this loop run? <br> x = 0 while x > 0: &nbsp;&nbsp;&nbsp;print(x) &nbsp;&nbsp;&nbsp;x = x - 1,0,0,1,Infinite times,10,,,,,,
Fill in the blank: A while loop runs a block of code repeatedly as long as the loop's _____ is True.,condition,output,variable,condition,function,,,,,,
Why is it good practice to include greater than or less than in a while loop condition?,To avoid infinite loops,To improve performance,To avoid infinite loops,To simplify the code,To skip loop iterations,,,,,,
How many times does the loop body execute in the code below? <br> score = 0 while score < 20: &nbsp;&nbsp;&nbsp;print(score) &nbsp;&nbsp;&nbsp;score = score + 5,4,3,4,5,6,,,,,,
What condition keeps a while loop running?,The loop's condition evaluates to True,The loop's body contains a print statement,The loop's condition evaluates to False,The loop's condition evaluates to True,The loop variable is incremented,,,,,,
What is a sentinel value used for in a while loop?,To indicate the loop should end,To start the loop execution,To indicate the loop should end,To count loop iterations,To increment loop variables,,,,,,
What will happen if a while loop's condition is always True?,The loop runs infinitely,The loop executes once,The loop never executes,The loop runs infinitely,The loop raises an error,,,,,,
What does indentation define in a while loop?,The block of code to repeat,The loop's condition,The block of code to repeat,The end of the program,The start of a function,,,,,,
When does a while loop stop executing?,When the loop's condition becomes False,When the loop body finishes its first iteration,When the loop's condition becomes False,When the user interrupts the program,When the loop variable increases,,,,,,
How can an infinite loop be prevented?,By ensuring the loop variable changes to eventually make the condition False,By removing the loop's condition,By ensuring the loop variable changes to eventually make the condition False,By using print statements inside the loop,By running the loop only once,,,,,,
"If the loop condition is while x != 5 and x starts at 3 and increases by 1 each iteration, how many times will the loop run?",2,1,2,3,Infinite,,,,,,
