=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,12,1,4
2,12,0,9
3,12,0,4
4,12,1,7

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,8,14,144
1,3,4,13,144
1,4,11,16,144
2,3,5,18,144
2,4,8,20,144
3,4,7,15,144

Summary
Total Comparisons,1128
Duplicates (≥85%),45
Similar (70-85%),120

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q9,"Given \(p\) is true, \(q\) is false, what is the truth value of \(p \rightarrow q\)?",1,9,q11,"If \(p\) is true and \(q\) is false, what is the truth value of \(p \rightarrow q\)?",2,11,0.977,duplicate
q11,What does the biconditional \(p \leftrightarrow q\) express in English?,1,11,q10,How is the biconditional \(p \leftrightarrow q\) expressed in English?,4,10,0.971,duplicate
q8,What is the inverse of \(p \rightarrow q\)?,2,8,q10,Which of the following is the inverse of \(p \rightarrow q\)?,3,10,0.965,duplicate
q1,The only way for \(p \rightarrow q\) to be false is when _____.,2,1,q1,The only way for a conditional statement \(p \rightarrow q\) to be false is when _____,3,1,0.953,duplicate
q2,"In the conditional proposition \(p \rightarrow q\), \(p\) is the _____ and \(q\) is the conclusion.",3,2,q7,"For the conditional \(p \rightarrow q\), the proposition \(p\) is called the _____.",4,7,0.952,duplicate
q6,Fill in the blank: The converse of \(p \rightarrow q\) is _____.,1,6,q10,Fill in the blank: The inverse of \(p \rightarrow q\) is _____.,1,10,0.951,duplicate
q10,Which of the following is the inverse of \(p \rightarrow q\)?,3,10,q5,The inverse of \(p \rightarrow q\) is _____.,4,5,0.947,duplicate
q8,"The statement ""Me sharing my cookie with you is sufficient for you to share your soda with me"" corresponds to which logical expression?",1,8,q6,"Which expression represents ""Me sharing my cookie with you is sufficient for you to share your soda with me""?",4,6,0.942,duplicate
q1,The only way for a conditional statement \(p \rightarrow q\) to be false is when _____,3,1,q1,The conditional statement \(p \rightarrow q\) is false when _____.,4,1,0.941,duplicate
q8,What is the inverse of \(p \rightarrow q\)?,2,8,q5,The inverse of \(p \rightarrow q\) is _____.,4,5,0.937,duplicate
q3,The biconditional proposition \(p \leftrightarrow q\) is true when _____.,2,3,q4,The biconditional \(p \leftrightarrow q\) is true when _____.,4,4,0.935,duplicate
q1,The conditional proposition \(p \rightarrow q\) is false only when _____.,1,1,q1,The conditional statement \(p \rightarrow q\) is false when _____.,4,1,0.934,duplicate
q3,The biconditional proposition \(p \leftrightarrow q\) is true when _____.,2,3,q5,The biconditional statement \(p \leftrightarrow q\) is true when,3,5,0.931,duplicate
q4,"What is the converse of the statement ""If it rains, then the game is cancelled""?",3,4,q12,"The converse of ""If it rains, the game is cancelled"" is _____.",4,12,0.93,duplicate
q5,The biconditional statement \(p \leftrightarrow q\) is true when,3,5,q4,The biconditional \(p \leftrightarrow q\) is true when _____.,4,4,0.93,duplicate
q10,Fill in the blank: The inverse of \(p \rightarrow q\) is _____.,1,10,q5,The inverse of \(p \rightarrow q\) is _____.,4,5,0.929,duplicate
q4,"The converse of the statement “If it rains, then the game is cancelled” is _____.",2,4,q12,"The converse of ""If it rains, the game is cancelled"" is _____.",4,12,0.929,duplicate
q2,Which statement correctly represents the contrapositive of \(p \rightarrow q\)?,1,2,q2,The contrapositive of \(p \rightarrow q\) is _____.,4,2,0.922,duplicate
q1,The conditional proposition \(p \rightarrow q\) is false only when _____.,1,1,q1,The only way for a conditional statement \(p \rightarrow q\) to be false is when _____,3,1,0.921,duplicate
q2,The contrapositive of \(p \rightarrow q\) is _____.,4,2,q5,The inverse of \(p \rightarrow q\) is _____.,4,5,0.919,duplicate
q4,What is true about the biconditional statement \(p \leftrightarrow q\)?,1,4,q5,The biconditional statement \(p \leftrightarrow q\) is true when,3,5,0.911,duplicate
q4,What is true about the biconditional statement \(p \leftrightarrow q\)?,1,4,q4,The biconditional \(p \leftrightarrow q\) is true when _____.,4,4,0.907,duplicate
q2,Which expression is the contrapositive of \(p \rightarrow q\)?,2,2,q2,The contrapositive of \(p \rightarrow q\) is _____.,4,2,0.905,duplicate
q2,Which statement correctly represents the contrapositive of \(p \rightarrow q\)?,1,2,q2,Which expression is the contrapositive of \(p \rightarrow q\)?,2,2,0.904,duplicate
q8,"The statement ""You will mow Mr. Smith's lawn only if he pays you"" translates to which conditional expression?",3,8,q8,"Which is equivalent to ""You will mow Mr. Smith's lawn only if he pays you""?",4,8,0.904,duplicate
q4,"The converse of the statement “If it rains, then the game is cancelled” is _____.",2,4,q4,"What is the converse of the statement ""If it rains, then the game is cancelled""?",3,4,0.901,duplicate
q4,What is true about the biconditional statement \(p \leftrightarrow q\)?,1,4,q3,The biconditional proposition \(p \leftrightarrow q\) is true when _____.,2,3,0.9,duplicate
q10,Fill in the blank: The inverse of \(p \rightarrow q\) is _____.,1,10,q10,Which of the following is the inverse of \(p \rightarrow q\)?,3,10,0.9,duplicate
q1,The only way for \(p \rightarrow q\) to be false is when _____.,2,1,q1,The conditional statement \(p \rightarrow q\) is false when _____.,4,1,0.899,duplicate
q10,Fill in the blank: The inverse of \(p \rightarrow q\) is _____.,1,10,q8,What is the inverse of \(p \rightarrow q\)?,2,8,0.898,duplicate
q6,"If a conditional statement is ""You will mow the lawn only if he pays you,"" its symbolic form is _____.",2,6,q8,"The statement ""You will mow Mr. Smith's lawn only if he pays you"" translates to which conditional expression?",3,8,0.896,duplicate
q1,The conditional proposition \(p \rightarrow q\) is false only when _____.,1,1,q1,The only way for \(p \rightarrow q\) to be false is when _____.,2,1,0.895,duplicate
q6,Fill in the blank: The converse of \(p \rightarrow q\) is _____.,1,6,q5,The inverse of \(p \rightarrow q\) is _____.,4,5,0.888,duplicate
q3,"How is the statement ""You will mow Mr. Smith's lawn only if he pays you"" represented logically?",1,3,q8,"The statement ""You will mow Mr. Smith's lawn only if he pays you"" translates to which conditional expression?",3,8,0.887,duplicate
q11,What does the biconditional \(p \leftrightarrow q\) express in English?,1,11,q10,Which statement correctly expresses \(p \leftrightarrow q\) in English?,2,10,0.886,duplicate
q6,Fill in the blank: The converse of \(p \rightarrow q\) is _____.,1,6,q2,The contrapositive of \(p \rightarrow q\) is _____.,4,2,0.88,duplicate
q10,Which statement correctly expresses \(p \leftrightarrow q\) in English?,2,10,q10,How is the biconditional \(p \leftrightarrow q\) expressed in English?,4,10,0.872,duplicate
q3,"How is the statement ""You will mow Mr. Smith's lawn only if he pays you"" represented logically?",1,3,q8,"Which is equivalent to ""You will mow Mr. Smith's lawn only if he pays you""?",4,8,0.87,duplicate
q5,Which English expression is equivalent to \(p \rightarrow q\)?,1,5,q7,Which English expression means the same as \(p \rightarrow q\)?,2,7,0.868,duplicate
q10,Which of the following is the inverse of \(p \rightarrow q\)?,3,10,q2,The contrapositive of \(p \rightarrow q\) is _____.,4,2,0.865,duplicate
q5,Which English expression is equivalent to \(p \rightarrow q\)?,1,5,q3,Which English sentence correctly expresses \(p \rightarrow q\)?,4,3,0.864,duplicate
q5,Which English expression is equivalent to \(p \rightarrow q\)?,1,5,q10,Which statement correctly expresses \(p \leftrightarrow q\) in English?,2,10,0.863,duplicate
q6,"If a conditional statement is ""You will mow the lawn only if he pays you,"" its symbolic form is _____.",2,6,q8,"Which is equivalent to ""You will mow Mr. Smith's lawn only if he pays you""?",4,8,0.862,duplicate
q10,Which statement correctly expresses \(p \leftrightarrow q\) in English?,2,10,q3,Which English sentence correctly expresses \(p \rightarrow q\)?,4,3,0.861,duplicate
q10,Fill in the blank: The inverse of \(p \rightarrow q\) is _____.,1,10,q2,The contrapositive of \(p \rightarrow q\) is _____.,4,2,0.855,duplicate
q5,"In the conditional statement \(p \rightarrow q\), what is the role of \(p\)?",2,5,q7,"For the conditional \(p \rightarrow q\), the proposition \(p\) is called the _____.",4,7,0.85,similar
q1,The conditional statement \(p \rightarrow q\) is false when _____.,4,1,q4,The biconditional \(p \leftrightarrow q\) is true when _____.,4,4,0.849,similar
q2,Which statement correctly represents the contrapositive of \(p \rightarrow q\)?,1,2,q10,Which of the following is the inverse of \(p \rightarrow q\)?,3,10,0.847,similar
q1,The only way for \(p \rightarrow q\) to be false is when _____.,2,1,q9,The truth table for \(p \rightarrow q\) shows the statement is true when _____.,4,9,0.845,similar
q2,Which expression is the contrapositive of \(p \rightarrow q\)?,2,2,q10,Which of the following is the inverse of \(p \rightarrow q\)?,3,10,0.845,similar
q8,What is the inverse of \(p \rightarrow q\)?,2,8,q2,The contrapositive of \(p \rightarrow q\) is _____.,4,2,0.845,similar
q2,Which statement correctly represents the contrapositive of \(p \rightarrow q\)?,1,2,q5,The inverse of \(p \rightarrow q\) is _____.,4,5,0.844,similar
q6,Fill in the blank: The converse of \(p \rightarrow q\) is _____.,1,6,q10,Which of the following is the inverse of \(p \rightarrow q\)?,3,10,0.843,similar
q5,"In the conditional statement \(p \rightarrow q\), what is the role of \(p\)?",2,5,q2,"In the conditional proposition \(p \rightarrow q\), \(p\) is the _____ and \(q\) is the conclusion.",3,2,0.84,similar
q9,The conditional \(p \rightarrow q\) is true if the hypothesis is _____.,2,9,q1,The conditional statement \(p \rightarrow q\) is false when _____.,4,1,0.84,similar
q2,Which expression is the contrapositive of \(p \rightarrow q\)?,2,2,q8,What is the inverse of \(p \rightarrow q\)?,2,8,0.839,similar
q5,Which English expression is equivalent to \(p \rightarrow q\)?,1,5,q11,What does the biconditional \(p \leftrightarrow q\) express in English?,1,11,0.836,similar
q2,Which expression is the contrapositive of \(p \rightarrow q\)?,2,2,q5,The inverse of \(p \rightarrow q\) is _____.,4,5,0.836,similar
q1,The only way for a conditional statement \(p \rightarrow q\) to be false is when _____,3,1,q9,The truth table for \(p \rightarrow q\) shows the statement is true when _____.,4,9,0.836,similar
q1,The only way for a conditional statement \(p \rightarrow q\) to be false is when _____,3,1,q4,The biconditional \(p \leftrightarrow q\) is true when _____.,4,4,0.834,similar
q6,Fill in the blank: The converse of \(p \rightarrow q\) is _____.,1,6,q2,Which expression is the contrapositive of \(p \rightarrow q\)?,2,2,0.831,similar
q3,"How is the statement ""You will mow Mr. Smith's lawn only if he pays you"" represented logically?",1,3,q6,"If a conditional statement is ""You will mow the lawn only if he pays you,"" its symbolic form is _____.",2,6,0.83,similar
q2,Which statement correctly represents the contrapositive of \(p \rightarrow q\)?,1,2,q6,Fill in the blank: The converse of \(p \rightarrow q\) is _____.,1,6,0.829,similar
q6,Fill in the blank: The converse of \(p \rightarrow q\) is _____.,1,6,q8,What is the inverse of \(p \rightarrow q\)?,2,8,0.829,similar
q6,Which English sentence correctly expresses the biconditional \(p \leftrightarrow q\)?,3,6,q3,Which English sentence correctly expresses \(p \rightarrow q\)?,4,3,0.827,similar
q1,The conditional proposition \(p \rightarrow q\) is false only when _____.,1,1,q4,The biconditional \(p \leftrightarrow q\) is true when _____.,4,4,0.826,similar
q11,What does the biconditional \(p \leftrightarrow q\) express in English?,1,11,q6,Which English sentence correctly expresses the biconditional \(p \leftrightarrow q\)?,3,6,0.825,similar
q1,The conditional proposition \(p \rightarrow q\) is false only when _____.,1,1,q9,The conditional \(p \rightarrow q\) is true if the hypothesis is _____.,2,9,0.824,similar
q5,Which English expression is equivalent to \(p \rightarrow q\)?,1,5,q10,How is the biconditional \(p \leftrightarrow q\) expressed in English?,4,10,0.823,similar
q1,The only way for \(p \rightarrow q\) to be false is when _____.,2,1,q4,The biconditional \(p \leftrightarrow q\) is true when _____.,4,4,0.82,similar
q1,The conditional statement \(p \rightarrow q\) is false when _____.,4,1,q9,The truth table for \(p \rightarrow q\) shows the statement is true when _____.,4,9,0.82,similar
