text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does an assignment statement do in a program?,Assigns a value to a variable,Compares two variables for equality,Assigns a value to a variable,Declares a variable without a value,Prints the value of a variable,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which is a valid assignment statement?,x = y + 2,5 = x + 2,x + y = 10,x = y + 2,x = y = 5,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"After executing x = 4 and then x = x + 3, what is the value of x?",7,4,3,7,0,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If y = 10 and x = y, what happens to x if y later changes to 5?",x remains 10,x changes to 5,x remains 10,x becomes undefined,x doubles to 20,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In programming, what does the statement x = 5 do?",Assigns x with 5,Checks if x equals 5,Assigns x with 5,Adds 5 to x,Compares x and 5 for equality,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"After executing y = x + 2 with x = 4, what is y's value?",6,2,4,6,Undefined,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which is a valid assignment statement in programming?,x = y + 1,3 = x + 1,x + y = 7,x = y + 1,x + 1 = 5,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If x = 5 and then x = x + 3, what is x's final value?",8,5,3,8,15,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does an assignment statement do in programming?,Assigns a value to a variable,Compares two variables,Assigns a value to a variable,Checks if two values are equal,Deletes a variable's value,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Given x = 4 and y = x + 3, what is the value of y?",7,3,7,4,1,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In x = x + 1, what happens to x?",x is incremented by 1,x doubles,x is incremented by 1,x resets to 0,x remains unchanged,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which is a valid assignment statement?,x = y + 2,5 = x,x + y = 10,x = y + 2,3 + x = y,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does an assignment statement do in programming?,Assigns a value to a variable,Compares two variables for equality,Assigns a value to a variable,Declares a new variable type,Creates a loop structure,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"After executing x = 5 and then y = x + 3, what is y's value?",8,3,5,8,Undefined,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In the statement x = x + 1, what happens to x?",x is incremented by 1,x's value is doubled,x is incremented by 1,x is assigned the value 1,x's value is unchanged,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which of the following is a valid assignment statement?,x = y + 2,5 = x + 1,x + y = 7,x = y + 2,x == 5,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
