text,answer,a,b,c,d,e,f,g,h,hint,feedback
What does the equality operator == do in an if statement?,Compares if two values are equal,Assigns a value to a variable,Compares if two values are equal,Checks if two values are not equal,Executes the else branch automatically,,,,,,
What is the purpose of the else branch in an if-else statement?,Runs code when the if condition is false,Runs code when the if condition is true,Runs code when the if condition is false,Checks if two values are equal,Compares multiple conditions in sequence,,,,,,
"In a multi-branch if-else statement, how many branches can execute?",Only the first branch that evaluates to True,All branches that evaluate to True,Only the first branch that evaluates to True,The last branch only,None unless all conditions are True,,,,,,
The inequality operator != evaluates to True when two values are _____.,Not equal,Equal,Not equal,Both zero,Both non-zero,,,,,,
What does the equality operator (==) check in an if statement?,Whether two values are equal,Whether two values are not equal,Whether two values are equal,Whether a value is greater than another,Whether a value is less than another,,,,,,
What happens when an if statement's condition evaluates to False?,The program skips the branch statements,The indented branch statements execute,The program skips the branch statements,The program crashes,The else branch always executes,,,,,,
"In an if-else statement, when does the else branch execute?",When the if condition is False,When the if condition is True,When the if condition is False,When the if condition is not written,When the condition uses the inequality operator,,,,,,
What keyword is used to add additional conditions after an if statement?,elif,else,elseif,elif,then,,,,,,
What does the equality operator (==) check in an if statement?,If two values are equal,If two values are not equal,If two values are equal,If a value is true,If a value is false,,,,,,
What happens when an if statement’s expression evaluates to False?,The statements inside the if branch are skipped,The statements inside the if branch execute,The program terminates immediately,The statements inside the if branch are skipped,The program repeats the if statement,,,,,,
"In an if-else statement, which branch executes if the condition is False?",The else branch,The if branch,The else branch,Both if and else branches,Neither branch,,,,,,
What keyword introduces an additional branch between if and else?,elif,else if,elif,elseif,else: if,,,,,,
What does the equality operator (==) check in an if statement?,If the left and right values are equal,If the left value is assigned to the right value,If the left and right values are not equal,If the left and right values are equal,If the left value is greater than the right value,,,,,,
"In an if-else statement, what happens if the condition is false?",The else branch executes,The first branch executes,The else branch executes,The program stops running,Both branches execute,,,,,,
What keyword allows checking multiple conditions in sequence in Python?,elif,else,elif,loop,switch,,,,,,
What Boolean value results from the expression: 5 != 5?,False,True,False,5,None,,,,,,
