=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,1,16
1,3,0,1,16
1,4,0,0,16
2,3,1,1,16
2,4,1,0,16
3,4,1,0,16

Summary
Total Comparisons,120
Duplicates (≥85%),3
Similar (70-85%),3

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,Why is Python popular for data science?,2,1,q1,Why is Python popular for data science?,4,1,0.932,duplicate
q1,Why is Python popular for data science?,2,1,q1,Why is Python popular for data science?,3,1,0.919,duplicate
q1,Why is Python popular for data science?,3,1,q1,Why is Python popular for data science?,4,1,0.913,duplicate
q2,Why is Python 3.0 not backward compatible with Python 2.7?,1,2,q2,Python 3.0 is not backward compatible with Python 2.7 because _____.,3,2,0.84,similar
q4,"In a Jupyter notebook, a small segment of code or output is called a _____.",2,4,q4,"In Jupyter notebooks, small segments of code or output are called _____.",3,4,0.831,similar
q4,"In Jupyter notebooks, what is a cell?",1,4,q4,"In a Jupyter notebook, a small segment of code or output is called a _____.",2,4,0.727,similar
q4,"In Jupyter notebooks, what is a cell?",1,4,q4,"In Jupyter notebooks, small segments of code or output are called _____.",3,4,0.69,low
q1,What does the equal sign (=) do in Python programming?,1,1,q3,"In Python, a variable is created by using _____.",3,3,0.673,low
q2,A variable in Python is best defined as _____.,2,2,q2,"In Python, an expression is a line of code that _____.",4,2,0.673,low
q2,A variable in Python is best defined as _____.,2,2,q3,What is a parameter in a Python function?,4,3,0.622,low
q4,"In Jupyter notebooks, what is a cell?",1,4,q4,"In Jupyter notebooks, what does the Run button do?",4,4,0.604,low
q3,What is the main advantage of using functions in Python for data science?,1,3,q1,Why is Python popular for data science?,3,1,0.587,low
