=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,2
2,10,0,0
3,10,0,0
4,10,0,2

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,6,100
1,3,1,3,100
1,4,2,5,100
2,3,1,5,100
2,4,2,3,100
3,4,1,4,100

Summary
Total Comparisons,780
Duplicates (≥85%),7
Similar (70-85%),30

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What does an assignment statement do in programming?,1,1,q1,What does an assignment statement do in programming?,4,1,0.934,duplicate
q9,How does programming assignment differ from algebraic equality?,2,9,q6,How does programming assignment differ from algebraic equality?,4,6,0.919,duplicate
q5,"After `x = 5; y = x + 2; x = 3`, what is the value of y?",1,5,q4,"After executing x = 5; y = x; x = 3;, what is the value of y?",3,4,0.898,duplicate
q10,Which of these is an invalid assignment statement?,2,10,q5,Which assignment is invalid in programming?,4,5,0.894,duplicate
q8,How does assignment differ from equality in algebra?,3,8,q6,How does programming assignment differ from algebraic equality?,4,6,0.885,duplicate
q2,"In the assignment `x = x + 1`, what happens to the variable x?",1,2,q2,"In the assignment x = x + 1, what happens to x?",4,2,0.884,duplicate
q9,How does programming assignment differ from algebraic equality?,2,9,q8,How does assignment differ from equality in algebra?,3,8,0.877,duplicate
q2,"In the assignment `x = x + 1`, what happens to the variable x?",1,2,q2,"In the assignment x = x + 1, what happens during execution?",3,2,0.84,similar
q3,After executing x = 2; y = x + 3; what is y's value?,2,3,q4,"After executing x = 5; y = x; x = 3;, what is the value of y?",3,4,0.824,similar
q10,Fill in the blank: Incrementing a variable by 1 is done by the assignment y = _____.,3,10,q10,Complete the increment operation: y = _____,4,10,0.824,similar
q2,"In the assignment x = x + 1, what happens during execution?",3,2,q2,"In the assignment x = x + 1, what happens to x?",4,2,0.822,similar
q4,Why is the assignment x = x + 1 valid in programming?,2,4,q2,"In the assignment x = x + 1, what happens during execution?",3,2,0.815,similar
q5,"After `x = 5; y = x + 2; x = 3`, what is the value of y?",1,5,q3,After executing x = 2; y = x + 3; what is y's value?,2,3,0.807,similar
q3,Which is a valid left side in an assignment statement?,1,3,q3,Which of the following is a valid assignment statement in programming?,3,3,0.797,similar
q10,Which of these is an invalid assignment statement?,2,10,q3,Which of the following is a valid assignment statement in programming?,3,3,0.785,similar
q4,How is the programming assignment `x = 5` different from the algebra equation `x = 5`?,1,4,q9,How does programming assignment differ from algebraic equality?,2,9,0.783,similar
q4,What is the value of y after these assignments? x = 7 y = x + 3 x = 5,4,4,q9,"After these assignments, what is the value of z? x = 2 y = 5 z = x + y x = 7",4,9,0.778,similar
q3,Which of the following is a valid assignment statement in programming?,3,3,q5,Which assignment is invalid in programming?,4,5,0.77,similar
q10,"After these assignments: `x = 7; y = x; x = 10`, what is the value of y?",1,10,q4,What is the value of y after these assignments? x = 7 y = x + 3 x = 5,4,4,0.768,similar
q5,"After `x = 5; y = x + 2; x = 3`, what is the value of y?",1,5,q4,What is the value of y after these assignments? x = 7 y = x + 3 x = 5,4,4,0.767,similar
