text,answer,a,b,c,d,e,f,g,h,hint,feedback
Select the statement that is\n<i>not</i>\na proposition.,Take out the trash.,$5 + 4 = 88$,It will be sunny tomorrow.,Take out the trash.,Chocolate is the best flavor.,,,,,,
"\n$p = \text{T}$\n,\n$q = \text{F}$\n, and\n$r = \text{F}$\n.\nSelect the expression that evaluates to\n<i>true</i>\n.",$p \vee r$,$p \wedge q$,$\neg p$,$q\vee r$,$p \vee r$,,,,,,
"$p = \text{F}$\n,\n$q = \text{T}$\n, and\n$r = \text{T}$\n.\nSelect the expression that evaluates to\n<i>false</i>\n.",$\neg q$,$\neg q$,$q \vee r$,$q \wedge r$,$p\vee r$,,,,,,
"\nThe propositional variables\n$s$\nand\n$m$\nrepresent the two propositions:\n$s{:}$\nIt is sunny today.\n$m{:}$\nI will bring my umbrella.\nSelect the logical expression that represents the statement: ""Despite the fact that it is sunny today, I will bring my umbrella.""",$s \wedge m$,$s$,$s \wedge m$,$s \vee m$,$\neg m$,,,,,,
Select the statement that is\n<i>not</i>\na proposition.,Is it your birthday today?,The stock market will crash next month.,January has\n$30$\ndays.,$5 \times 4 = 25$,Is it your birthday today?,,,,,,
"$p = \text{T}$\n,\n$q = \text{T}$\n, and\n$r = \text{F}$\n.\nSelect the expression that evaluates to\n<i>false</i>\n.",$q \wedge r$,$\neg r$,$p \vee r$,$q \wedge r$,$p\vee q$,,,,,,
"$p = \text{T}$\n,\n$q = \text{F}$\n, and\n$r = \text{F}$\n.\nSelect the expression that evaluates to\n<i>true</i>\n.",$\neg q$,$\neg q$,$r \vee q$,$q \wedge p$,$p \wedge r$,,,,,,
"$p = \text{T}$\n,\n$q = \text{T}$\n.\nSelect the correct truth value for the propositions\n$p \vee q$\nand\n$p \oplus q$\n.","$p \vee q{:}$\ntrue and,\n$p \oplus q{:}$\nfalse","$p \vee q{:}$\ntrue, and\n$p \oplus q{:}$\ntrue","$p \vee q{:}$\ntrue and,\n$p \oplus q{:}$\nfalse","$p \vee q{:}$\nfalse, and\n$p \oplus q{:}$\ntrue","$p \vee q{:}$\nfalse, and\n$p \oplus q{:}$\nfalse",,,,,,
\nUnder what conditions do the expressions\n$p \wedge q$\nand\n$\neg p$\nhave the same truth value?,"$p = \text{T}$\n, and\n$q = \text{F}$",$p = q = \text{F}$,"$p = \text{F}$\n, and\n$q = \text{T}$","$p = \text{T}$\n, and\n$q = \text{F}$",$p = q = \text{T}$,,,,,,
\nPropositions\n$1$\nand\n$2$\nare defined as follows:\nProposition\n$1{:}~\neg(12 - 3 = 9)$\nProposition\n$2{:}~(12 - 3 = 9) \wedge (5 + 2 = 7)$\nSelect the correct truth value for the two propositions.,Proposition\n$1{:}$\nfalse. Proposition\n$2{:}$\ntrue.,Proposition\n$1{:}$\nfalse. Proposition\n$2{:}$\nfalse.,Proposition\n$1{:}$\ntrue. Proposition\n$2{:}$\nfalse.,Proposition\n$1{:}$\nfalse. Proposition\n$2{:}$\ntrue.,Proposition\n$1{:}$\ntrue. Proposition\n$2{:}$\ntrue.,,,,,,
