=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,5,0,1
2,5,0,0
3,5,0,0
4,5,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,2,25
1,3,1,0,25
1,4,1,3,25
2,3,1,2,25
2,4,1,2,25
3,4,1,2,25

Summary
Total Comparisons,190
Duplicates (≥85%),7
Similar (70-85%),13

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,"Which container type in Python is ordered, indexed, and mutable?",2,2,q1,"Which container type is ordered, indexed, and mutable in Python?",4,1,0.955,duplicate
q1,"Which container type in Python is ordered, indexed, and immutable?",3,1,q1,"Which container type is ordered, indexed, and mutable in Python?",4,1,0.926,duplicate
q2,"Which container type in Python is ordered, indexed, and mutable?",2,2,q1,"Which container type in Python is ordered, indexed, and immutable?",3,1,0.919,duplicate
q2,Which container type in Python is unordered and unindexed?,1,2,q2,"Which container type in Python is ordered, indexed, and mutable?",2,2,0.904,duplicate
q1,Why are tuples used instead of lists in Python?,1,1,q1,Why is a tuple used instead of a list in Python?,2,1,0.87,duplicate
q2,Which container type in Python is unordered and unindexed?,1,2,q1,"Which container type is ordered, indexed, and mutable in Python?",4,1,0.87,duplicate
q2,Which container type in Python is unordered and unindexed?,1,2,q1,"Which container type in Python is ordered, indexed, and immutable?",3,1,0.869,duplicate
q1,"Which container type in Python is ordered, indexed, and immutable?",3,1,q3,Which container type allows elements to be accessed using keys instead of integer indices?,4,3,0.793,similar
q1,"Which container type is ordered, indexed, and mutable in Python?",4,1,q3,Which container type allows elements to be accessed using keys instead of integer indices?,4,3,0.783,similar
q2,Which container type in Python is unordered and unindexed?,1,2,q3,Which container type allows elements to be accessed using keys instead of integer indices?,4,3,0.776,similar
q2,"Which container type in Python is ordered, indexed, and mutable?",2,2,q3,Which container type allows elements to be accessed using keys instead of integer indices?,4,3,0.776,similar
q4,Which container type allows changing individual elements after creation?,1,4,q2,"Which container type in Python is ordered, indexed, and mutable?",2,2,0.755,similar
q5,Fill in the blank: A Python container that is _____ and _____ allows changing elements and maintains order.,2,5,q5,"A Python list is _____, meaning elements can be changed after creation.",3,5,0.734,similar
q1,Why is a tuple used instead of a list in Python?,2,1,q2,A tuple differs from a list because it is _____.,4,2,0.718,similar
q4,Which container type allows changing individual elements after creation?,1,4,q3,Which container type allows elements to be accessed using keys instead of integer indices?,4,3,0.717,similar
q5,"A Python list is _____, meaning elements can be changed after creation.",3,5,q2,A tuple differs from a list because it is _____.,4,2,0.716,similar
q4,Which container type allows changing individual elements after creation?,1,4,q1,"Which container type is ordered, indexed, and mutable in Python?",4,1,0.711,similar
q5,Fill in the blank: A Python container that is _____ and _____ allows changing elements and maintains order.,2,5,q1,"Which container type in Python is ordered, indexed, and immutable?",3,1,0.704,similar
q3,How does a dictionary access its elements?,1,3,q4,"In a Python dictionary, what is used to access a value?",2,4,0.703,similar
q2,Which container type in Python is unordered and unindexed?,1,2,q4,Which container type allows changing individual elements after creation?,1,4,0.701,similar
q5,Fill in the blank: A Python container that is _____ and _____ allows changing elements and maintains order.,2,5,q1,"Which container type is ordered, indexed, and mutable in Python?",4,1,0.688,low
q2,"Which container type in Python is ordered, indexed, and mutable?",2,2,q5,Fill in the blank: A Python container that is _____ and _____ allows changing elements and maintains order.,2,5,0.675,low
