text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
A sequence is called _____ if each term is less than the next term.,increasing,nondecreasing,decreasing,increasing,nonincreasing,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which condition makes a geometric sequence increasing when the initial term \(a > 0\)?,Common ratio \(r > 1\),Common ratio \(r < 0\),Common ratio \(0 < r < 1\),Common ratio \(r > 1\),Common ratio \(r = 1\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How is the next term in an arithmetic sequence calculated from the previous term?,Add common difference,Multiply by common ratio,Add common difference,Divide by common ratio,Subtract common ratio,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Fill in the blank: The final term in a finite sequence with initial index \(m\) and length \(n\) has index _____.,\(m+n-1\),\(m+n\),\(n-m\),\(m+n-1\),\(n\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"A sequence is nonincreasing if for every consecutive terms \(a_k\) and \(a_{k+1}\), the relationship is:",\(a_k \ge a_{k+1}\),\(a_k < a_{k+1}\),\(a_k \le a_{k+1}\),\(a_k \ge a_{k+1}\),\(a_k > a_{k+1}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the explicit formula for the \(k\)th term of a geometric sequence with initial term \(a\) and common ratio \(r\)?,\(a_k = a \cdot r^k\),\(a_k = a + r^k\),\(a_k = a \cdot r^k\),\(a_k = a \cdot k + r\),\(a_k = a + k \cdot r\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which of the following sequences is both nondecreasing and nonincreasing?,"\(3, 3, 3, 3\)","\(1, 2, 3, 4\)","\(3, 3, 3, 3\)","\(4, 3, 2, 1\)","\(1, 2, 2, 3\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"For an arithmetic sequence starting at 5 with common difference \(-3\), what is the 4th term?",\(-4\),\(-4\),\(-1\),\(-4\),\(5\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass
A sequence is called _____ if its domain is a set of consecutive integers.,sequence,infinite,function,sequence,series,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass
What term describes a sequence where each term is found by multiplying the previous term by a fixed number?,geometric sequence,arithmetic sequence,geometric sequence,increasing sequence,finite sequence,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A sequence where each term is greater than or equal to the previous term is called _____.,nondecreasing,increasing,nondecreasing,decreasing,nonincreasing,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If a sequence has initial term \(a_0 = 3\) and common difference \(d = -2\), what is \(a_2\)?",-1,1,-1,-3,5,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
