text,answer,a,b,c,d,e,f,g,h,hint,feedback
A compound proposition that is true for every truth assignment is called a/an _____.,tautology,contradiction,tautology,contingency,hypothesis,,,,,,
Which truth table row proves that \((p \land q) \rightarrow r\) is not a tautology?,"\(p = T, q = T, r = F\)","\(p = F, q = F, r = T\)","\(p = T, q = T, r = F\)","\(p = T, q = F, r = T\)","\(p = F, q = T, r = F\)",,,,,,
Two compound propositions are logically equivalent if:,Their biconditional is a tautology,They are both tautologies,Their biconditional is a tautology,They have opposite truth values for all assignments,They have no variables in common,,,,,,
Which is an example of De Morgan’s first law?,\(\neg (p \lor q) \equiv \neg p \land \neg q\),\(\neg (p \land q) \equiv \neg p \land \neg q\),\(\neg (p \lor q) \equiv \neg p \lor \neg q\),\(\neg (p \lor q) \equiv \neg p \land \neg q\),\(\neg (p \land q) \equiv p \lor q\),,,,,,
Which truth assignment makes \(\neg (p \lor q)\) true?,"\(p = F, q = F\)","\(p = T, q = F\)","\(p = F, q = F\)","\(p = T, q = T\)","\(p = F, q = T\)",,,,,,
"When \(\neg (p \land q)\) is false, what is the truth value of \(p\) and \(q\)?",Both true,Both false,"One true, one false",Both true,Cannot determine,,,,,,
"Which English sentence is logically equivalent to: ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",The child is less than 8 years old or shorter than 57 inches,The child is at least 8 years old and at least 57 inches tall,The child is less than 8 years old or shorter than 57 inches,The child is less than 8 years old and shorter than 57 inches,The child is at least 8 years old or at least 57 inches tall,,,,,,
Which compound proposition is a contradiction?,\(p \land \neg p\),\(p \lor \neg p\),\(p \land \neg p\),\(\neg p \lor q\),\(p \rightarrow q\),,,,,,
"To show two propositions are not logically equivalent, one must find a truth assignment where:",The propositions have different truth values,Both propositions are true,Both propositions are false,The propositions have different truth values,The propositions have the same truth value,,,,,,
The proposition \(p \to \neg p\) is:,Neither a tautology nor contradiction,A tautology,A contradiction,Neither a tautology nor contradiction,A biconditional,,,,,,
What happens to the logical operator when negation is distributed inside \(\neg (p \lor q)\) using De Morgan's law?,It changes to \(\land\),It remains \(\lor\),It changes to \(\land\),It changes to \(\to\),It changes to \(\leftrightarrow\),,,,,,
A compound proposition that is always true regardless of variable values is called a/an _____.,tautology,contradiction,tautology,contingency,equivalence,,,,,,
The proposition \(p \land \neg p\) is an example of a/an _____.,contradiction,tautology,logically equivalent proposition,contradiction,contingency,,,,,,
"To show two compound propositions are logically equivalent, one must prove _____.",their biconditional is a tautology,they have the same syntax,their biconditional is a tautology,they have different truth values for some assignment,both are contradictions,,,,,,
Which truth assignment shows \((p \land q) \rightarrow r\) is not a tautology?,"\(p = q = T, r = F\)","\(p = q = F, r = T\)","\(p = q = T, r = F\)","\(p = F, q = T, r = T\)","\(p = T, q = F, r = T\)",,,,,,
"Using De Morgan's laws, \(\neg (p \lor q)\) is logically equivalent to _____.",\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(p \land q\),\(\neg (p \land q)\),,,,,,
The expression \(\neg (p \land q)\) is logically equivalent to _____.,\(\neg p \lor \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(p \lor q\),\(p \land q\),,,,,,
Which truth assignment makes \(\neg (p \lor q)\) true?,"\(p = F, q = F\)","\(p = T, q = T\)","\(p = F, q = F\)","\(p = T, q = F\)","\(p = F, q = T\)",,,,,,
"If two compound propositions differ in truth value for at least one assignment, they are _____.",not logically equivalent,tautologies,contradictions,not logically equivalent,logically equivalent,,,,,,
The compound proposition \((p \land q) \rightarrow p\) is a/an _____.,tautology,contradiction,contingency,tautology,logically equivalent to \(p \land q\),,,,,,
"Which English sentence is logically equivalent to ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",The child is less than 8 years old or shorter than 57 inches,The child is at least 8 years old and at least 57 inches tall,The child is less than 8 years old or shorter than 57 inches,The child is less than 8 years old and shorter than 57 inches,The child is at least 8 years old or at least 57 inches tall,,,,,,
"To prove two propositions are not logically equivalent, it suffices to show _____.",a truth assignment where they differ in truth value,they have the same truth values for all assignments,a truth assignment where they differ in truth value,one is a tautology and the other is not,both are contradictions,,,,,,
