text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does the function header in Python always include?,"The function name, parameters, and a colon",The return value and function name,"The function name, parameters, and a colon",The function body and parameters,Only the function name,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the scope of a local variable in Python?,From its assignment inside a function to the end of that function,From the start of the program to the end,From its assignment inside a function to the end of that function,From the function definition to the end of the file,From the first function call to the end of the program,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens when a mutable object is passed as an argument to a function?,"The function can change the object, affecting it outside the function",The function cannot change the object,"The function can change the object, affecting it outside the function",The function receives a copy and changes do not persist,The function creates a new immutable object,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In Python, what is a keyword argument?","An argument preceded by the parameter name, matched by name",An argument matched to a parameter by its position in the call,An argument passed as a variable name instead of a value,"An argument preceded by the parameter name, matched by name",An argument that must always be the first in the call,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What type of object is a Python function considered?,"An object with a value, type ""function"", and unique identifier",A special data type only used in function calls,"An object with a value, type ""function"", and unique identifier",A variable that can store only numbers,A constant that cannot be reassigned,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What part of a function contains the parameters and ends with a colon?,Function header,Function body,Return statement,Function header,Function call,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In Python, a variable defined inside a function is called a/an _____ variable.",local,global,static,local,constant,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens when a mutable object is passed as an argument to a function?,"The function can change the object, affecting the argument outside.",The object cannot be changed inside the function.,"The function can change the object, affecting the argument outside.",The function makes a copy of the object and changes only the copy.,The function raises an error.,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How are keyword arguments matched to function parameters in Python?,By the names of the parameters specified before the argument values,By the position of arguments only,By the names of the parameters specified before the argument values,By the order of the default parameters,By the return type of the function,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the scope of a global variable in a Python program?,From its definition until the end of the file,Only inside the function where defined,From its definition until the end of the file,Only within the block where it is assigned,Only within loops or conditional statements,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
