=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,2,16
1,3,2,2,16
1,4,2,1,16
2,3,2,1,16
2,4,3,0,16
3,4,2,2,16

Summary
Total Comparisons,120
Duplicates (≥85%),12
Similar (70-85%),8

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,How does ETL differ from data wrangling in typical usage?,1,3,q3,How does ETL differ from data wrangling in typical usage?,3,3,0.968,duplicate
q3,How does ETL differ from data wrangling in typical usage?,3,3,q3,How does ETL differ from data wrangling?,4,3,0.955,duplicate
q3,How does ETL differ from data wrangling?,2,3,q3,How does ETL differ from data wrangling in typical usage?,3,3,0.952,duplicate
q3,How does ETL differ from data wrangling in typical usage?,1,3,q3,How does ETL differ from data wrangling?,4,3,0.95,duplicate
q3,How does ETL differ from data wrangling?,2,3,q3,How does ETL differ from data wrangling?,4,3,0.942,duplicate
q2,Which step in data wrangling standardizes formats and units?,2,2,q2,Which data wrangling step standardizes feature formats and units?,3,2,0.94,duplicate
q3,How does ETL differ from data wrangling in typical usage?,1,3,q3,How does ETL differ from data wrangling?,2,3,0.939,duplicate
q4,"In pandas, which method imports data from a CSV file?",1,4,q4,"In pandas, which method loads data from a CSV file into a dataframe?",3,4,0.914,duplicate
q2,Which data wrangling step standardizes feature formats and units?,3,2,q2,Which step in data wrangling standardizes feature formats and units?,4,2,0.911,duplicate
q2,Which step in data wrangling standardizes formats and units?,2,2,q2,Which step in data wrangling standardizes feature formats and units?,4,2,0.902,duplicate
q1,Data wrangling primarily exists to _____.,2,1,q1,Data wrangling primarily exists to _____.,4,1,0.875,duplicate
q4,"In pandas, which method imports data from a CSV file?",1,4,q4,"In pandas, which method imports data from a CSV file into a dataframe?",4,4,0.863,duplicate
q1,Data wrangling is primarily performed to _____.,1,1,q1,Data wrangling primarily exists to _____.,4,1,0.816,similar
q1,Data wrangling is primarily performed to _____.,1,1,q1,Data wrangling primarily exists to _____.,2,1,0.806,similar
q4,"In pandas, which method loads data from a CSV file into a dataframe?",3,4,q4,"In pandas, which method imports data from a CSV file into a dataframe?",4,4,0.804,similar
q2,Which data wrangling step involves removing or replacing missing values?,1,2,q2,Which step in data wrangling standardizes formats and units?,2,2,0.775,similar
q2,Which data wrangling step involves removing or replacing missing values?,1,2,q2,Which data wrangling step standardizes feature formats and units?,3,2,0.773,similar
q1,What is the primary purpose of data wrangling?,3,1,q1,Data wrangling primarily exists to _____.,4,1,0.748,similar
q1,Data wrangling primarily exists to _____.,2,1,q1,What is the primary purpose of data wrangling?,3,1,0.74,similar
q1,Data wrangling is primarily performed to _____.,1,1,q1,What is the primary purpose of data wrangling?,3,1,0.732,similar
q2,Which data wrangling step involves removing or replacing missing values?,1,2,q2,Which step in data wrangling standardizes feature formats and units?,4,2,0.691,low
q1,Data wrangling primarily exists to _____.,4,1,q3,How does ETL differ from data wrangling?,4,3,0.643,low
