=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,9,1,4
2,9,0,3
3,9,0,3
4,9,0,4

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,3,10,81
1,3,2,10,81
1,4,2,10,81
2,3,3,7,81
2,4,2,7,81
3,4,3,7,81

Summary
Total Comparisons,630
Duplicates (≥85%),16
Similar (70-85%),65

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q2,The union \(A \cup B\) includes _____.,2,2,0.965,duplicate
q2,The union \(A \cup B\) includes _____.,2,2,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.961,duplicate
q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.957,duplicate
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.953,duplicate
q3,"If \(A\) is all multiples of 2, and \(B\) all multiples of 3, \(A \cap B\) is the set of multiples of _____.",2,3,q3,"If \(A\) = multiples of 2 and \(B\) = multiples of 3, then \(A \cap B\) is multiples of _____.",3,3,0.952,duplicate
q2,The union \(A \cup B\) includes _____.,2,2,q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,0.929,duplicate
q1,The set \(A \cap B\) contains elements that are in _____.,2,1,q1,The intersection \(A \cap B\) contains elements that are in _____ sets.,4,1,0.923,duplicate
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,0.914,duplicate
q1,The intersection \(A \cap B\) consists of elements that are in _____.,3,1,q1,The intersection \(A \cap B\) contains elements that are in _____ sets.,4,1,0.901,duplicate
q4,The expression \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because _____.,3,4,q5,The set \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because:,4,5,0.897,duplicate
q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____.,2,6,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____ of the sets \(A_i\).,3,6,0.883,duplicate
q1,The intersection \(A \cap B\) contains elements that are _____.,1,1,q1,The intersection \(A \cap B\) contains elements that are in _____ sets.,4,1,0.878,duplicate
q2,"If \(A = \{2,4,6\}\) and \(B = \{3,6,9\}\), then \(A \cap B = \{ \; \; \; \; \; \}\).",1,2,q7,"If \(A = \{1,2,3\}\), \(B = \{3,4,5\}\), and \(C = \{2,3,6\}\), what is \(A \cup (B \cap C)\)?",1,7,0.861,duplicate
q1,The intersection \(A \cap B\) contains elements that are _____.,1,1,q1,The intersection \(A \cap B\) consists of elements that are in _____.,3,1,0.859,duplicate
q7,"If \(A = \{1,2,3\}\), \(B = \{3,4,5\}\), and \(C = \{2,3,6\}\), what is \(A \cup (B \cap C)\)?",1,7,q7,"Consider sets \(A = \{1,2,4\}\), \(B = \{2,4,7\}\), and \(C = \{2,3,5\}\). The set \(A \cup (B \cap C)\) contains which element(s)?",2,7,0.853,duplicate
q4,"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",1,4,q2,The union \(A \cup B\) includes _____.,2,2,0.851,duplicate
q1,The set \(A \cap B\) contains elements that are in _____.,2,1,q1,The intersection \(A \cap B\) consists of elements that are in _____.,3,1,0.848,similar
q1,The intersection \(A \cap B\) contains elements that are _____.,1,1,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.833,similar
q1,The set \(A \cap B\) contains elements that are in _____.,2,1,q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,0.833,similar
q1,The intersection \(A \cap B\) contains elements that are _____.,1,1,q3,The union \(A \cup B\) includes elements that are _____.,1,3,0.83,similar
q1,The intersection \(A \cap B\) contains elements that are _____.,1,1,q1,The set \(A \cap B\) contains elements that are in _____.,2,1,0.829,similar
q4,"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",1,4,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.829,similar
q1,The intersection \(A \cap B\) consists of elements that are in _____.,3,1,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.829,similar
q5,The expression \(\bigcap_{i=1}^n A_i\) means the set of elements that are in _____.,2,5,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____.,2,6,0.825,similar
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q4,"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",1,4,0.82,similar
q5,The set \( \bigcap_{i=1}^n A_i \) denotes the intersection of _____.,1,5,q5,The expression \(\bigcap_{i=1}^n A_i\) means the set of elements that are in _____.,2,5,0.818,similar
q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,q1,The intersection \(A \cap B\) contains elements that are in _____ sets.,4,1,0.818,similar
q8,The associative law for union states that \(A \cup B \cup C\) means:,1,8,q4,The associative law for union means \(A \cup (B \cup C)\) equals _____.,2,4,0.816,similar
q5,The expression \(\bigcap_{i=1}^n A_i\) means the set of elements that are in _____.,2,5,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____ of the sets \(A_i\).,3,6,0.814,similar
q7,"The set \(C \cup D\), where \(C\) is evens and \(D\) is odds, equals _____.",3,7,q7,The union of the set of even integers \(C\) and odd integers \(D\) equals:,4,7,0.814,similar
q5,"The notation \(\bigcap_{i=1}^n A_i\) means the _____ of sets \(A_1, A_2, \ldots, A_n\).",3,5,q4,"Which notation represents the union of a sequence of sets \(A_1, A_2, \ldots, A_n\)?",4,4,0.812,similar
q4,"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",1,4,q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,0.81,similar
q4,"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",1,4,q1,The set \(A \cap B\) contains elements that are in _____.,2,1,0.807,similar
q1,The set \(A \cap B\) contains elements that are in _____.,2,1,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.807,similar
q1,The intersection \(A \cap B\) contains elements that are in _____ sets.,4,1,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.803,similar
q1,The set \(A \cap B\) contains elements that are in _____.,2,1,q2,The union \(A \cup B\) includes _____.,2,2,0.801,similar
q1,The intersection \(A \cap B\) contains elements that are _____.,1,1,q2,The union \(A \cup B\) includes _____.,2,2,0.799,similar
q5,The set \( \bigcap_{i=1}^n A_i \) denotes the intersection of _____.,1,5,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____ of the sets \(A_i\).,3,6,0.799,similar
q1,The intersection \(A \cap B\) consists of elements that are in _____.,3,1,q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,0.796,similar
q5,The set \( \bigcap_{i=1}^n A_i \) denotes the intersection of _____.,1,5,q5,"The notation \(\bigcap_{i=1}^n A_i\) means the _____ of sets \(A_1, A_2, \ldots, A_n\).",3,5,0.791,similar
q2,The union \(A \cup B\) includes _____.,2,2,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.788,similar
q1,The intersection \(A \cap B\) contains elements that are _____.,1,1,q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,0.787,similar
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q1,The set \(A \cap B\) contains elements that are in _____.,2,1,0.786,similar
q1,The intersection \(A \cap B\) contains elements that are in _____ sets.,4,1,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.785,similar
q4,"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",1,4,q1,The intersection \(A \cap B\) contains elements that are in _____ sets.,4,1,0.778,similar
q1,The intersection \(A \cap B\) contains elements that are _____.,1,1,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.772,similar
q2,The union \(A \cup B\) includes _____.,2,2,q1,The intersection \(A \cap B\) contains elements that are in _____ sets.,4,1,0.772,similar
q1,The intersection \(A \cap B\) consists of elements that are in _____.,3,1,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.772,similar
q6,Which is true about \(A \cup (B \cap C)\) compared to \((A \cup B) \cap C\)?,1,6,q5,The set \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because:,4,5,0.771,similar
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.767,similar
q5,The expression \(\bigcap_{i=1}^n A_i\) means the set of elements that are in _____.,2,5,q5,"The notation \(\bigcap_{i=1}^n A_i\) means the _____ of sets \(A_1, A_2, \ldots, A_n\).",3,5,0.766,similar
q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.764,similar
q2,The union \(A \cup B\) includes _____.,2,2,q1,The intersection \(A \cap B\) consists of elements that are in _____.,3,1,0.763,similar
q4,"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",1,4,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.76,similar
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q1,The intersection \(A \cap B\) contains elements that are in _____ sets.,4,1,0.759,similar
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q1,The intersection \(A \cap B\) consists of elements that are in _____.,3,1,0.753,similar
q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.75,similar
q2,"If \(A = \{2,4,6\}\) and \(B = \{3,6,9\}\), then \(A \cap B = \{ \; \; \; \; \; \}\).",1,2,q7,"Consider sets \(A = \{1,2,4\}\), \(B = \{2,4,7\}\), and \(C = \{2,3,5\}\). The set \(A \cup (B \cap C)\) contains which element(s)?",2,7,0.746,similar
q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____.,2,6,q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,0.746,similar
q2,The union \(A \cup B\) includes _____.,2,2,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____.,2,6,0.74,similar
q5,The set \( \bigcap_{i=1}^n A_i \) denotes the intersection of _____.,1,5,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____.,2,6,0.737,similar
q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____.,2,6,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.736,similar
q1,The set \(A \cap B\) contains elements that are in _____.,2,1,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.735,similar
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____.,2,6,0.731,similar
q2,The union \(A \cup B\) includes _____.,2,2,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____ of the sets \(A_i\).,3,6,0.731,similar
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____ of the sets \(A_i\).,3,6,0.727,similar
q1,The intersection \(A \cap B\) contains elements that are _____.,1,1,q4,"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",1,4,0.726,similar
q4,"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",1,4,q1,The intersection \(A \cap B\) consists of elements that are in _____.,3,1,0.725,similar
q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____ of the sets \(A_i\).,3,6,0.723,similar
q5,"The notation \(\bigcap_{i=1}^n A_i\) means the _____ of sets \(A_1, A_2, \ldots, A_n\).",3,5,q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____ of the sets \(A_i\).,3,6,0.72,similar
q7,"If \(A = \{1,2,3\}\), \(B = \{3,4,5\}\), and \(C = \{2,3,6\}\), what is \(A \cup (B \cap C)\)?",1,7,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.719,similar
q6,The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____ of the sets \(A_i\).,3,6,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.719,similar
q5,The set \( \bigcap_{i=1}^n A_i \) denotes the intersection of _____.,1,5,q4,"Which notation represents the union of a sequence of sets \(A_1, A_2, \ldots, A_n\)?",4,4,0.718,similar
q7,"If \(A = \{1,2,3\}\), \(B = \{3,4,5\}\), and \(C = \{2,3,6\}\), what is \(A \cup (B \cap C)\)?",1,7,q4,The associative law for union means \(A \cup (B \cup C)\) equals _____.,2,4,0.709,similar
q9,"In a Venn diagram, the shaded area for \(A \cap B\) is the region where:",1,9,q9,A Venn diagram shading the overlap of two sets represents the _____.,3,9,0.709,similar
q6,Which is true about \(A \cup (B \cap C)\) compared to \((A \cup B) \cap C\)?,1,6,q7,"If \(A = \{1,2,3\}\), \(B = \{3,4,5\}\), and \(C = \{2,3,6\}\), what is \(A \cup (B \cap C)\)?",1,7,0.702,similar
q6,Which is true about \(A \cup (B \cap C)\) compared to \((A \cup B) \cap C\)?,1,6,q4,The expression \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because _____.,3,4,0.702,similar
q8,The associative law for union states that \(A \cup B \cup C\) means:,1,8,q4,The expression \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because _____.,3,4,0.702,similar
q5,The set \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because:,4,5,q9,The intersection \(A \cap (B \cup C)\) means:,4,9,0.702,similar
q3,"If \(A\) is all multiples of 2, and \(B\) all multiples of 3, \(A \cap B\) is the set of multiples of _____.",2,3,q3,"For infinite sets, the intersection of multiples of 2 and multiples of 3 is the set of multiples of _____.",4,3,0.701,similar
q8,The union \(A \cup B\) of finite sets is always _____.,2,8,q2,The union \(A \cup B\) includes all elements that are in _____.,4,2,0.701,similar
q8,The union \(A \cup B\) of finite sets is always _____.,2,8,q2,The union \(A \cup B\) contains all elements that are in _____.,3,2,0.7,low
q4,The associative law for union means \(A \cup (B \cup C)\) equals _____.,2,4,q4,The expression \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because _____.,3,4,0.698,low
q3,The union \(A \cup B\) includes elements that are _____.,1,3,q8,The union \(A \cup B\) of finite sets is always _____.,2,8,0.696,low
