=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,0,16
1,3,0,3,16
1,4,0,2,16
2,3,0,1,16
2,4,2,2,16
3,4,0,1,16

Summary
Total Comparisons,120
Duplicates (≥85%),2
Similar (70-85%),10

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,Which assignment statement is valid in programming?,2,3,q2,Which is a valid assignment statement in programming?,4,2,0.948,duplicate
q1,"In programming, what does the statement x = 5 do?",2,1,q1,What does the assignment statement x = 5 do in programming?,4,1,0.888,duplicate
q4,"After the assignments x = 4; y = x + 3; x = 2, what is y's value?",3,4,q3,"After x = 7 and y = x + 2, what is y's value?",4,3,0.806,similar
q3,"After these statements, x = 4, y = x + 3, x = 7, what is the value of y?",1,3,q4,"After the assignments x = 4; y = x + 3; x = 2, what is y's value?",3,4,0.803,similar
q2,"After these assignments, what is y? x = 4 y = x + 3",2,2,q4,"After the assignments x = 4; y = x + 3; x = 2, what is y's value?",3,4,0.803,similar
q1,What does an assignment statement do in programming?,1,1,q3,How is assignment in programming different from equality in algebra?,3,3,0.781,similar
q3,"After these statements, x = 4, y = x + 3, x = 7, what is the value of y?",1,3,q3,"After x = 7 and y = x + 2, what is y's value?",4,3,0.756,similar
q1,What does the assignment statement x = 5 do in programming?,4,1,q2,Which is a valid assignment statement in programming?,4,2,0.741,similar
q2,What must always be on the left side of an assignment?,1,2,q1,Why must the left side of an assignment be a variable in programming?,3,1,0.719,similar
q1,What does an assignment statement do in programming?,1,1,q1,What does the assignment statement x = 5 do in programming?,4,1,0.718,similar
q3,Which assignment statement is valid in programming?,2,3,q1,What does the assignment statement x = 5 do in programming?,4,1,0.717,similar
q1,"In programming, what does the statement x = 5 do?",2,1,q2,Which is a valid assignment statement in programming?,4,2,0.71,similar
q3,"After these statements, x = 4, y = x + 3, x = 7, what is the value of y?",1,3,q2,"After these assignments, what is y? x = 4 y = x + 3",2,2,0.686,low
q4,What does the assignment x = x + 1 do?,2,4,q2,What happens when executing x = x + 1 if x is 5?,3,2,0.674,low
q4,What does the assignment x = x + 1 do?,2,4,q2,Which is a valid assignment statement in programming?,4,2,0.674,low
q1,"In programming, what does the statement x = 5 do?",2,1,q3,Which assignment statement is valid in programming?,2,3,0.672,low
q4,What does the assignment x = x + 1 do?,2,4,q1,What does the assignment statement x = 5 do in programming?,4,1,0.67,low
q2,What happens when executing x = x + 1 if x is 5?,3,2,q2,Which is a valid assignment statement in programming?,4,2,0.669,low
q1,"In programming, what does the statement x = 5 do?",2,1,q2,What happens when executing x = x + 1 if x is 5?,3,2,0.663,low
q3,Which assignment statement is valid in programming?,2,3,q4,What does the assignment x = x + 1 do?,2,4,0.658,low
q2,"After these assignments, what is y? x = 4 y = x + 3",2,2,q3,Which assignment statement is valid in programming?,2,3,0.645,low
q1,"In programming, what does the statement x = 5 do?",2,1,q4,What does the assignment x = x + 1 do?,2,4,0.644,low
q3,Which assignment statement is valid in programming?,2,3,q2,What happens when executing x = x + 1 if x is 5?,3,2,0.641,low
q3,Which assignment statement is valid in programming?,2,3,q4,"After the assignments x = 4; y = x + 3; x = 2, what is y's value?",3,4,0.641,low
q3,How is assignment in programming different from equality in algebra?,3,3,q1,What does the assignment statement x = 5 do in programming?,4,1,0.64,low
q1,Why must the left side of an assignment be a variable in programming?,3,1,q3,How is assignment in programming different from equality in algebra?,3,3,0.636,low
q1,What does an assignment statement do in programming?,1,1,q3,Which assignment statement is valid in programming?,2,3,0.634,low
q2,"After these assignments, what is y? x = 4 y = x + 3",2,2,q3,"After x = 7 and y = x + 2, what is y's value?",4,3,0.628,low
q2,"After these assignments, what is y? x = 4 y = x + 3",2,2,q2,Which is a valid assignment statement in programming?,4,2,0.627,low
q4,The statement x = x + 1 is called _____.,1,4,q2,Which is a valid assignment statement in programming?,4,2,0.626,low
q1,What does an assignment statement do in programming?,1,1,q2,Which is a valid assignment statement in programming?,4,2,0.623,low
q1,What does an assignment statement do in programming?,1,1,q1,Why must the left side of an assignment be a variable in programming?,3,1,0.616,low
q4,"After the assignments x = 4; y = x + 3; x = 2, what is y's value?",3,4,q2,Which is a valid assignment statement in programming?,4,2,0.611,low
q1,What does an assignment statement do in programming?,1,1,q1,"In programming, what does the statement x = 5 do?",2,1,0.608,low
