text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
Summation notation uses the symbol _____ to represent the sum of terms.,Σ,Π,∫,Σ,Δ,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In \(\sum_{i=s}^t a_i\), the variable \(i\) is called the _____.",index,limit,index,coefficient,term,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Pulling out the last term from \(\sum_{k=m}^n a_k\) results in _____.,\(\sum_{k=m}^{n-1} a_k + a_n\),\(\sum_{k=m}^{n+1} a_k - a_n\),\(\sum_{k=m}^{n-1} a_k + a_n\),\(\sum_{k=m+1}^n a_k - a_m\),\(\sum_{k=m}^{n-1} a_k - a_n\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"When substituting \(i = k + 2\) in \(\sum_{k=1}^n (k+2)^3\), the new limits are _____.",from 3 to n+2,from 1 to n,from 3 to n+2,from -1 to n-2,from 0 to n+1,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The closed form for the sum of an arithmetic sequence \(\sum_{k=0}^{n-1} (a + kd)\) is _____.,\(an + \frac{d(n-1)n}{2}\),\(an + d(n-1)n\),\(an + \frac{d(n-1)n}{2}\),\(\frac{a(r^n - 1)}{r - 1}\),\(a + nd\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"The closed form for the sum of a geometric sequence \(\sum_{k=0}^{n-1} a r^k\), where \(r \neq 1\), is _____.",\(\frac{a(r^n - 1)}{r - 1}\),\(a n r\),\(a \cdot r^{n-1}\),\(\frac{a(r^n - 1)}{r - 1}\),\(a + r n\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If a summation includes the term for \(j=0\) and another does not, they are equal if _____.",the \(j=0\) term equals zero,all terms are positive,the \(j=0\) term equals zero,the summation is geometric,the upper limits differ by 1,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In the substitution \(j = i + 2\), the term \(a_i = \frac{1}{i+3}\) becomes \(\frac{1}{\text{_____}}\).",\(j + 1\),\(j + 3\),\(j - 1\),\(j + 1\),\(j - 3\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why can the index variable in summations be replaced without changing the sum?,The index variable is arbitrary and only a placeholder,The index variable is arbitrary and only a placeholder,The index variable is fixed by the sequence formula,Changing the index changes the sum's value,The index variable must be \(i\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"For the sum \(\sum_{j=0}^n (j+1)^2\), the expanded form is _____.",\(1^2 + 2^2 + \cdots + (n+1)^2\),\(1^2 + 2^2 + \cdots + n^2\),\(0^2 + 1^2 + \cdots + n^2\),\(1^2 + 2^2 + \cdots + (n+1)^2\),\(2^2 + 3^2 + \cdots + (n+1)^2\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
