text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What is a predicate in logic?,A statement whose truth value depends on variables,A statement with no variables,A statement whose truth value depends on variables,A proposition that is always true,A proposition that is always false,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which symbol represents the universal quantifier?,\(\forall\),\(\exists\),\(\land\),\(\forall\),\(\lor\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"To prove \(\forall x P(x)\) is true, one must show:",\(P(x)\) is true for every \(x\) in the domain,\(P(x)\) is true for some \(x\),\(P(x)\) is false for some \(x\),\(P(x)\) is true for every \(x\) in the domain,\(P(x)\) is false for every \(x\) in the domain,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
An example that makes \(\exists x P(x)\) true is called a/an _____.,example,counterexample,proof,hypothesis,example,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What shows that a universally quantified statement is false?,Providing a counterexample,Showing it holds for an arbitrary element,Providing a counterexample,Proving it for all elements,Finding an example,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
The statement \(\exists x P(x)\) is true if:,\(P(x)\) is true for at least one \(x\),\(P(x)\) is true for all \(x\),\(P(x)\) is true for at least one \(x\),\(P(x)\) is false for all \(x\),\(P(x)\) is false for at least one \(x\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If the domain is empty, the statement \(\forall x P(x)\) is:",True,False,True,Undefined,Depends on \(P\),,,,,,,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which expression is a proposition?,\(P(3)\) where \(3\) is a constant,\(P(x)\) where \(x\) is a variable,\(P(3)\) where \(3\) is a constant,"\(Q(x,y)\) with variables \(x,y\)","\(R(x,y,z)\) with variables \(x,y,z\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What distinguishes a predicate from a proposition?,A predicate contains variables and lacks a definite truth value until variables are specified.,A predicate contains variables and lacks a definite truth value until variables are specified.,A predicate always has a true truth value.,A predicate never contains variables.,A predicate is a compound proposition.,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The universal quantifier \(\forall x P(x)\) means:,\(P(x)\) is true for every \(x\) in the domain.,There exists some \(x\) such that \(P(x)\) is false.,\(P(x)\) is true for at least one \(x\) in the domain.,\(P(x)\) is true for every \(x\) in the domain.,\(P(x)\) is false for all \(x\) in the domain.,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is required to prove the statement \(\exists x P(x)\) is true?,Provide an example with one \(x\) where \(P(x)\) is true.,Show \(P(x)\) is true for every \(x\) in the domain.,Give a counterexample where \(P(x)\) is false.,Provide an example with one \(x\) where \(P(x)\) is true.,Show \(P(x)\) is false for all \(x\).,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How can a universally quantified statement \(\forall x P(x)\) be shown false?,By giving a counterexample where \(P(x)\) is false.,By finding an example where \(P(x)\) is true.,By giving a counterexample where \(P(x)\) is false.,By proving \(P(x)\) is true for an arbitrary \(x\).,By showing \(P(x)\) is true for all \(x\).,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Fill in the blank: The domain of a variable in a predicate is the set of all possible _____ for the variable.,values,predicates,propositions,values,quantifiers,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why is the statement \(P(5)\) called a proposition if \(P(x)\) is a predicate?,Because \(P(5)\) has a well-defined truth value.,Because \(P(5)\) is false.,Because \(P(5)\) contains a variable.,Because \(P(5)\) has a well-defined truth value.,Because \(P(5)\) is a universal quantifier.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Fill in the blank: To show \(\forall x P(x)\) is true, one can prove \(P(x)\) holds for an _____ element \(x\).",arbitrary,arbitrary,example,counterexample,existential,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
What is the truth value of \(\exists x (x + 1 < x)\) for positive integers \(x\)?,"False, because no positive integer satisfies \(x + 1 < x\).","True, because some \(x\) satisfy \(x + 1 < x\).","False, because no positive integer satisfies \(x + 1 < x\).","True, because \(x = 1\) satisfies it.","False, because the domain is empty.",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
What is a predicate in logic?,A logical statement with a truth value depending on variables,A statement with no variables,A statement with a fixed truth value,A logical statement with a truth value depending on variables,A statement always true,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which symbol denotes a universal quantifier?,\(\forall\),\(\exists\),\(\forall\),\(\land\),\(\lor\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"To prove \(\forall x P(x)\) is true, what must be shown?",\(P(x)\) is true for every \(x\) in the domain,\(P(x)\) is false for some \(x\),\(P(x)\) is true for every \(x\) in the domain,\(P(x)\) is true for some \(x\),\(P(x)\) is undefined,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A single counterexample to \(\forall x P(x)\) does what?,Shows the statement is false,Proves the statement true,Shows the statement is false,Proves \(\exists x P(x)\) is true,Shows \(P(x)\) is true for all \(x\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"If the domain is empty, what is the truth value of \(\forall x P(x)\)?",True,False,True,Undefined,Depends on \(P(x)\),,,,,,,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The statement \(\exists x P(x)\) means:,\(P(x)\) is true for at least one \(x\),\(P(x)\) is true for all \(x\),\(P(x)\) is true for at least one \(x\),\(P(x)\) is false for some \(x\),\(P(x)\) is false for all \(x\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"To show \(\exists x P(x)\) is false, what must be done?",Show \(P(x)\) is false for all \(x\),Show \(P(x)\) is true for some \(x\),Show \(P(x)\) is false for all \(x\),Find a counterexample,Show \(P(x)\) is true for all \(x\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Is \(P(5)\) (where \(P(x): x\) is odd) a proposition or predicate?,It is a proposition with a truth value,It is a predicate,It is a proposition with a truth value,It is neither,It depends on \(x\),,,,,,,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A logical statement with a truth value depending on variables is called a/an _____.,predicate,proposition,quantifier,predicate,domain,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The symbol \(\forall\) in \(\forall x P(x)\) represents a/an _____ quantifier.,universal,existential,conditional,universal,negation,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"To show \(\forall x P(x)\) is true, one must prove _____.",\(P(n)\) is true for every \(n\) in the domain,\(P(x)\) is false for at least one \(x\),\(P(n)\) is true for every \(n\) in the domain,\(P(n)\) is true for some \(n\) in the domain,\(P(x)\) contains no variables,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A counterexample for \(\forall x P(x)\) is _____.,an element where \(P(x)\) is false,an element where \(P(x)\) is true,an element where \(P(x)\) is false,a variable that makes \(P(x)\) undefined,the empty domain,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The statement \(\exists x P(x)\) means _____.,\(P(x)\) is true for at least one \(x\),\(P(x)\) is true for all \(x\),\(P(x)\) is false for every \(x\),\(P(x)\) is true for at least one \(x\),\(P(x)\) has no variables,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
