=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,1,2
2,10,2,10
3,10,0,6
4,10,0,6

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,5,16,100
1,3,5,12,100
1,4,5,12,100
2,3,4,21,100
2,4,6,17,100
3,4,6,12,100

Summary
Total Comparisons,780
Duplicates (≥85%),34
Similar (70-85%),114

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,A compound proposition that is always true regardless of its variables is called a/an _____.,1,1,q1,A compound proposition always true regardless of variable values is called a/an _____.,4,1,0.987,duplicate
q1,A compound proposition always true regardless of variable values is called a/an _____.,2,1,q1,A compound proposition always true regardless of variable values is called a/an _____.,4,1,0.984,duplicate
q3,The proposition \(p \land \neg p\) is an example of a/an _____.,2,3,q5,The proposition \(p \land \neg p\) is an example of a/an _____.,4,5,0.983,duplicate
q4,The proposition \(p \land \neg p\) is an example of a/an _____.,1,4,q3,The proposition \(p \land \neg p\) is an example of a/an _____.,2,3,0.978,duplicate
q8,"Which English sentence is logically equivalent to ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",1,8,q8,"Which English sentence is logically equivalent to ""It is not true that the child is at least 8 years old and at least 57 inches tall.""?",4,8,0.97,duplicate
q6,"To prove two propositions are not logically equivalent, it suffices to find _____.",2,6,q9,"To prove two propositions are not logically equivalent, it suffices to find _____.",4,9,0.97,duplicate
q1,A compound proposition that is always true regardless of its variables is called a/an _____.,1,1,q1,A compound proposition always true regardless of variable values is called a/an _____.,2,1,0.969,duplicate
q4,The proposition \(p \land \neg p\) is an example of a/an _____.,1,4,q5,The proposition \(p \land \neg p\) is an example of a/an _____.,4,5,0.968,duplicate
q3,Two compound propositions are logically equivalent if _____.,3,3,q3,Two compound propositions are logically equivalent if _____.,4,3,0.953,duplicate
q1,"A compound proposition is a _____ if it is always true, regardless of its variables.",3,1,q1,A compound proposition always true regardless of variable values is called a/an _____.,4,1,0.937,duplicate
q3,Which truth assignment proves \((p \land q) \rightarrow r\) is not a tautology?,1,3,q2,Which truth assignment disproves that \((p \land q) \rightarrow r\) is a tautology?,4,2,0.934,duplicate
q1,A compound proposition that is always true regardless of its variables is called a/an _____.,1,1,q1,"A compound proposition is a _____ if it is always true, regardless of its variables.",3,1,0.932,duplicate
q8,"Which English sentence is logically equivalent to ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",1,8,q7,"Which statement is logically equivalent to: ""It is not true that the child is at least 8 years old and at least 57 inches tall""?",3,7,0.927,duplicate
q2,A compound proposition always false regardless of variable values is called a/an _____.,2,2,q1,A compound proposition always true regardless of variable values is called a/an _____.,4,1,0.925,duplicate
