text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
The conditional proposition \(p \rightarrow q\) is false only when _____.,\(p\) is true and \(q\) is false,\(p\) is false and \(q\) is false,\(p\) is false and \(q\) is true,\(p\) is true and \(q\) is true,\(p\) is true and \(q\) is false,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which statement correctly represents the contrapositive of \(p \rightarrow q\)?,\(\neg q \rightarrow \neg p\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(p \rightarrow \neg q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"How is the statement ""You will mow Mr. Smith's lawn only if he pays you"" represented logically?",\(p \rightarrow q\),\(p \rightarrow q\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(p \rightarrow q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass
What is true about the biconditional statement \(p \leftrightarrow q\)?,It is true when \(p\) and \(q\) have the same truth value,It is true if \(p\) is true and \(q\) is false,It is false when \(p\) and \(q\) have the same truth value,It is true when \(p\) and \(q\) have the same truth value,It is false if both \(p\) and \(q\) are true,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Which English expression is equivalent to \(p \rightarrow q\)?,\(p\) only if \(q\),\(q\) only if \(p\),\(p\) only if \(q\),\(p\) if and only if \(q\),\(p\) if \(q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Fill in the blank: The converse of \(p \rightarrow q\) is _____.,\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(q \rightarrow p\),\(\neg q \rightarrow \neg p\),\(p \leftrightarrow q\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Why is the conditional statement ""If it rains, then I have an umbrella"" true when it is not raining?",Because the hypothesis is false,Because the conclusion is true,Because the hypothesis is false,Because both hypothesis and conclusion are false,Because the hypothesis is true,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"The statement ""Me sharing my cookie with you is sufficient for you to share your soda with me"" corresponds to which logical expression?",\(p \rightarrow q\),\(q \rightarrow p\),\(p \rightarrow q\),\(\neg p \rightarrow \neg q\),\(q \leftrightarrow p\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"Given \(p\) is true, \(q\) is false, what is the truth value of \(p \rightarrow q\)?",False,True,False,Unknown,Cannot be determined,,,,,,,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Fill in the blank: The inverse of \(p \rightarrow q\) is _____.,\(\neg p \rightarrow \neg q\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(p \leftrightarrow q\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the biconditional \(p \leftrightarrow q\) express in English?,\(p\) if and only if \(q\),\(p\) if \(q\),\(p\) only if \(q\),\(p\) if and only if \(q\),\(p\) implies \(q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
A conditional proposition is like a contract; which situation breaks the contract?,"Hypothesis true, conclusion false","Hypothesis is false, conclusion true","Hypothesis true, conclusion false",Both hypothesis and conclusion false,Both hypothesis and conclusion true,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The only way for \(p \rightarrow q\) to be false is when _____.,\(p\) is true and \(q\) is false,\(p\) is false and \(q\) is true,\(p\) is true and \(q\) is false,\(p\) and \(q\) are both false,\(p\) and \(q\) are both true,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which expression is the contrapositive of \(p \rightarrow q\)?,\(\neg q \rightarrow \neg p\),\(p \rightarrow \neg q\),\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(q \rightarrow p\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The biconditional proposition \(p \leftrightarrow q\) is true when _____.,\(p\) and \(q\) have the same truth value,\(p\) and \(q\) differ in truth value,\(p\) is true and \(q\) is false,\(p\) and \(q\) have the same truth value,\(p\) is false and \(q\) is true,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"The converse of the statement “If it rains, then the game is cancelled” is _____.","If the game is cancelled, then it rains","If it is sunny, then the game is held","If the game is cancelled, then it rains","If the game is not cancelled, then it does not rain","If it does not rain, then the game is not cancelled",,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
"In the conditional statement \(p \rightarrow q\), what is the role of \(p\)?",Hypothesis,Conclusion,Contrapositive,Hypothesis,Converse,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
