text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does an expression in programming always produce?,A value,A variable name,A value,A comment,A data type,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In the expression y = 3 + 2 * x, which operation is performed first?",Multiplication of 2 * x,Addition of 3 + 2,Multiplication of 2 * x,Assignment of y,Evaluation from right to left,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In programming, the symbol for multiplication is _____.",·,x,*,×,·,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
What does an expression in programming always produce?,A value,A syntax error,A value,A variable name,A comment,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,Division (/),Addition (+),Multiplication (*),Division (/),Parentheses ( ),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In programming, the multiplication symbol is written as _____ instead of ×.",-,x,*,/,-,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
What does an expression in programming always produce?,A value,A variable name,A value,A comment,A function call,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,Division (/),Multiplication (*),Addition (+),Division (/),Parentheses ( ),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In programming, the multiplication symbol is written as _____ instead of ×.",/,x,*,·,/,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
An _expression_ in programming always evaluates to a/an _____.,value,operator,variable,value,literal,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,/,+,*,/,-,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
The programming operator for multiplication is _____.,x,x,*,&,×,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
