text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
A recurrence relation defines each term based on _____ in the sequence.,previous terms,the next terms,unrelated values,previous terms,random values,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How many initial values must be given to define a sequence where \(a_n = a_{n-1} + a_{n-3}\)?,3,1,2,3,4,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The Fibonacci sequence is defined by which recurrence relation?,\(f_n = f_{n-1} + f_{n-2}\),\(f_n = f_{n-1} \cdot f_{n-2}\),\(f_n = f_{n-1} + f_{n-2}\),\(f_n = 2f_{n-1} + f_{n-2}\),\(f_n = f_{n-1} + 2f_{n-2}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a geometric sequence defined by \(a_n = r \cdot a_{n-1}\), what does \(r\) represent?",common ratio,initial value,common difference,common ratio,next term,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why does the Fibonacci sequence require two initial values?,Because \(f_n\) depends on two previous terms,Because \(f_n\) depends on two previous terms,Because \(f_n\) depends on one previous term only,Because it models a continuous system,Because it uses multiplication,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which recurrence relation correctly models a monthly loan balance with monthly interest rate 0.25% and fixed monthly payment \(p\)?,\(a_n = (1.0025) a_{n-1} - p\),\(a_n = a_{n-1} - 0.0025a_{n-1} + p\),\(a_n = (1.0025) a_{n-1} - p\),\(a_n = a_{n-1} + 0.25 - p\),\(a_n = a_{n-1} \cdot 0.25 - p\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A discrete time dynamical system is defined by _____.,discrete time intervals and state depends on past states,continuous time and random changes,discrete time intervals and state depends on past states,no dependence on past states,continuous time with fixed states,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
What defines a _recurrence relation_ in a sequence?,A rule that defines a term as a function of previous terms,A formula for the nth term only,A rule that defines a term as a function of previous terms,A sequence that increases by a fixed amount,A list of random terms in a sequence,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How many initial values are needed for a recurrence relation \(a_n = a_{n-1} + a_{n-2}\)?,2,1,2,3,0,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A geometric sequence defined by \(a_n = r \cdot a_{n-1}\) has the initial term \(a_0 = 4\) and \(r=3\). What is \(a_2\)?,36,12,36,9,7,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The Fibonacci sequence \(f_n = f_{n-1} + f_{n-2}\) models what type of system?,A dynamical system,A linear system,A dynamical system,A static system,A geometric system,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In the recurrence relation \(c_n = 3c_{n-1} + 2c_{n-2}\), how many initial values must be given?",2,1,2,3,0,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"What recurrence relation models a loan with monthly interest rate of 0.25% and monthly payment of $500, starting at $20,000?",\(a_n = 1.0025 \cdot a_{n-1} - 500\),\(a_n = a_{n-1} - 500\),\(a_n = 1.0025 \cdot a_{n-1} + 500\),\(a_n = 1.0025 \cdot a_{n-1} - 500\),\(a_n = 0.0025 \cdot a_{n-1} - 500\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"For the sequence defined by \(b_n = b_{n-1} \cdot b_{n-2} + 2\), with \(b_0 = 1\), \(b_1 = 1\), what is \(b_3\)?",5,5,3,4,6,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A recurrence relation defines each term based on _____.,previous terms in the sequence,future terms in the sequence,the term's own value,previous terms in the sequence,unrelated values,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How many initial values are needed for \(c_n = 3c_{n-1} + 2c_{n-2}\) to be well defined?,2,1,2,3,0,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
