text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
"If two propositions are logically equivalent, substitution in a compound proposition results in _____.",a logically equivalent proposition,a different truth value,a logically equivalent proposition,an unrelated proposition,an invalid expression,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The law \(p \rightarrow q \equiv \neg p \lor q\) is called the _____.,Conditional identity,De Morgan's law,Conditional identity,Distributive law,Complement law,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which law justifies \(\neg (p \lor q) \equiv \neg p \land \neg q\)?,De Morgan's law,Absorption law,Commutative law,De Morgan's law,Identity law,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The law that states \(p \lor p \equiv p\) is the _____.,Idempotent law,Associative law,Idempotent law,Domination law,Complement law,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does the double negation law simplify \(\neg \neg p\)?,\(p\),\(\neg p\),\(p\),\(\text{F}\),\(\text{T}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which law allows rearranging \(p \land q\) to \(q \land p\) without changing meaning?,Commutative law,Commutative law,Distributive law,Identity law,Absorption law,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The equivalence \((p \land (q \lor r)) \equiv ((p \land q) \lor (p \land r))\) is an example of the _____.,Distributive law,Distributive law,Idempotent law,Complement law,Conditional identity,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"The converse of a conditional \(p \rightarrow q\) is \(q \rightarrow p\), which is _____ logically equivalent to \(p \rightarrow q\).",not,always,sometimes,not,only if \(p\) and \(q\) are true,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass
The law that allows substituting \(\neg p \lor q\) for \(p \rightarrow q\) is called the _____.,Conditional identity,Commutative law,Conditional identity,Distributive law,De Morgan's law,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"According to De Morgan's laws, \(\neg (p \lor q)\) is equivalent to _____.",\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(p \land q\),\(\neg p \rightarrow \neg q\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
