=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,8,0,9
2,8,2,6
3,8,0,5
4,8,1,13

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,26,64
1,3,2,16,64
1,4,4,26,64
2,3,3,22,64
2,4,5,29,64
3,4,3,22,64

Summary
Total Comparisons,496
Duplicates (≥85%),22
Similar (70-85%),174

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,The law \(p \rightarrow q \equiv \neg p \lor q\) is called the _____.,1,2,q1,The law that justifies \(p \rightarrow q \equiv \neg p \lor q\) is the _____.,4,1,0.952,duplicate
q3,Which law states that \(p \lor \text{F} \equiv p\)?,3,3,q7,The law that shows \(p \lor \text{F} \equiv p\) is the _____.,4,7,0.947,duplicate
q3,The law that justifies \((p \land p) \equiv p\) is the _____.,2,3,q4,Which law states that \(p \land p \equiv p\)?,4,4,0.916,duplicate
q2,The law \(p \rightarrow q \equiv \neg p \lor q\) is called the _____.,1,2,q1,The law that allows substituting \(\neg p \lor q\) for \(p \rightarrow q\) is called the _____.,2,1,0.9,duplicate
q6,The expression \(p \lor \text{F}\) is equivalent to _____.,2,6,q7,The expression \((p \land \neg p)\) is equivalent to _____.,3,7,0.89,duplicate
q1,The law that allows substituting \(\neg p \lor q\) for \(p \rightarrow q\) is called the _____.,2,1,q1,What law justifies substituting \(p \rightarrow q\) with \(\neg p \lor q\)?,3,1,0.887,duplicate
q6,Which law allows rearranging \(p \land q\) to \(q \land p\) without changing meaning?,1,6,q4,Which law allows rearranging \(\neg p \wedge q\) to \(q \wedge \neg p\)?,3,4,0.886,duplicate
q1,The law that allows substituting \(\neg p \lor q\) for \(p \rightarrow q\) is called the _____.,2,1,q1,The law that justifies \(p \rightarrow q \equiv \neg p \lor q\) is the _____.,4,1,0.877,duplicate
q4,Which law states that \(p \lor (q \land r) \equiv (p \lor q) \land (p \lor r)\)?,2,4,q5,The law that justifies \((p \lor q) \land (p \lor r) \equiv p \lor (q \land r)\) is the _____.,4,5,0.87,duplicate
q3,The law that justifies \((p \land p) \equiv p\) is the _____.,2,3,q8,Which law justifies that \((p \land (p \lor q)) \equiv p\)?,2,8,0.867,duplicate
q7,The equivalence \((p \land (q \lor r)) \equiv ((p \land q) \lor (p \land r))\) is an example of the _____.,1,7,q5,The law that justifies \((p \lor q) \land (p \lor r) \equiv p \lor (q \land r)\) is the _____.,4,5,0.866,duplicate
q2,The law \(p \rightarrow q \equiv \neg p \lor q\) is called the _____.,1,2,q3,The equivalence \(\neg (p \lor q) \equiv \neg p \land \neg q\) is an example of _____.,4,3,0.864,duplicate
q4,The law that states \(p \lor p \equiv p\) is the _____.,1,4,q7,The law that shows \(p \lor \text{F} \equiv p\) is the _____.,4,7,0.864,duplicate
q3,Which law states that \(p \lor \text{F} \equiv p\)?,3,3,q4,Which law states that \(p \land p \equiv p\)?,4,4,0.863,duplicate
q4,Which law states that \(p \lor (q \land r) \equiv (p \lor q) \land (p \lor r)\)?,2,4,q8,Which law justifies that \((p \land (p \lor q)) \equiv p\)?,2,8,0.862,duplicate
q1,The law that justifies \(p \rightarrow q \equiv \neg p \lor q\) is the _____.,4,1,q3,The equivalence \(\neg (p \lor q) \equiv \neg p \land \neg q\) is an example of _____.,4,3,0.857,duplicate
q2,"According to De Morgan's laws, \(\neg (p \lor q)\) is equivalent to _____.",2,2,q8,How does De Morgan's law transform \(\neg (p \land q)\)?,3,8,0.856,duplicate
q3,Which law justifies \(\neg (p \lor q) \equiv \neg p \land \neg q\)?,1,3,q8,Which law justifies that \((p \land (p \lor q)) \equiv p\)?,2,8,0.854,duplicate
q2,The law \(p \rightarrow q \equiv \neg p \lor q\) is called the _____.,1,2,q1,What law justifies substituting \(p \rightarrow q\) with \(\neg p \lor q\)?,3,1,0.853,duplicate
q3,The law that justifies \((p \land p) \equiv p\) is the _____.,2,3,q7,The law that shows \(p \lor \text{F} \equiv p\) is the _____.,4,7,0.852,duplicate
q1,What law justifies substituting \(p \rightarrow q\) with \(\neg p \lor q\)?,3,1,q1,The law that justifies \(p \rightarrow q \equiv \neg p \lor q\) is the _____.,4,1,0.852,duplicate
q8,Which law justifies that \((p \land (p \lor q)) \equiv p\)?,2,8,q4,Which law states that \(p \land p \equiv p\)?,4,4,0.851,duplicate
q8,Which law justifies that \((p \land (p \lor q)) \equiv p\)?,2,8,q5,The law that justifies \((p \lor q) \land (p \lor r) \equiv p \lor (q \land r)\) is the _____.,4,5,0.849,similar
q5,How does the double negation law simplify \(\neg \neg p\)?,1,5,q6,What does the double negation law state?,4,6,0.847,similar
q5,What law allows rewriting \(\neg \neg p\) as \(p\)?,2,5,q6,Which law justifies that \(\neg \neg p \equiv p\)?,3,6,0.844,similar
q7,The equivalence \((p \land (q \lor r)) \equiv ((p \land q) \lor (p \land r))\) is an example of the _____.,1,7,q3,The equivalence \(\neg (p \lor q) \equiv \neg p \land \neg q\) is an example of _____.,4,3,0.842,similar
q1,The law that justifies \(p \rightarrow q \equiv \neg p \lor q\) is the _____.,4,1,q5,The law that justifies \((p \lor q) \land (p \lor r) \equiv p \lor (q \land r)\) is the _____.,4,5,0.842,similar
q1,The law that allows substituting \(\neg p \lor q\) for \(p \rightarrow q\) is called the _____.,2,1,q3,The equivalence \(\neg (p \lor q) \equiv \neg p \land \neg q\) is an example of _____.,4,3,0.837,similar
q4,The law that states \(p \lor p \equiv p\) is the _____.,1,4,q3,The law that justifies \((p \land p) \equiv p\) is the _____.,2,3,0.836,similar
q4,The law that states \(p \lor p \equiv p\) is the _____.,1,4,q4,Which law states that \(p \land p \equiv p\)?,4,4,0.836,similar
q2,"According to De Morgan's laws, \(\neg (p \lor q)\) is equivalent to _____.",2,2,q2,"Using the law of propositional logic, \(\neg (p \lor q) \equiv _____\).",3,2,0.835,similar
q4,The law that states \(p \lor p \equiv p\) is the _____.,1,4,q3,Which law states that \(p \lor \text{F} \equiv p\)?,3,3,0.834,similar
q3,Which law justifies \(\neg (p \lor q) \equiv \neg p \land \neg q\)?,1,3,q2,Which law allows substitution of \(\neg p \lor q\) for \(p \rightarrow q\) in a compound proposition?,4,2,0.833,similar
q3,Which law justifies \(\neg (p \lor q) \equiv \neg p \land \neg q\)?,1,3,q1,The law that justifies \(p \rightarrow q \equiv \neg p \lor q\) is the _____.,4,1,0.832,similar
q4,Which law states that \(p \land p \equiv p\)?,4,4,q7,The law that shows \(p \lor \text{F} \equiv p\) is the _____.,4,7,0.83,similar
